POA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
POA3000,..,61,1086,813,344,257,214,82,9,2876,..,772,1884,471,129,90,33,7,0,3381,..,5,0,28,36,27,10,3,0,118,645,..,..,..,..,..,..,..,..,645,..,164,..,..,..,..,..,..,..,164,..,50,85,19,6,0,0,0,0,165,..,457,288,38,8,10,12,4,0,808,..,129,217,34,10,0,0,0,0,402,..,1907,1914,319,76,28,4,4,0,4266,..,1251,2150,976,413,264,124,43,13,5242,14,130,133,43,32,24,14,0,0,387,660,4921,7771,2744,1063,708,407,150,25,18452,..,98,1284,695,278,251,188,43,3,2840,..,992,1764,317,73,37,12,0,0,3196,..,8,37,107,193,96,16,3,3,465,615,..,..,..,..,..,..,..,..,615,..,195,..,..,..,..,..,..,..,195,..,59,79,24,5,3,0,0,0,172,..,535,316,49,20,23,23,9,4,965,..,126,193,26,12,5,0,0,0,365
POA3002,..,0,46,110,97,156,174,108,18,707,..,12,189,83,39,43,18,6,0,390,..,0,0,6,4,3,4,0,0,19,135,..,..,..,..,..,..,..,..,135,..,39,..,..,..,..,..,..,..,39,..,13,23,5,0,0,0,0,0,43,..,9,12,5,0,5,0,0,0,30,..,0,13,5,0,0,0,0,0,18,..,47,114,30,11,6,4,5,0,215,..,20,108,108,64,62,42,21,8,426,5,10,14,11,9,4,4,0,0,59,139,153,522,359,219,279,255,144,19,2084,..,0,64,104,106,167,163,62,10,681,..,19,168,86,33,37,15,4,0,354,..,0,9,14,25,8,4,3,4,62,127,..,..,..,..,..,..,..,..,127,..,58,..,..,..,..,..,..,..,58,..,14,20,0,0,0,0,0,0,44,..,8,12,9,4,6,5,4,0,42,..,4,8,0,0,0,0,0,0,14
POA3003,..,3,248,268,140,99,60,23,3,852,..,78,456,138,73,34,8,0,0,784,..,0,0,5,5,7,0,0,0,22,274,..,..,..,..,..,..,..,..,274,..,85,..,..,..,..,..,..,..,85,..,24,25,3,6,6,0,0,0,59,..,28,41,8,3,4,5,0,0,87,..,8,31,3,0,0,0,0,0,48,..,239,337,56,15,4,0,4,0,656,..,110,323,136,72,51,21,11,0,726,3,15,39,16,4,0,0,0,0,78,280,580,1506,647,323,195,100,38,5,3672,..,10,290,262,139,87,45,17,0,839,..,119,439,93,44,20,4,0,0,723,..,0,6,41,45,30,5,4,3,132,281,..,..,..,..,..,..,..,..,281,..,76,..,..,..,..,..,..,..,76,..,17,15,8,7,0,0,0,0,43,..,44,44,7,0,6,8,4,0,105,..,9,27,10,0,0,0,0,0,52
POA3004,..,0,233,396,203,190,246,183,29,1490,..,52,494,197,86,60,45,16,0,954,..,0,0,5,20,13,6,0,0,50,371,..,..,..,..,..,..,..,..,371,..,80,..,..,..,..,..,..,..,80,..,33,34,16,7,0,0,0,0,89,..,37,38,6,0,10,4,0,0,94,..,4,27,6,0,0,0,0,0,39,..,116,207,71,18,10,8,10,0,432,..,65,335,328,191,145,89,53,12,1216,0,10,22,21,15,12,7,3,0,88,372,399,1392,1040,542,436,406,262,44,4894,..,3,336,365,192,212,225,127,13,1478,..,71,491,130,67,52,25,11,0,845,..,0,13,52,83,45,22,9,4,229,380,..,..,..,..,..,..,..,..,380,..,89,..,..,..,..,..,..,..,89,..,23,34,10,3,3,0,0,0,79,..,44,46,8,5,11,13,3,7,134,..,8,24,0,0,0,0,0,0,33
POA3006,..,14,756,823,313,278,239,108,24,2548,..,247,1213,410,144,62,20,10,0,2100,..,0,0,30,37,25,7,4,0,106,634,..,..,..,..,..,..,..,..,634,..,127,..,..,..,..,..,..,..,127,..,61,61,27,4,4,0,0,0,149,..,124,118,35,3,0,0,5,0,289,..,34,103,16,0,0,0,0,0,163,..,501,1051,190,29,11,17,4,0,1814,..,325,1090,590,273,191,84,28,6,2585,9,33,60,42,21,19,3,8,0,197,642,1465,4455,2157,834,585,366,166,34,10702,..,38,948,678,276,280,203,72,7,2498,..,305,1185,239,90,36,13,0,0,1871,..,4,35,92,124,86,28,6,5,379,599,..,..,..,..,..,..,..,..,599,..,140,..,..,..,..,..,..,..,140,..,56,76,28,4,7,0,0,0,161,..,137,132,22,15,12,0,7,5,330,..,34,86,15,0,0,0,0,0,141
POA3008,..,16,701,699,294,280,207,54,13,2260,..,144,655,240,106,61,25,6,0,1234,..,0,3,13,17,13,6,3,0,61,585,..,..,..,..,..,..,..,..,585,..,104,..,..,..,..,..,..,..,104,..,41,47,9,5,0,0,0,0,107,..,69,59,14,6,12,3,5,0,161,..,24,40,13,3,0,0,0,0,76,..,203,593,105,24,13,10,3,0,950,..,199,611,346,180,146,70,14,5,1582,5,18,26,14,22,14,8,3,0,110,590,817,2750,1445,663,537,325,87,22,7235,..,44,884,560,263,256,157,39,9,2209,..,197,651,180,65,37,12,4,0,1143,..,3,18,53,79,48,10,0,5,227,530,..,..,..,..,..,..,..,..,530,..,86,..,..,..,..,..,..,..,86,..,36,47,14,4,0,0,0,0,109,..,73,76,25,9,15,6,5,3,208,..,13,49,0,3,0,0,0,0,72
POA3011,..,9,465,847,490,385,248,131,47,2627,..,89,806,440,213,98,35,5,4,1681,..,0,4,40,43,31,15,10,13,152,1325,..,..,..,..,..,..,..,..,1325,..,268,..,..,..,..,..,..,..,268,..,134,169,67,44,41,4,0,0,454,..,88,117,34,19,22,13,6,10,311,..,51,123,29,12,16,6,3,0,243,..,283,705,169,77,49,24,6,3,1309,..,82,427,349,258,244,171,68,24,1622,19,32,58,46,30,19,7,7,0,207,1336,1041,2857,2024,1190,905,525,232,90,10205,..,40,630,832,443,348,204,100,15,2608,..,139,873,369,165,71,18,0,0,1641,..,4,54,126,172,117,54,55,27,615,1228,..,..,..,..,..,..,..,..,1228,..,236,..,..,..,..,..,..,..,236,..,86,110,42,29,28,0,0,0,306,..,73,108,33,29,37,45,23,16,365,..,53,76,16,13,4,3,0,0,166
POA3012,..,9,566,1216,831,565,348,218,59,3814,..,66,794,463,245,126,49,9,0,1742,..,5,11,30,67,51,22,7,5,194,2270,..,..,..,..,..,..,..,..,2270,..,518,..,..,..,..,..,..,..,518,..,260,265,115,67,41,12,0,0,757,..,75,126,31,28,25,19,10,13,336,..,47,132,34,22,22,8,0,0,262,..,235,688,129,69,57,24,10,4,1221,..,31,298,273,249,231,165,80,50,1382,28,28,46,33,25,19,14,8,4,204,2295,1271,2929,2325,1605,1131,657,341,141,12699,..,18,764,1226,798,500,320,152,29,3811,..,99,796,450,222,91,30,4,0,1697,..,6,74,187,268,164,76,63,49,887,2055,..,..,..,..,..,..,..,..,2055,..,527,..,..,..,..,..,..,..,527,..,187,209,53,51,34,10,0,0,541,..,78,101,29,28,49,55,35,31,413,..,49,69,23,9,15,0,0,0,168
POA3013,..,0,222,761,627,394,236,121,54,2409,..,33,440,368,219,108,36,6,0,1210,..,0,9,9,22,21,8,13,3,87,1456,..,..,..,..,..,..,..,..,1456,..,350,..,..,..,..,..,..,..,350,..,145,155,38,54,21,0,0,0,413,..,25,33,7,15,18,5,3,6,116,..,16,49,7,0,7,5,0,0,81,..,73,191,40,37,36,12,4,0,389,..,15,101,108,138,115,84,48,32,650,7,12,29,6,14,7,8,0,0,89,1465,678,1215,1359,1121,724,388,199,100,7248,..,4,303,784,638,381,186,109,24,2426,..,40,497,301,185,108,18,5,0,1151,..,0,22,87,146,72,39,38,28,439,1409,..,..,..,..,..,..,..,..,1409,..,365,..,..,..,..,..,..,..,365,..,110,87,32,32,19,3,0,0,274,..,22,38,13,8,31,24,30,19,175,..,16,27,7,0,3,3,0,0,55
POA3015,..,3,280,1005,776,574,301,163,52,3144,..,27,370,337,235,136,42,11,0,1164,..,0,4,20,37,35,20,10,8,134,1977,..,..,..,..,..,..,..,..,1977,..,449,..,..,..,..,..,..,..,449,..,223,164,56,47,23,7,0,0,515,..,25,28,10,20,30,22,5,0,141,..,11,27,9,7,8,3,0,0,65,..,41,144,35,22,26,22,4,0,295,..,15,90,104,145,149,102,53,30,688,23,18,11,19,13,13,10,9,0,105,1999,826,1124,1593,1306,984,523,250,85,8690,..,11,402,1091,742,508,278,104,19,3158,..,42,403,355,217,101,35,4,0,1160,..,0,33,97,214,90,42,38,34,542,1900,..,..,..,..,..,..,..,..,1900,..,447,..,..,..,..,..,..,..,447,..,160,128,27,28,25,0,0,0,371,..,24,38,10,17,22,30,11,12,172,..,18,18,3,3,0,0,0,0,43
