POA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,..,2130,1913,256,57,21,5,0,0,4385,..,1553,2019,788,336,237,146,68,11,5147,9,198,160,46,18,29,15,0,5,472,622,5890,7761,2305,988,688,405,125,25,18813,..,162,2375,1508,618,512,400,121,14,5714,..,1766,3645,785,198,128,43,7,0,6575,..,5,41,130,230,119,26,7,3,579,1262,..,..,..,..,..,..,..,..,1262,..,357,..,..,..,..,..,..,..,357,..,114,166,47,11,3,0,0,0,338,..,989,603,88,27,32,30,12,3,1779,..,265,408,70,16,7,5,0,0,766,..,4040,3829,577,141,45,10,8,0,8646,..,2807,4168,1760,756,499,264,114,30,10389,20,326,292,93,47,48,27,4,5,856,1284,10812,15528,5054,2048,1401,813,274,55,37265
POA3002,..,48,111,15,3,3,5,4,0,186,..,18,132,111,92,93,90,44,23,607,9,5,11,9,7,6,9,3,0,58,128,185,540,352,273,314,294,125,39,2242,..,0,114,214,208,321,339,170,22,1388,..,29,356,174,65,76,31,13,0,745,..,0,4,14,31,12,8,3,5,80,258,..,..,..,..,..,..,..,..,258,..,97,..,..,..,..,..,..,..,97,..,28,44,8,4,4,0,0,0,84,..,21,21,14,4,3,3,5,0,79,..,4,23,6,0,0,0,0,0,34,..,95,222,45,14,11,7,8,0,400,..,42,242,216,155,149,130,66,25,1032,12,18,25,16,15,15,15,3,0,118,271,340,1055,708,494,593,542,269,54,4330
POA3003,..,225,298,37,3,0,3,3,0,569,..,125,334,139,69,60,35,16,6,782,0,26,46,10,3,0,11,0,0,96,284,651,1505,597,311,197,106,47,10,3703,..,11,543,527,281,178,110,41,3,1697,..,194,897,238,119,45,15,3,0,1511,..,0,9,41,56,31,10,4,3,157,550,..,..,..,..,..,..,..,..,550,..,164,..,..,..,..,..,..,..,164,..,39,40,9,8,4,0,0,0,100,..,67,84,16,3,9,7,6,0,192,..,21,62,14,0,0,0,0,0,104,..,464,633,93,17,7,5,0,0,1222,..,232,659,275,133,114,58,26,6,1508,10,41,80,24,10,5,11,4,0,175,561,1232,3008,1241,632,392,209,80,15,7378
POA3004,..,77,219,51,10,8,17,4,0,387,..,73,389,278,170,151,166,91,29,1352,8,17,34,20,16,8,13,0,0,109,389,414,1599,915,538,493,477,250,51,5119,..,10,567,768,391,404,472,317,43,2971,..,123,990,327,151,115,71,29,0,1804,..,0,13,65,100,60,25,10,4,276,748,..,..,..,..,..,..,..,..,748,..,165,..,..,..,..,..,..,..,165,..,57,71,26,12,3,5,0,0,170,..,84,84,9,10,14,15,6,7,224,..,13,45,3,0,0,0,0,0,67,..,190,426,119,28,20,22,7,0,819,..,140,726,601,356,298,259,142,41,2567,10,27,59,40,22,12,18,8,0,195,761,809,2989,1957,1079,928,877,516,95,10018
POA3006,..,499,880,146,31,13,8,3,0,1575,..,385,996,535,231,167,135,67,12,2530,8,66,82,26,18,18,3,6,0,227,603,1659,4420,1782,780,616,402,164,26,10453,..,50,1706,1501,583,547,441,179,33,5046,..,550,2400,645,234,95,37,14,0,3974,..,3,37,119,162,109,34,7,5,481,1235,..,..,..,..,..,..,..,..,1235,..,270,..,..,..,..,..,..,..,270,..,118,127,48,7,8,0,0,0,308,..,260,255,56,20,15,0,7,5,619,..,72,191,35,5,0,0,0,0,301,..,999,1932,333,61,28,20,8,0,3384,..,708,2086,1125,508,361,221,96,22,5115,14,104,145,69,33,35,7,11,0,430,1251,3126,8878,3932,1614,1201,763,329,64,21161
POA3008,..,161,361,60,14,11,7,0,0,617,..,201,543,259,136,133,87,26,7,1392,0,27,31,16,10,17,3,0,0,115,535,847,2658,1174,588,518,271,86,24,6701,..,62,1592,1257,560,533,359,95,21,4474,..,337,1306,420,172,91,32,8,0,2378,..,3,24,68,101,69,15,5,5,283,1121,..,..,..,..,..,..,..,..,1121,..,191,..,..,..,..,..,..,..,191,..,77,95,23,13,0,0,0,0,210,..,144,137,31,11,24,11,9,3,367,..,37,92,13,6,4,0,0,0,152,..,362,958,166,41,22,13,6,0,1564,..,401,1153,606,322,285,156,39,12,2977,4,44,60,39,28,31,11,6,0,218,1126,1659,5410,2621,1249,1056,600,171,45,13935
POA3011,..,243,485,103,43,34,15,3,0,923,..,90,452,317,231,250,179,107,61,1684,23,37,74,22,17,20,9,5,7,216,1254,992,2860,1863,1151,912,525,301,127,9970,..,50,1092,1684,935,730,453,230,61,5235,..,227,1676,803,380,171,56,11,3,3323,..,4,56,169,216,143,71,67,38,765,2545,..,..,..,..,..,..,..,..,2545,..,506,..,..,..,..,..,..,..,506,..,224,276,111,76,70,4,0,0,760,..,160,222,64,52,62,53,33,23,671,..,106,197,44,27,23,7,5,0,412,..,524,1186,275,118,82,36,13,3,2234,..,169,874,670,488,493,344,178,85,3300,41,72,133,64,46,41,17,3,7,429,2589,2036,5716,3878,2342,1814,1048,530,215,20177
POA3012,..,161,348,78,31,41,23,8,4,696,..,53,321,278,234,249,250,176,105,1671,18,33,57,24,21,23,18,12,6,209,2074,1223,2737,2356,1661,1168,787,441,219,12669,..,26,1331,2443,1631,1062,676,372,92,7627,..,165,1591,910,464,217,78,12,3,3441,..,11,86,216,333,216,92,76,55,1083,4321,..,..,..,..,..,..,..,..,4321,..,1048,..,..,..,..,..,..,..,1048,..,445,471,168,119,70,17,0,0,1298,..,150,233,59,62,76,73,48,41,744,..,99,199,56,31,31,16,0,0,426,..,403,1037,205,102,97,50,16,5,1913,..,87,622,550,481,483,411,252,152,3050,50,59,105,57,43,45,34,12,9,413,4368,2494,5670,4677,3262,2300,1440,784,366,25368
POA3013,..,93,171,45,22,22,5,0,0,364,..,12,142,141,129,156,145,96,74,894,6,18,38,24,15,10,6,7,3,127,1417,673,1328,1434,1161,798,434,288,147,7677,..,3,524,1549,1258,774,419,229,79,4833,..,73,939,669,403,212,52,14,3,2360,..,0,26,98,168,93,49,54,32,528,2865,..,..,..,..,..,..,..,..,2865,..,714,..,..,..,..,..,..,..,714,..,254,237,71,88,37,4,0,0,688,..,49,75,20,17,43,33,30,26,291,..,29,73,18,4,9,5,0,0,135,..,165,359,93,53,57,24,4,0,757,..,31,245,252,265,275,223,141,105,1539,13,33,62,27,26,18,19,11,3,212,2879,1351,2544,2789,2280,1520,821,481,248,14928
POA3015,..,41,87,34,21,23,15,3,0,234,..,9,90,113,148,191,162,108,71,901,15,16,24,14,14,15,12,5,3,107,1909,766,1228,1752,1416,966,586,279,131,9041,..,11,685,2093,1521,1079,579,269,70,6309,..,70,780,696,452,236,78,17,0,2325,..,0,39,115,248,130,58,47,40,677,3877,..,..,..,..,..,..,..,..,3877,..,899,..,..,..,..,..,..,..,899,..,384,294,84,79,45,7,0,0,888,..,53,68,23,40,49,54,16,12,316,..,31,39,13,10,11,7,3,0,113,..,89,228,64,46,48,41,11,0,525,..,29,179,219,301,340,269,161,97,1594,35,32,32,33,29,24,13,11,3,206,3910,1593,2350,3347,2724,1955,1107,538,218,17732
