POA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
POA3000,403,231,67,40,45,45,19,853,29,11,7,0,0,3,3,56,61,35,15,8,0,4,0,121,57,26,16,10,6,0,0,124,0,0,0,0,0,0,0,0,554,303,107,58,58,55,24,1156,43,40,30,42,45,76,56,333,9,7,0,5,9,0,0,30,8,10,3,9,10,3,0,40,10,15,6,3,9,7,3,52,0,4,0,0,0,0,0,4,67,74,44,56,69,91,64,463,625,373,150,114,128,143,92,1620
POA3002,17,21,3,3,4,3,0,54,22,0,5,3,6,3,0,37,13,16,4,4,4,0,0,40,39,28,15,15,19,22,16,164,0,0,0,0,0,0,0,0,90,62,27,27,31,31,19,292,4,0,3,4,3,0,0,14,0,3,0,0,0,0,0,3,0,8,4,0,4,4,0,12,6,3,4,0,5,4,3,28,3,0,0,0,0,0,0,0,9,17,9,9,8,4,5,64,101,83,44,35,40,36,23,363
POA3003,130,71,31,23,22,20,11,311,16,12,4,9,7,0,0,49,32,24,6,6,9,3,4,75,52,41,18,15,21,7,0,162,0,0,0,0,0,0,0,0,226,142,66,54,57,40,11,587,9,11,13,6,24,13,6,76,0,4,6,9,3,0,0,18,5,4,0,0,4,4,0,17,6,3,6,0,6,3,0,19,0,0,0,0,0,0,0,0,15,21,19,13,33,15,14,129,238,163,86,69,87,55,20,720
POA3004,186,129,47,22,26,12,8,428,13,10,8,4,4,0,0,36,40,30,9,6,7,0,4,97,59,18,21,14,8,7,13,142,0,0,0,0,0,0,0,4,306,188,83,43,47,21,20,708,17,15,15,14,25,15,16,114,3,6,0,3,0,0,0,22,0,9,0,3,3,4,4,24,11,13,7,6,3,8,0,50,0,0,0,0,0,0,0,0,33,35,22,33,40,25,18,206,341,228,116,79,79,47,35,918
POA3006,376,218,69,28,29,28,19,763,47,8,3,6,3,0,0,66,73,29,5,0,4,3,3,123,83,34,19,10,16,13,4,178,7,0,0,0,0,0,0,9,581,297,98,44,45,49,26,1138,27,42,21,17,27,23,26,185,8,8,6,9,6,3,0,27,11,11,7,3,7,4,6,51,17,26,6,3,12,14,9,93,0,0,5,0,0,0,0,7,61,81,42,36,56,48,40,366,640,373,139,82,101,102,70,1505
POA3008,466,241,50,16,26,18,18,831,19,9,0,7,4,3,0,44,66,27,0,0,3,3,0,102,51,23,10,10,8,9,5,119,0,4,0,0,0,0,0,0,600,301,66,34,48,40,21,1103,18,32,8,12,19,25,22,137,12,0,0,5,8,0,3,23,9,3,0,0,0,0,3,12,4,7,0,7,8,9,3,36,0,0,0,0,0,0,0,0,37,44,14,19,29,30,27,206,640,344,77,54,75,69,46,1311
POA3011,297,221,114,68,66,53,36,863,109,75,33,12,15,13,5,256,143,96,44,8,19,10,0,324,440,299,135,50,79,36,23,1068,9,0,0,0,0,0,0,5,989,691,334,148,179,108,77,2516,43,55,24,23,34,24,22,217,14,13,9,14,13,4,0,77,9,10,5,3,9,6,4,43,29,62,39,19,22,11,9,193,6,7,0,0,0,0,0,12,95,154,85,50,76,40,32,539,1093,844,416,198,254,148,102,3052
POA3012,434,380,189,108,166,131,56,1459,202,179,109,36,48,19,10,603,223,170,68,33,42,18,7,556,659,521,251,147,151,75,27,1833,6,5,4,4,0,0,0,20,1511,1258,626,335,403,245,99,4469,30,82,51,38,54,63,33,350,19,45,20,14,22,3,9,136,20,24,9,5,10,5,0,80,43,72,56,40,65,22,6,312,8,10,8,4,0,0,0,24,119,232,143,101,152,93,49,897,1633,1487,768,437,557,338,151,5371
POA3013,163,132,60,46,41,24,13,471,132,120,56,39,66,21,15,450,151,118,50,28,30,10,15,402,517,513,276,182,198,111,42,1843,0,0,0,0,0,0,0,8,964,886,440,297,335,172,84,3177,6,14,15,4,8,7,3,58,11,20,19,12,11,3,3,79,3,4,7,9,7,7,6,51,13,54,43,35,31,15,10,208,3,0,0,0,0,0,0,7,44,105,83,51,58,38,27,399,1006,984,524,350,396,212,110,3581
POA3015,237,204,86,53,43,30,25,662,173,135,91,52,61,27,14,559,200,164,69,30,44,35,10,561,730,656,384,216,233,119,59,2406,0,3,0,0,0,0,0,3,1340,1171,625,349,382,210,105,4184,15,15,15,10,15,4,4,78,9,29,21,19,26,10,3,116,12,12,18,7,6,12,3,75,23,66,56,44,60,38,14,301,5,0,3,0,0,0,0,12,63,133,108,81,110,67,30,591,1404,1303,740,432,489,276,137,4771
