POA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA3000,..,10393,10393,5640,2887,8524,1352,674,2026,444,212,656,76,44,118,27,11,39,7534,14211,21750
POA3002,..,1035,1035,913,106,1019,156,35,190,80,22,101,38,4,38,10,0,7,1195,1202,2396
POA3003,..,1504,1504,1257,336,1591,356,119,476,187,36,223,29,14,40,8,7,16,1836,2015,3853
POA3004,..,2566,2566,2061,319,2382,447,64,511,218,10,227,35,0,33,10,0,9,2773,2958,5728
POA3006,..,5113,5113,3888,1145,5033,966,312,1280,361,55,414,54,3,59,14,3,19,5284,6643,11920
POA3008,..,2973,2973,2721,538,3255,808,91,899,290,43,337,49,13,65,15,0,11,3880,3665,7540
POA3011,..,3300,3300,2849,533,3382,1209,265,1469,888,78,962,225,30,251,75,10,81,5246,4206,9450
POA3012,..,3051,3051,2943,461,3405,1674,177,1855,1499,70,1568,441,31,471,186,15,204,6744,3807,10550
POA3013,..,1543,1543,1828,222,2051,916,76,992,1114,14,1123,289,5,296,56,5,62,4199,1859,6060
POA3015,..,1591,1591,2015,153,2167,1161,43,1212,1405,19,1423,388,4,396,101,0,103,5081,1818,6897
POA3016,..,1631,1631,1865,84,1949,930,15,942,1127,3,1131,386,0,388,79,0,79,4387,1733,6118
POA3018,..,1709,1709,1815,113,1931,840,12,847,781,7,786,233,0,235,81,0,79,3755,1839,5591
POA3019,..,876,876,857,148,1008,576,52,622,430,36,464,248,15,259,166,13,176,2271,1145,3412
POA3020,..,3703,3703,3973,468,4438,2497,189,2689,2338,112,2451,1023,60,1081,802,39,848,10637,4568,15211
POA3021,..,3911,3911,4780,411,5200,3168,203,3375,2760,113,2870,1357,43,1398,1166,14,1181,13235,4701,17935
POA3022,..,366,366,308,34,344,174,10,184,137,8,140,55,3,61,50,0,48,722,420,1143
POA3023,..,3009,3009,4381,297,4678,3733,90,3829,4691,38,4736,2088,13,2095,1342,8,1352,16242,3457,19696
POA3024,..,1454,1454,2432,240,2676,2431,47,2479,2335,22,2358,884,8,892,641,3,646,8729,1764,10489
POA3025,..,1255,1255,1379,98,1472,768,18,784,693,6,710,285,3,287,183,0,182,3313,1385,4697
POA3026,..,243,243,395,30,421,440,9,451,681,10,686,313,8,325,234,5,239,2061,302,2368
POA3027,..,321,321,598,66,664,650,41,691,685,32,719,236,11,251,171,10,179,2339,484,2823
POA3028,..,2663,2663,3103,268,3372,1890,65,1952,1666,30,1696,563,13,574,269,5,275,7483,3035,10524
POA3029,..,5122,5122,7966,695,8666,8010,295,8306,8884,221,9107,3777,110,3889,2840,49,2890,31480,6493,37971
POA3030,..,6786,6786,9447,777,10226,7796,203,8002,8653,92,8740,3157,34,3195,1744,18,1764,30796,7914,38707
POA3031,..,2967,2967,2279,378,2664,924,182,1103,741,60,803,211,8,221,82,0,83,4241,3603,7842
POA3032,..,3667,3667,3547,502,4048,1778,168,1943,1629,56,1687,525,20,542,187,9,199,7663,4416,12080
POA3033,..,1107,1107,1744,84,1829,974,17,998,1051,0,1058,357,0,357,107,0,104,4235,1215,5447
POA3034,..,1044,1044,1427,66,1499,769,15,780,755,3,756,293,6,295,115,0,115,3357,1138,4491
POA3036,..,442,442,697,17,716,351,0,353,435,0,436,148,0,148,60,0,60,1695,464,2156
POA3037,..,2335,2335,3644,180,3821,3022,36,3059,3986,15,4003,1735,8,1744,837,0,838,13221,2575,15793
POA3038,..,1357,1357,2736,100,2835,1747,16,1761,1897,7,1900,739,5,742,333,0,332,7446,1490,8933
POA3039,..,2364,2364,2030,225,2250,853,93,947,877,48,925,293,10,300,76,5,77,4128,2733,6862
POA3040,..,3164,3164,2841,277,3116,1497,80,1582,1747,23,1770,665,7,670,152,4,166,6904,3561,10466
POA3041,..,1202,1202,1345,84,1430,715,15,736,980,11,993,365,0,367,88,0,88,3499,1320,4811
POA3042,..,1848,1848,2013,123,2135,1112,27,1144,1092,10,1102,337,4,347,96,5,96,4654,2017,6668
POA3043,..,1819,1819,2120,121,2237,1162,14,1179,1051,5,1057,387,6,390,175,4,179,4899,1961,6857
POA3044,..,2822,2822,3133,339,3473,1776,94,1871,1983,36,2021,572,8,585,157,4,161,7622,3306,10928
