POA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
POA3000,0,14,2224,0,11,2244,0,8,2398,3,3,2416,5,17,14218,6,69,14328,0,0,30,0,0,30,0,0,135,0,3,138,0,9,1518,0,11,1537,0,0,261,0,6,268,0,0,52,0,0,56,10,28,16215,5,97,16357,0,0,451,0,3,450,0,0,268,0,12,280,7,48,21559,10,126,21750
POA3002,46,216,378,0,3,645,17,120,289,0,3,428,10,153,901,4,0,1062,0,0,4,0,0,4,0,0,0,0,0,0,8,41,145,0,0,184,0,4,10,0,0,9,0,0,0,0,0,0,7,191,1058,4,4,1264,4,13,23,0,0,38,0,4,14,0,0,21,77,538,1762,3,9,2396
POA3003,16,131,302,0,0,453,14,171,606,0,0,795,14,280,1835,6,0,2142,0,40,10,0,0,52,0,11,16,0,0,27,10,70,184,6,0,264,0,5,29,0,0,36,0,0,0,0,0,0,15,397,2076,15,0,2511,0,17,38,0,0,57,0,11,35,0,0,40,46,718,3066,21,7,3853
POA3004,0,0,1240,0,4,1246,0,0,1195,0,0,1195,3,7,2783,0,5,2796,0,0,6,0,0,6,0,0,8,0,0,6,0,0,300,0,5,303,0,0,20,0,0,20,0,0,12,0,0,12,5,4,3125,0,10,3143,0,0,91,0,0,92,0,0,47,0,4,50,6,7,5694,0,25,5728
POA3006,0,32,1469,0,0,1500,0,32,2072,0,8,2114,0,66,7098,5,30,7195,0,0,3,0,3,4,0,0,10,0,0,10,0,25,668,0,3,700,0,0,52,0,0,52,0,0,18,0,0,18,0,93,7855,5,34,7984,0,0,205,0,0,203,0,0,111,0,5,119,3,158,11712,9,43,11920
POA3008,12,20,893,0,6,930,9,36,1317,0,5,1359,13,30,4513,0,7,4567,0,0,44,0,0,44,0,0,63,0,0,63,0,12,331,0,0,348,0,3,27,0,0,35,0,0,6,0,0,6,18,40,4986,0,7,5059,0,3,124,0,0,131,0,0,61,0,0,63,41,108,7376,5,20,7540
POA3011,1071,169,275,15,0,1525,1237,466,1019,13,3,2739,1002,451,2188,22,10,3672,46,187,227,0,0,455,6,19,118,0,0,151,226,108,240,9,0,584,21,5,32,8,0,66,7,0,10,0,0,24,1306,767,2818,37,9,4945,57,18,34,0,0,112,51,19,60,0,0,135,3724,1445,4200,69,16,9450
POA3012,1711,323,168,4,0,2220,2283,1040,414,14,4,3751,1142,955,1048,14,5,3165,109,240,63,0,0,411,32,15,19,0,0,66,313,140,102,6,0,558,28,18,12,0,0,64,11,0,4,0,0,23,1639,1376,1250,19,9,4289,80,27,24,0,0,128,92,36,34,0,0,161,5798,2803,1892,41,16,10550
POA3013,1409,145,42,12,0,1608,1769,347,191,13,0,2323,815,357,353,40,0,1568,41,47,12,0,0,96,21,7,12,0,0,37,187,60,39,8,0,287,11,3,8,4,0,19,0,0,0,0,0,0,1074,469,413,54,0,2011,57,12,6,0,0,72,43,8,7,0,0,59,4346,981,661,74,5,6060
POA3015,1512,320,48,5,0,1887,1873,822,100,7,0,2798,674,722,239,9,0,1645,18,32,14,0,0,68,30,9,7,0,0,45,185,85,26,10,0,305,13,7,6,0,0,23,0,7,0,0,0,4,917,859,288,22,3,2087,36,27,6,5,0,65,37,11,8,0,0,56,4373,2042,452,30,4,6897
