POA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
POA3000,0,0,163,0,0,163,0,0,22,0,0,22,0,0,36,0,0,36,0,0,47,0,0,51,0,0,90,0,0,98,0,0,389,0,0,390,0,0,451,0,0,456,0,0,542,0,0,545,0,0,210,0,0,208,0,0,164,0,0,164,0,8,165,0,0,165,0,0,127,0,0,125,0,8,2398,3,3,2416
POA3002,4,12,19,0,0,37,0,0,3,0,0,3,0,0,6,0,0,6,0,0,11,0,0,10,0,5,6,0,0,9,0,5,27,0,0,34,0,9,40,0,0,45,0,9,42,0,0,52,0,7,25,0,0,33,3,13,20,0,0,34,4,43,72,0,0,124,0,9,18,0,0,32,17,120,289,0,3,428
POA3003,0,7,22,0,0,29,0,0,6,0,0,6,0,0,0,0,0,0,0,0,8,0,0,13,0,0,14,0,0,16,0,8,87,0,0,98,0,10,105,0,0,114,0,21,141,0,0,161,0,22,79,0,0,98,0,47,70,0,0,124,4,41,55,0,0,94,0,13,23,0,0,40,14,171,606,0,0,795
POA3004,0,0,59,0,0,59,0,0,11,0,0,11,0,0,10,0,0,10,0,0,8,0,0,8,0,0,31,0,0,31,0,0,133,0,0,133,0,0,196,0,0,196,0,0,287,0,0,287,0,0,139,0,0,139,0,0,106,0,0,106,0,0,146,0,0,146,0,0,70,0,0,70,0,0,1195,0,0,1195
POA3006,0,3,89,0,0,86,0,0,16,0,0,16,0,0,18,0,0,18,0,0,26,0,0,33,0,4,58,0,0,58,0,3,280,0,0,284,0,0,401,0,6,402,0,8,541,0,0,552,0,0,218,0,0,221,0,0,167,0,0,172,0,6,153,0,0,160,0,6,115,0,0,114,0,32,2072,0,8,2114
POA3008,0,3,59,0,0,62,0,0,13,0,0,13,0,0,5,0,0,5,0,0,23,0,0,23,0,0,27,0,0,31,0,5,155,0,0,158,0,5,235,0,0,241,0,0,333,0,0,336,0,0,121,0,0,121,0,5,159,0,0,164,5,20,123,0,0,153,0,0,61,0,0,62,9,36,1317,0,5,1359
POA3011,63,22,20,0,0,109,14,6,6,0,0,29,8,7,9,0,0,18,15,11,25,0,0,49,30,16,56,0,0,98,98,30,227,3,0,350,96,58,249,0,3,405,232,93,229,0,0,554,202,76,78,3,0,358,250,88,58,0,0,394,168,44,27,0,0,241,67,20,42,0,0,125,1237,466,1019,13,3,2739
POA3012,109,45,11,0,0,163,28,9,4,0,0,40,24,10,11,0,0,40,59,21,11,0,0,93,61,16,31,0,0,112,165,88,121,0,0,374,241,159,106,0,0,512,459,327,70,5,0,864,355,177,19,0,0,553,400,92,11,0,0,507,246,46,0,3,0,297,139,55,17,0,0,204,2283,1040,414,14,4,3751
POA3013,99,20,3,0,0,118,19,3,0,0,0,25,19,0,0,0,0,26,30,8,4,0,0,45,38,5,6,0,0,48,126,24,26,0,0,171,128,32,46,3,0,213,266,70,47,3,0,385,242,67,31,0,0,338,392,66,7,0,0,464,325,38,3,0,0,369,79,16,12,0,0,108,1769,347,191,13,0,2323
POA3015,82,26,9,0,0,108,27,5,0,0,0,36,28,5,0,0,0,33,32,12,0,0,0,48,42,12,10,0,0,61,126,62,9,0,0,199,150,87,8,3,0,252,285,180,29,0,0,495,278,157,19,0,0,454,381,159,5,0,0,544,340,77,0,0,0,423,109,31,5,0,0,138,1873,822,100,7,0,2798
