POA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
POA3000,40,7,3,0,4,7,68,6,0,0,0,0,0,6,3,0,3,0,3,0,13,7,0,0,0,0,5,17,8,3,0,0,0,0,12,25,3,0,0,3,0,37,21,15,0,4,3,4,52,64,19,5,4,3,3,91,56,22,4,6,3,4,98,50,13,3,3,5,4,85,51,19,5,5,4,0,90,82,25,7,11,8,9,142,39,11,3,0,0,3,56,43,11,4,3,0,3,60,36,15,0,0,0,3,65,50,27,0,9,9,9,102,24,8,9,0,4,6,52,34,14,11,0,3,4,69,34,17,3,6,6,6,67,674,237,69,57,69,65,1172
POA3002,8,4,9,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,0,0,0,0,3,7,0,0,0,0,0,6,3,0,0,0,0,0,8,7,0,0,0,0,0,7,6,3,0,0,0,0,10,0,0,3,0,0,0,4,13,0,0,0,0,0,19,4,0,0,0,0,0,4,4,0,0,0,0,0,10,3,0,0,0,0,0,9,15,0,4,0,0,0,20,19,5,3,0,0,0,26,41,19,10,0,0,0,68,12,0,0,3,3,0,26,150,46,30,10,8,7,247
POA3003,11,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,4,0,0,0,0,7,4,0,0,0,0,0,8,12,0,0,0,0,0,11,12,4,3,0,0,0,19,18,4,0,0,6,0,33,21,0,4,0,5,0,28,16,11,0,0,0,0,28,19,8,0,3,9,0,39,12,4,3,0,0,0,23,14,16,0,3,0,0,30,19,12,6,0,0,0,42,48,35,7,3,3,0,95,13,21,4,3,3,0,41,11,25,5,0,0,0,43,9,12,3,0,5,0,24,244,164,32,15,35,7,499
POA3004,14,0,0,0,4,4,25,0,0,0,0,6,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,4,4,0,0,0,4,0,7,11,3,0,0,8,0,27,18,4,0,0,5,3,30,29,3,0,0,3,0,35,20,8,0,3,0,6,37,35,10,6,5,0,0,48,43,20,3,3,0,4,77,15,9,0,0,0,0,26,26,6,0,0,0,0,37,22,15,5,8,0,3,50,41,16,8,0,7,0,69,22,10,0,0,5,0,42,31,19,9,0,4,4,67,20,6,4,3,8,0,38,354,150,31,31,42,21,629
POA3006,18,7,0,0,3,0,39,3,0,0,0,4,0,3,4,0,0,0,0,0,4,3,0,0,0,0,0,6,8,0,0,0,4,0,11,16,4,0,3,3,0,24,29,3,0,0,0,0,37,46,14,0,0,5,0,72,60,16,0,0,7,5,86,70,16,9,3,8,5,112,65,21,0,5,9,3,104,89,34,3,4,5,9,142,42,20,0,3,4,3,68,46,18,5,5,5,6,76,37,9,7,7,9,0,73,59,35,11,5,0,0,108,27,15,0,3,3,0,45,28,13,9,3,8,3,63,34,26,3,4,0,0,63,680,250,48,59,71,34,1148
POA3008,10,6,4,4,3,0,24,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,5,4,0,0,0,4,10,10,0,0,0,0,0,13,18,7,0,0,0,0,27,21,8,3,0,3,0,43,43,12,3,0,5,0,61,36,20,4,0,0,0,63,31,14,0,0,3,0,54,61,30,6,8,3,0,112,19,17,4,0,3,0,50,27,3,0,0,0,0,36,30,12,4,3,3,4,51,78,20,9,0,9,6,119,23,17,0,4,3,0,47,36,22,12,0,3,0,76,21,8,8,0,0,0,40,495,198,67,28,49,19,841
POA3011,31,19,15,0,4,0,74,4,3,6,0,0,0,10,3,3,5,0,0,0,14,7,4,0,0,0,0,11,17,3,4,0,0,0,26,30,14,5,4,4,3,51,14,20,3,11,12,0,60,42,25,13,12,6,5,103,41,46,7,11,11,0,112,62,40,4,3,8,0,117,37,32,3,7,4,6,94,68,81,12,8,10,0,180,42,48,0,8,0,0,105,45,54,3,3,8,0,109,73,82,12,11,0,0,180,137,170,13,11,7,0,343,49,70,8,3,5,0,141,30,43,6,0,0,0,78,37,30,7,9,6,5,83,772,796,134,98,75,24,1902
POA3012,22,40,22,4,15,0,103,4,6,3,0,0,0,15,10,7,12,0,0,0,24,10,0,7,6,7,0,27,14,25,9,7,4,5,70,19,21,7,3,12,0,65,25,48,15,7,16,0,107,38,59,18,7,9,4,133,43,69,17,5,12,0,146,74,74,20,17,13,0,196,69,73,20,6,5,4,175,112,157,28,20,11,5,334,72,89,6,3,6,6,179,54,93,8,7,0,0,162,119,174,14,6,5,0,321,139,270,24,18,7,3,462,43,114,11,11,7,0,183,28,50,9,4,3,0,87,39,62,18,8,21,0,151,928,1418,268,141,167,34,2954
POA3013,25,32,16,7,4,3,84,5,5,3,0,0,0,13,11,5,6,0,0,0,21,5,8,6,0,6,0,19,10,8,6,0,0,0,26,13,12,5,0,0,0,32,20,21,16,0,6,4,67,17,22,12,5,0,0,56,19,32,4,6,0,4,72,24,36,16,0,3,0,83,24,29,10,3,0,0,67,46,74,28,4,10,0,166,22,45,3,7,9,0,82,34,56,7,8,0,0,110,58,102,6,8,0,0,183,120,260,33,17,8,0,432,51,125,20,6,4,0,204,36,100,13,8,4,0,154,26,32,14,4,4,0,77,567,1007,222,90,59,12,1951
POA3015,24,23,20,0,6,3,69,0,4,5,0,0,0,15,4,8,5,0,0,0,24,7,9,5,3,0,0,21,9,11,11,4,4,0,36,7,20,6,3,8,0,39,6,32,18,3,10,0,69,16,42,16,4,7,0,81,22,43,17,5,6,0,86,21,42,19,3,10,0,101,23,44,13,8,4,0,89,48,107,32,5,12,5,202,42,60,8,7,3,0,125,41,86,4,7,3,0,144,84,141,24,8,5,0,259,130,321,42,21,13,0,521,58,156,18,9,4,0,248,40,94,16,7,3,0,160,32,55,23,0,6,3,124,612,1297,289,106,101,15,2415
