POA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
POA3000,26,0,0,3,4,0,38,0,0,0,3,0,0,7,50,0,14,55,13,6,129,183,5,23,87,26,3,328,298,8,23,89,16,3,433,932,11,26,153,30,6,1148,3664,3,14,300,44,5,4034,5382,9,15,344,66,3,5821,2188,4,8,188,22,4,2417,677,0,0,74,8,3,754,344,0,0,34,8,0,396,145,0,0,22,3,0,168,53,0,0,10,0,0,62,182,0,0,26,3,0,210,207,0,0,150,22,23,409,14328,30,138,1537,268,56,16357
POA3002,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,8,0,0,0,10,0,0,10,5,0,0,3,0,0,17,22,0,0,7,0,0,36,108,0,0,17,0,0,128,274,0,0,35,3,0,316,215,0,0,30,5,0,246,126,0,0,15,0,0,138,74,0,0,12,0,0,85,58,0,0,9,0,0,67,56,0,0,8,0,0,68,103,0,0,17,0,0,121,17,0,0,16,3,0,33,1062,4,0,184,9,0,1264
POA3003,0,0,0,4,0,0,8,0,0,0,3,0,0,6,4,15,4,0,0,0,25,14,9,5,19,0,0,48,10,3,3,12,4,0,30,62,3,6,20,0,0,91,488,9,0,45,7,0,544,866,0,4,59,10,0,944,377,0,0,35,4,0,418,129,0,0,24,0,0,154,65,0,0,13,0,0,82,35,0,0,8,0,0,42,31,0,0,0,0,0,31,34,0,0,0,0,0,38,26,0,0,20,6,0,56,2142,52,27,264,36,0,2511
POA3004,6,0,0,0,0,0,9,0,0,0,0,0,0,0,5,0,0,3,0,0,9,9,0,7,9,0,0,13,9,0,0,10,0,0,17,31,0,0,29,0,0,64,300,0,0,40,4,0,341,900,0,0,63,9,0,969,843,0,0,63,5,3,917,301,0,0,31,0,0,344,153,0,0,15,0,0,160,64,0,0,6,0,0,71,36,0,0,7,0,0,40,102,0,0,15,0,0,113,47,0,5,14,3,5,73,2796,6,6,303,20,12,3143
POA3006,11,0,0,3,0,0,10,0,0,0,0,0,0,0,10,0,0,18,0,0,30,30,0,3,27,5,0,60,23,0,0,22,0,0,46,90,0,0,54,0,0,152,1240,0,0,118,6,0,1366,2842,0,0,149,12,8,3010,1612,0,0,134,17,0,1765,625,0,0,63,4,0,702,256,0,0,18,0,0,271,122,0,0,7,0,0,129,64,0,0,3,0,0,74,175,0,0,17,9,0,193,103,3,0,58,8,7,177,7195,4,10,700,52,18,7984
POA3008,4,0,0,7,0,0,10,3,0,0,0,0,0,0,0,3,3,6,0,0,12,5,5,10,16,4,0,45,11,11,15,8,0,0,42,60,5,15,30,4,0,111,819,13,10,42,3,0,887,1655,0,10,75,7,0,1751,982,3,0,46,0,0,1031,410,3,0,38,4,0,455,220,0,0,17,5,0,242,132,0,0,12,0,0,144,75,0,0,5,0,0,79,97,0,0,15,0,0,113,84,0,3,32,6,0,126,4567,44,63,348,35,6,5059
POA3011,0,26,0,3,0,0,32,4,35,0,3,6,0,49,19,184,19,33,3,0,257,40,78,38,42,0,0,195,60,38,22,19,6,0,153,286,24,24,44,12,3,394,782,22,22,133,12,0,972,1226,16,11,115,8,0,1373,718,6,3,100,3,0,835,330,0,0,31,5,0,362,100,3,0,5,0,0,107,32,0,0,0,0,0,38,9,0,0,0,0,0,5,25,0,0,4,0,0,33,38,35,7,41,4,11,136,3672,455,151,584,66,24,4945
POA3012,3,23,8,10,0,0,40,3,28,0,9,0,0,40,9,175,7,30,10,0,244,31,53,16,37,0,0,147,92,32,11,18,6,0,158,235,18,5,55,6,0,325,623,20,4,121,7,0,783,1083,18,9,140,11,0,1261,707,6,5,59,5,0,781,209,0,0,31,0,0,240,65,0,0,6,0,0,70,13,0,0,4,0,0,13,9,0,0,0,0,0,9,30,0,0,4,0,0,36,45,33,7,40,8,15,145,3165,411,66,558,64,23,4289
POA3013,0,3,0,0,0,0,9,0,9,0,0,0,0,10,0,27,4,4,0,0,43,3,25,9,8,0,0,49,7,7,7,8,0,0,28,43,0,4,25,0,0,80,149,4,4,49,6,0,210,356,6,0,53,10,0,430,484,0,0,57,0,0,542,277,0,0,30,0,0,316,156,0,0,14,0,0,170,49,0,0,0,0,0,53,9,0,0,3,0,0,10,19,0,0,5,0,0,20,15,4,0,15,0,0,44,1568,96,37,287,19,0,2011
POA3015,0,4,0,5,0,0,10,0,7,0,0,0,0,5,0,18,7,6,0,0,34,8,13,10,22,0,0,57,15,8,7,7,0,0,41,76,8,9,21,3,0,110,167,9,4,48,4,0,228,352,5,4,69,10,0,438,446,0,0,41,0,0,492,294,0,0,29,0,0,322,157,0,0,11,0,0,173,60,0,0,9,0,0,61,25,0,0,4,0,0,27,19,0,0,3,0,0,25,21,5,0,29,6,4,61,1645,68,45,305,23,4,2087
