POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA3000,2984,2791,5774,791,779,1575,588,576,1169,5417,4912,10327,417,411,828,203,195,396,322,234,552,105,101,207,33,37,77,94,94,184,0,0,0,7174,6553,13732,7888,8908,16796,204,167,366,16055,16416,32473,2155,1989,4147,21198,21191,42392
POA3002,826,963,1789,111,117,227,61,75,139,812,825,1633,46,52,92,20,22,43,17,28,45,10,7,15,7,7,5,21,17,32,0,0,0,990,1031,2014,214,235,447,19,17,33,1330,1393,2725,138,141,277,2296,2494,4790
POA3003,730,733,1458,122,121,239,108,111,213,1440,1349,2793,81,95,179,28,43,70,50,46,93,8,11,26,5,11,12,27,16,43,0,0,0,1753,1686,3441,962,1028,1987,42,33,76,2875,2866,5745,372,198,567,3973,3796,7770
POA3004,1464,1596,3063,223,212,434,175,162,339,1716,1680,3395,109,113,224,42,54,99,71,63,134,22,29,48,11,7,14,29,18,46,0,0,0,2169,2129,4302,1007,1106,2117,62,52,113,3462,3502,6967,557,533,1092,5488,5632,11118
POA3006,2043,2118,4156,506,468,973,380,325,708,3606,3168,6778,270,294,563,98,106,205,162,163,327,49,47,95,27,13,39,61,68,130,0,0,0,4655,4185,8846,3154,3382,6536,137,94,227,8447,8138,16579,646,619,1260,11136,10867,22001
POA3008,1342,1315,2654,464,390,852,229,183,411,2180,1907,4085,155,140,297,53,59,116,74,76,146,23,19,44,12,16,27,45,36,79,0,0,0,2765,2444,5206,2332,2263,4591,74,61,140,5640,5152,10790,697,668,1364,7672,7130,14802
POA3011,4294,4188,8481,555,559,1116,191,217,412,3266,3145,6408,140,132,273,38,48,84,69,66,138,28,29,60,26,19,45,22,35,64,0,0,0,3796,3688,7479,1174,1129,2304,153,115,263,5672,5499,11168,802,665,1469,10770,10348,21120
POA3012,6177,6445,12621,605,606,1204,173,150,328,3439,3515,6956,93,95,187,60,55,110,51,52,105,27,26,49,27,23,48,23,27,50,0,0,0,3889,3942,7828,1139,867,2005,110,96,204,5738,5506,11250,809,621,1431,12728,12574,25302
POA3013,4021,4309,8324,430,479,908,104,123,228,1697,1804,3501,69,74,141,30,27,54,32,43,77,9,15,29,10,9,16,17,20,45,0,0,0,1967,2115,4078,329,333,659,42,45,91,2773,2963,5736,269,259,525,7052,7533,14592
POA3015,4752,5013,9768,559,569,1133,97,107,212,1938,2094,4026,66,74,138,32,27,59,53,62,114,9,15,28,12,12,23,26,21,48,0,0,0,2240,2415,4654,416,420,837,53,45,98,3278,3448,6728,336,345,685,8367,8808,17179
