POA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
POA3000,23,756,3838,1761,664,369,101,6,0,7525,208,1440,2115,544,203,128,58,17,6,4712,27,212,295,76,28,25,4,0,0,677,6,69,149,38,13,6,6,3,0,277,270,2473,6395,2423,905,529,164,28,3,13185,7,167,319,124,49,25,10,0,0,699,72,331,232,37,10,11,4,0,0,694,83,498,546,154,57,35,15,0,0,1394,349,2971,6942,2582,963,560,174,32,3,14578,342,1605,1099,310,191,193,261,131,26,4173,78,427,842,347,189,105,46,23,3,2058,773,5009,8888,3240,1333,867,482,183,40,20810,26,840,3083,1039,441,212,40,0,0,5687,311,1949,2651,647,214,154,48,6,0,5982,65,260,307,104,32,36,11,0,0,805,8,64,122,30,8,9,0,0,0,239,415,3118,6164,1814,693,405,104,11,0,12713,10,155,261,75,38,21,4,0,0,571,85,377,240,57,22,12,3,0,0,788,95,531,506,126,65,33,6,0,0,1360
POA3002,3,38,394,273,177,174,62,11,0,1138,3,51,85,48,19,45,63,28,0,351,0,10,19,11,0,9,4,4,0,56,0,0,4,0,0,0,0,3,0,10,11,93,499,336,200,228,134,45,0,1555,0,7,14,9,4,6,0,0,0,42,0,4,4,0,0,4,3,0,0,10,0,9,18,9,6,7,0,0,0,58,13,101,520,347,210,242,137,46,0,1604,28,20,18,27,26,54,143,118,36,466,3,4,27,29,22,12,22,15,0,132,40,130,565,397,255,308,299,172,39,2210,6,45,373,207,159,118,44,0,0,957,19,57,105,87,63,89,51,7,0,486,5,7,24,9,6,11,5,0,0,67,0,0,0,6,0,3,4,0,0,19,25,117,501,319,232,220,103,14,0,1522,0,0,9,6,8,7,3,0,0,28,0,0,5,0,7,10,0,0,0,16,0,0,15,6,10,11,3,0,0,44
POA3003,3,134,872,452,235,109,18,3,0,1821,24,163,363,95,47,43,17,3,0,750,4,31,47,20,0,11,0,0,0,108,0,14,21,9,3,0,0,0,0,44,28,334,1303,577,285,155,40,10,0,2725,7,15,50,18,5,8,0,0,0,103,10,19,13,11,8,0,0,0,0,66,9,34,67,27,11,3,6,0,0,166,42,371,1363,606,292,165,41,7,0,2889,65,122,198,113,61,47,64,31,5,715,5,26,91,40,14,12,11,0,0,205,117,523,1655,761,372,223,117,45,5,3812,0,125,756,309,173,71,7,0,0,1445,27,203,417,142,60,49,16,3,0,918,8,35,58,31,4,6,0,0,0,143,0,8,9,3,0,0,0,0,0,25,38,374,1245,488,239,130,31,3,0,2534,4,14,54,15,6,6,0,0,0,91,17,31,24,20,5,9,0,0,0,95,16,45,81,30,14,5,0,0,0,190
POA3004,5,116,963,811,379,270,111,17,0,2679,20,113,248,111,67,71,87,38,0,756,5,15,38,24,10,8,7,3,0,115,0,0,28,11,8,0,0,0,0,48,30,245,1275,961,466,351,196,63,6,3597,0,11,36,38,27,13,3,0,0,132,5,16,17,6,0,5,4,0,0,51,5,22,48,47,31,17,10,0,0,183,34,270,1326,1010,505,370,205,63,5,3783,62,59,95,62,61,90,238,234,64,963,9,33,157,84,71,45,46,42,38,524,101,359,1574,1152,630,507,489,342,109,5262,7,95,947,496,297,191,50,7,0,2089,20,113,389,214,106,102,104,18,0,1072,7,26,54,34,13,13,12,3,0,155,0,0,16,5,0,0,0,0,0,26,35,239,1403,750,411,311,163,29,0,3341,0,12,39,26,14,4,0,0,0,99,6,15,18,6,7,12,5,0,0,69,6,26,57,38,19,16,6,0,0,169
POA3006,10,371,2725,1555,626,326,81,8,0,5694,44,431,1037,308,94,100,69,19,0,2090,5,76,154,57,20,16,9,0,0,338,0,19,71,21,6,7,0,0,0,120,62,888,3984,1938,746,443,152,20,0,8241,0,37,116,73,28,21,5,0,0,286,22,58,61,20,3,10,4,0,0,177,24,100,174,92,31,28,8,0,0,460,85,990,4161,2034,776,476,161,23,0,8700,107,297,313,141,80,128,227,148,34,1480,8,55,271,146,52,46,29,8,4,624,202,1341,4744,2322,907,646,420,184,34,10802,8,376,2305,993,404,220,34,0,0,4339,68,554,1198,377,139,120,67,6,0,2532,18,89,179,75,21,20,5,0,0,398,0,22,52,19,3,8,0,0,0,103,95,1039,3736,1456,572,362,103,7,0,7371,6,33,133,52,23,14,0,0,0,267,29,74,70,28,18,3,0,0,0,227,35,114,203,83,36,23,0,0,0,495
POA3008,3,167,1769,1085,478,307,70,7,0,3892,14,175,485,153,79,77,53,8,0,1042,0,40,90,38,26,25,9,0,0,223,0,6,31,16,6,9,0,0,0,64,29,391,2375,1295,583,412,129,22,0,5228,0,22,86,50,21,20,5,0,0,207,10,52,37,9,3,4,0,0,0,118,10,71,125,59,22,28,8,0,0,323,32,466,2499,1351,610,442,138,22,0,5553,80,235,279,109,71,122,200,82,22,1193,10,69,303,143,55,49,36,11,0,668,118,770,3083,1601,733,604,375,107,22,7413,0,174,1304,615,303,146,29,5,0,2583,35,214,594,215,110,118,40,0,0,1325,10,31,105,60,21,21,3,0,0,250,0,11,28,11,5,0,5,0,0,56,44,430,2027,899,432,295,81,4,0,4215,0,18,105,46,17,13,0,0,0,203,16,47,62,32,7,17,3,0,0,176,15,71,171,71,29,26,3,0,0,379
POA3011,12,190,1706,1392,724,428,73,3,0,4530,81,327,650,340,184,152,35,6,0,1769,10,49,93,49,36,22,12,0,0,278,3,7,53,21,14,3,0,0,0,103,104,578,2499,1806,957,606,117,10,0,6679,0,33,85,72,48,39,0,0,0,282,28,49,51,20,15,11,4,0,0,180,31,87,136,93,69,46,5,0,0,457,137,659,2638,1891,1029,649,125,10,0,7138,171,131,242,178,205,290,471,265,136,2083,17,66,228,139,74,71,68,45,14,733,324,866,3107,2209,1304,1013,666,319,150,9949,11,159,1424,920,559,261,32,0,0,3371,100,359,823,551,295,210,51,0,0,2387,9,54,151,109,32,32,12,0,0,403,4,16,26,12,10,0,0,0,0,66,130,590,2434,1591,889,503,92,0,0,6237,5,20,62,32,30,25,0,0,0,179,23,40,54,25,17,21,0,0,0,188,32,61,120,56,47,46,4,0,0,362
POA3012,15,207,1746,1680,1043,506,95,5,0,5297,128,299,616,299,233,183,51,3,0,1804,12,22,75,65,36,33,6,0,0,254,4,17,68,29,15,15,0,4,0,148,164,546,2504,2077,1325,731,151,13,0,7500,9,36,119,58,50,38,4,0,0,318,46,34,44,15,13,21,4,0,0,181,60,76,155,77,67,60,9,0,0,497,222,614,2659,2152,1388,789,163,16,3,8005,289,133,262,185,224,364,504,330,145,2438,33,49,235,145,103,71,34,36,25,744,535,805,3156,2480,1718,1228,697,379,179,11184,14,187,1410,1089,772,346,41,3,0,3867,157,279,714,718,464,271,64,4,0,2676,33,50,152,143,54,31,10,0,0,472,0,11,37,20,15,5,3,0,0,94,206,535,2310,1963,1306,651,118,10,0,7103,0,24,56,29,37,27,3,0,0,176,37,45,33,37,29,33,4,0,0,224,43,64,92,63,66,57,12,0,0,401
POA3013,19,109,839,1095,836,392,66,3,0,3365,98,136,195,133,112,120,58,8,0,859,24,17,41,24,20,30,6,0,0,161,0,5,13,7,8,12,4,3,0,49,141,270,1086,1265,978,546,127,15,0,4433,0,9,24,23,32,22,4,0,0,122,22,19,17,6,3,15,0,0,0,84,26,27,48,31,33,29,8,3,0,197,164,290,1131,1298,1014,580,139,16,0,4633,167,53,89,67,123,161,261,188,103,1213,14,16,55,47,35,37,19,9,6,231,345,365,1274,1412,1168,773,416,214,109,6077,4,88,743,707,645,297,34,0,0,2518,133,167,335,440,346,242,39,3,0,1713,31,31,102,79,36,30,4,0,0,313,0,4,12,10,0,6,5,0,0,29,175,288,1184,1231,1026,569,80,3,0,4567,0,13,12,21,19,10,0,0,0,76,24,15,10,18,6,6,0,0,0,80,24,26,26,37,26,22,0,0,0,159
POA3015,23,134,806,1296,999,556,73,5,0,3889,136,134,179,154,148,151,60,12,0,978,18,21,34,35,28,34,7,0,0,180,0,7,20,10,6,9,3,0,0,57,185,291,1040,1497,1189,753,147,11,0,5110,5,12,24,19,40,37,10,0,0,143,47,27,10,10,6,7,3,0,3,106,45,37,34,28,43,46,10,0,3,251,233,331,1076,1524,1227,801,158,11,3,5364,205,59,63,78,92,212,372,242,101,1431,15,18,53,71,56,24,30,23,13,299,450,411,1188,1670,1377,1035,559,275,120,7091,8,119,671,817,761,346,29,0,0,2747,155,148,295,575,389,309,60,10,0,1942,26,20,96,110,41,36,9,0,0,351,0,3,12,7,6,3,0,0,0,34,191,293,1077,1508,1200,692,105,10,0,5075,4,15,11,15,25,7,0,0,0,80,31,14,14,18,19,12,0,0,0,111,35,27,27,28,47,24,0,0,0,189
