POA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3000,506,3648,6665,1941,757,435,105,11,0,14076,357,1732,1309,451,263,296,319,106,30,4871,84,437,802,278,114,89,46,12,8,1870,950,5819,8779,2670,1133,822,473,136,36,20817,49,1601,6924,2799,1102,577,146,9,0,13208,517,3388,4763,1191,417,279,107,25,6,10699,94,470,600,181,57,58,16,7,0,1479,15,132,271,60,20,14,6,3,0,515,677,5588,12560,4237,1597,932,268,41,3,25902,19,323,585,195,85,43,7,0,0,1267,154,705,469,84,31,17,10,0,0,1483,179,1034,1054,282,121,71,13,0,0,2752,855,6621,13606,4520,1720,998,280,42,3,28654,701,3339,2406,764,451,490,586,241,60,9041,161,867,1647,625,295,203,91,33,8,3936,1726,10827,17665,5909,2466,1688,956,323,73,41625
POA3002,22,116,516,319,241,233,105,14,0,1571,25,19,39,39,33,104,220,137,82,690,3,8,27,33,20,13,24,4,3,137,56,153,577,386,297,351,349,150,84,2401,5,85,766,482,339,297,107,18,0,2095,22,109,190,140,79,134,121,37,3,833,10,18,40,20,10,18,13,4,0,127,0,0,7,9,0,3,4,3,0,29,35,208,1002,649,431,451,233,58,5,3078,0,5,27,9,13,10,5,0,0,67,4,5,6,0,4,7,3,0,0,34,4,8,33,9,22,20,4,0,0,100,35,218,1032,664,451,470,241,58,5,3178,47,39,52,67,60,166,363,245,116,1162,9,16,50,57,42,28,47,17,4,270,92,275,1144,786,552,663,651,324,119,4609
POA3003,47,415,1319,516,253,136,32,3,0,2726,61,129,182,80,56,66,77,43,11,708,8,36,86,19,18,9,15,0,0,191,117,583,1588,617,329,209,125,47,12,3626,0,252,1622,766,407,179,33,3,0,3269,48,371,780,237,108,87,34,6,0,1673,11,65,101,47,14,20,0,0,0,254,0,19,38,9,4,0,0,0,0,68,62,707,2543,1061,523,288,65,11,0,5262,4,26,108,33,15,8,6,0,0,194,23,54,37,25,10,4,0,0,0,163,28,80,143,60,21,20,4,0,0,357,96,786,2680,1121,547,303,71,8,0,5617,124,256,384,195,116,111,144,79,16,1427,8,62,178,63,32,25,28,0,0,396,227,1098,3248,1377,697,435,245,91,15,7440
POA3004,39,258,1459,787,436,318,169,29,0,3507,57,70,156,143,116,189,338,245,84,1401,3,27,171,75,46,46,37,35,51,500,105,358,1789,1004,596,562,551,316,136,5408,7,209,1913,1307,680,465,162,22,0,4759,42,229,635,329,177,171,189,60,0,1825,12,43,87,63,25,24,15,7,0,266,6,3,41,14,8,7,0,4,3,78,62,484,2679,1714,884,664,364,91,5,6939,0,16,79,72,44,20,3,0,0,231,11,26,34,14,13,14,5,0,0,116,11,48,107,83,49,30,12,0,0,349,75,533,2785,1794,934,696,373,91,3,7283,117,125,257,201,173,285,577,484,149,2359,18,56,321,163,118,95,85,79,85,1023,205,711,3363,2155,1224,1071,1042,659,242,10672
POA3006,128,1156,3938,1542,606,382,108,9,0,7865,116,285,495,250,183,255,316,150,29,2077,11,82,259,107,57,38,27,18,0,594,257,1517,4696,1905,841,675,451,176,26,10538,16,749,5026,2548,1031,545,108,7,0,10029,113,984,2238,681,231,220,136,23,0,4626,18,162,338,130,41,35,13,0,0,732,0,36,119,40,8,11,0,0,0,223,154,1930,7718,3396,1318,805,256,31,0,15613,8,79,250,131,46,32,5,0,0,553,52,133,123,48,22,16,8,0,0,406,56,214,380,177,66,46,12,4,0,952,214,2140,8100,3575,1379,857,267,30,0,16566,223,585,807,390,259,383,543,297,61,3553,19,130,530,254,114,84,60,26,4,1218,458,2861,9434,4225,1748,1322,868,358,65,21338
POA3008,65,496,2199,970,460,322,81,4,0,4592,57,234,476,205,144,215,210,86,24,1645,8,66,278,115,56,64,30,11,0,635,124,796,2952,1290,664,600,322,104,26,6874,6,343,3080,1698,780,448,99,9,0,6468,52,393,1072,366,186,203,91,12,0,2372,16,74,197,95,41,48,10,0,0,479,0,20,51,30,11,4,6,0,0,122,71,822,4400,2192,1018,706,210,24,0,9443,0,43,194,93,38,32,5,0,0,408,19,102,100,40,15,18,3,0,0,291,22,145,290,135,52,52,6,0,0,706,94,965,4696,2321,1064,758,216,24,0,10140,137,467,756,314,213,333,409,167,45,2842,14,130,582,260,114,109,62,18,0,1303,248,1564,6036,2891,1397,1204,695,207,42,14283
POA3011,160,649,2551,1649,937,548,98,0,0,6601,129,120,336,243,224,378,444,339,203,2413,15,49,199,91,72,49,33,40,40,584,304,817,3089,1978,1235,977,570,387,239,9593,19,351,3128,2312,1287,692,106,9,0,7904,181,692,1480,887,476,356,79,6,0,4157,25,107,248,165,71,56,24,0,0,680,12,18,82,29,19,6,0,0,0,172,235,1164,4935,3391,1847,1112,214,13,0,12913,9,55,154,103,81,62,4,0,0,460,53,93,104,44,35,29,9,0,0,368,64,146,257,142,118,94,11,0,0,827,294,1308,5192,3536,1961,1202,226,13,0,13737,294,256,581,417,424,672,912,602,333,4492,34,117,426,234,150,119,105,89,54,1316,624,1681,6195,4188,2538,1993,1240,703,390,19546
POA3012,247,602,2407,2026,1371,713,127,10,0,7507,254,110,333,336,292,465,645,424,234,3097,24,51,171,118,68,61,50,57,63,655,529,760,2908,2479,1729,1241,826,488,300,11256,32,401,3156,2761,1819,846,139,8,0,9165,292,577,1329,1018,691,450,116,12,0,4476,45,73,224,212,90,63,19,0,0,731,5,29,103,44,25,17,6,4,0,239,369,1079,4812,4039,2624,1382,271,21,5,14603,14,60,171,89,87,62,13,0,0,495,86,77,76,53,46,53,13,0,0,407,98,142,246,140,137,123,19,0,0,907,464,1216,5065,4174,2760,1504,295,21,5,15508,544,243,593,517,513,827,1153,760,381,5536,56,98,402,265,176,134,83,95,91,1401,1068,1562,6061,4963,3452,2469,1525,873,479,22444
POA3013,201,312,1215,1272,1051,588,80,3,0,4722,127,38,110,174,133,218,356,284,176,1620,12,12,53,48,39,29,14,10,14,227,334,367,1380,1492,1219,836,450,297,184,6569,28,197,1574,1795,1487,690,100,3,0,5882,232,300,531,578,462,361,94,10,0,2566,56,50,138,110,54,55,13,0,0,470,0,9,23,14,4,13,4,3,0,78,321,558,2274,2503,2003,1118,209,16,0,8999,0,18,42,45,49,30,4,0,0,197,48,32,29,26,5,15,0,0,0,164,47,53,76,72,58,49,8,3,0,361,364,610,2343,2568,2061,1167,217,21,0,9357,293,97,195,241,250,380,618,470,276,2827,24,26,110,88,75,63,29,21,22,459,682,727,2654,2901,2386,1611,870,511,300,12644
POA3015,224,324,1100,1542,1246,717,110,10,0,5261,187,43,132,218,183,274,489,282,169,1983,11,13,57,55,52,21,22,19,33,292,426,378,1284,1814,1482,1018,619,309,198,7524,28,253,1472,2110,1763,899,101,5,0,6638,296,284,476,732,532,460,119,19,0,2920,45,44,137,145,70,77,24,0,0,531,0,8,31,16,20,14,3,0,0,96,376,587,2117,3002,2386,1447,253,18,0,10185,3,27,42,31,62,48,5,0,0,221,77,41,23,24,26,24,8,0,3,220,83,65,58,58,88,66,17,0,3,440,459,654,2176,3063,2475,1513,265,18,3,10625,392,103,195,294,278,487,856,524,270,3411,24,33,109,121,107,48,57,41,49,590,877,793,2472,3486,2860,2053,1180,589,320,14620
