POA_CODE_2021,D_5_9_FPET_MPTLF,D_5_9_FPET_MPNLF,D_5_9_FPET_MPLFSNS,D_5_9_FPET_T,D_5_9_FPULFTW_MPEFT,D_5_9_FPULFTW_MPEPT,D_5_9_FPULFTW_MP_EAW,D_5_9_FPULFTW_MP_E_HNS,D_5_9_FPULFTW_MPET,D_5_9_FPULFTW_MPULFTW,D_5_9_FPULFTW_MPULPTW,D_5_9_FPULFTW_MPUT,D_5_9_FPULFTW_MPTLF,D_5_9_FPULFTW_MPNLF,D_5_9_FPULFTW_MPLFSNS,D_5_9_FPULFTW_T,D_5_9_FPULPTW_MPEFT,D_5_9_FPULPTW_MPEPT,D_5_9_FPULPTW_MPEAW,D_5_9_FPULPTW_MP_E_HNS,D_5_9_FPULPTW_MPET,D_5_9_FPULPTW_MPULFTW,D_5_9_FPULPTW_MPULPTW,D_5_9_FPULPTW_MPUT,D_5_9_FPULPTW_MPTLF,D_5_9_FPULPTW_MPNLF,D_5_9_FPULPTW_MPLFSNS,D_5_9_FPULPTW_T,D_5_9_FPUT_MPEFT,D_5_9_FPUT_MPEPT,D_5_9_FPUT_MPEAW,D_5_9_FPUT_MPEHNS,D_5_9_FPUT_MPET,D_5_9_FPUT_MPULFTW,D_5_9_FPUT_MPULPTW,D_5_9_FPUT_MPUT,D_5_9_FPUT_MPTLF,D_5_9_FPUT_MPNLF,D_5_9_FPUT_MPLFSNS,D_5_9_FPUT_T,D_5_9_FPTLF_MPEFT,D_5_9_FPTLF_MPEPT,D_5_9_FPTLF_MPEAW,D_5_9_FPTLF_MPEHNS,D_5_9_FPTLF_MPET,D_5_9_FPTLF_MPULFTW,D_5_9_FPTLF_MPULPTW,D_5_9_FPTLF_MPUT,D_5_9_FPTLF_MPTLF,D_5_9_FPTLF_MPNLF,D_5_9_FPTLF_MPLFSNS,D_5_9_FPTLF_T,D_5_9_FPNLF_MPEFT,D_5_9_FPNLF_MPEPT,D_5_9_FPNLF_MPEAW,D_5_9_FPNLF_MPEHNS,D_5_9_FPNLF_MPET,D_5_9_FPNLF_MPULFTW,D_5_9_FPNLF_MPULPTW,D_5_9_FPNLF_MPUT,D_5_9_FPNLF_MPTLF,D_5_9_FPNLF_MPNLF,D_5_9_FPNLF_MPLFSNS,D_5_9_FPNLF_T,D_5_9_FPLFSNS_MPEFT,D_5_9_FPLFSNS_MPEPT,D_5_9_FPLFSNS_MPEAW,D_5_9_FPLFSNS_MPEHNS,D_5_9_FPLFSNS_MPET,D_5_9_FPLFSNS_MPULFTW,D_5_9_FPLFSNS_MPULPTW,D_5_9_FPLFSNS_MPUT,D_5_9_FPLFSNS_MPTLF,D_5_9_FPLFSNS_MPNLF,D_5_9_FPLFSNS_MPLFSNS,D_5_9_FPLFSNS_T,D_5_9_FPT_MPEFT,D_5_9_FPT_MPEPT,D_5_9_FPT_MPEAW,D_5_9_FPT_MPEHNS,D_5_9_FPT_MPET,D_5_9_FPT_MPULFTW,D_5_9_FPT_MPULPTW,D_5_9_FPT_MPUT,D_5_9_FPT_MPTLF,D_5_9_FPT_MPNLF,D_5_9_FPT_MPLFSNS,D_5_9_FPT_T,D_10_12_FPEFT_MPEFT,D_10_12_FPEFT_MPEPT,D_10_12_FPEFT_MPEAW,D_10_12_FPEFT_MPEHNS,D_10_12_FPEFT_MPET,D_10_12_FPEFT_MPULFTW,D_10_12_FPEFT_MPULPTW,D_10_12_FPEFT_MPUT,D_10_12_FPEFT_MPTLF,D_10_12_FPEFT_MPNLF,D_10_12_FPEFT_MPLFSNS,D_10_12_FPEFT_T,D_10_12_FPEPT_MPEFT,D_10_12_FPEPT_MPEPT,D_10_12_FPEPT_MPEAW,D_10_12_FPEPT_MPEHNS,D_10_12_FPEPT_MPET,D_10_12_FPEPT_MPULFTW,D_10_12_FPEPT_MPULPTW,D_10_12_FPEPT_MPUT,D_10_12_FPEPT_MPTLF,D_10_12_FPEPT_MPNLF,D_10_12_FPEPT_MPLFSNS,D_10_12_FPEPT_T,D_10_12_FPEAW_MPEFT,D_10_12_FPEAW_MPEPT,D_10_12_FPEAW_MPEAW,D_10_12_FPEAW_MPEHNS,D_10_12_FPEAW_MPET,D_10_12_FPEAW_MPULFTW,D_10_12_FPEAW_MPULPTW,D_10_12_FPEAW_MPUT,D_10_12_FPEAW_MPTLF,D_10_12_FPEAW_MPNLF,D_10_12_FPEAW_MPLFSNS,D_10_12_FPEAW_T,D_10_12_FPHNS_MPEFT,D_10_12_FPHNS_MPEPT,D_10_12_FPHNS_MPEAW,D_10_12_FPHNS_MPEHNS,D_10_12_FPHNS_MPET,D_10_12_FPHNS_MPULFTW,D_10_12_FPHNS_MPULPTW,D_10_12_FPHNS_MPUT,D_10_12_FPHNS_MPTLF,D_10_12_FPHNS_MPNLF,D_10_12_FPHNS_MPLFSNS,D_10_12_FPHNS_T,D_10_12_FPET_MPEFT,D_10_12_FPET_MPEPT,D_10_12_FPET_MPEAW,D_10_12_FPET_MPEHNS,D_10_12_FPET_MPET,D_10_12_FPET_MPULFTW,D_10_12_FPET_MPULPTW,D_10_12_FPET_MPUT,D_10_12_FPET_MPTLF,D_10_12_FPET_MPNLF,D_10_12_FPET_MPLFSNS,D_10_12_FPET_T,D_10_12_FPULFTW_MPEFT,D_10_12_FPULFTW_MPEPT,D_10_12_FPULFTW_MPEAW,D_10_12_FPULFTW_MPEHNS,D_10_12_FPULFTW_MPET,D_10_12_FPULFTW_MPULFTW,D_10_12_FPULFTW_MPULPTW,D_10_12_FPULFTW_MPUT,D_10_12_FPULFTW_MPTLF,D_10_12_FPULFTW_MPNLF,D_10_12_FPULFTW_MPLFSNS,D_10_12_FPULFTW_T,D_10_12_FPULPTW_MPEFT,D_10_12_FPULPTW_MPEPT,D_10_12_FPULPTW_MPEAW,D_10_12_FPULPTW_MPEHNS,D_10_12_FPULPTW_MPET,D_10_12_FPULPTW_MPULFTW,D_10_12_FPULPTW_MPULPTW,D_10_12_FPULPTW_MPUT,D_10_12_FPULPTW_MPTLF,D_10_12_FPULPTW_MPNLF,D_10_12_FPULPTW_MPLFSNS,D_10_12_FPULPTW_T,D_10_12_FPUT_MPEFT,D_10_12_FPUT_MPEPT,D_10_12_FPUT_MPEAW,D_10_12_FPUT_MPEHNS,D_10_12_FPUT_MPET,D_10_12_FPUT_MPULFTW,D_10_12_FPUT_MPULPTW,D_10_12_FPUT_MPUT,D_10_12_FPUT_MPTLF,D_10_12_FPUT_MPNLF,D_10_12_FPUT_MPLFSNS,D_10_12_FPUT_T,D_10_12_FPTLF_MPEFT,D_10_12_FPTLF_MPEPT,D_10_12_FPTLF_MPEAW,D_10_12_FPTLF_MPEHNS,D_10_12_FPTLF_MPET,D_10_12_FPTLF_MPULFTW,D_10_12_FPTLF_MPULPTW,D_10_12_FPTLF_MPUT,D_10_12_FPTLF_MPTLF,D_10_12_FPTLF_MPNLF,D_10_12_FPTLF_MPLFSNS,D_10_12_FPTLF_T,D_10_12_FPNLF_MPEFT,D_10_12_FPNLF_MPEPT,D_10_12_FPNLF_MPEAW,D_10_12_FPNLF_MPEHNS
POA3000,170,9,0,176,7,0,4,0,9,0,0,0,10,0,0,10,10,0,0,0,10,0,0,3,13,0,0,13,13,0,4,0,19,5,0,4,24,0,0,24,142,34,5,0,185,3,3,10,194,9,0,203,58,8,0,0,72,0,4,6,74,19,0,93,0,0,0,0,0,0,0,0,0,0,0,0,203,42,5,3,254,9,8,14,266,26,0,296,40,0,0,0,38,0,0,0,38,4,0,40,18,3,0,0,18,0,0,0,18,0,0,21,4,0,0,0,4,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,58,4,0,0,63,0,0,0,63,5,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,9,0,0,0,5,0,0,5,59,4,0,0,65,0,0,0,67,5,0,73,13,4,0,0
POA3002,55,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,3,0,0,55,5,0,5,58,0,0,60,6,3,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,55,9,0,0,60,5,0,5,60,0,0,65,8,0,0,0,12,0,0,0,12,0,0,11,14,0,0,0,11,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,21,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,25,0,0,0,24,0,0,27,5,0,0,0
POA3003,96,8,0,101,5,0,0,0,5,0,0,0,5,0,0,5,5,0,0,0,5,0,0,0,7,0,0,10,8,0,0,0,8,0,0,0,9,0,0,9,91,7,0,0,101,0,0,4,104,5,0,110,21,4,0,0,23,0,0,0,22,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,110,15,0,0,122,0,6,4,125,17,0,141,29,5,0,0,35,0,0,0,35,0,0,37,10,0,0,0,10,0,0,0,10,0,0,10,0,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,44,4,0,0,47,0,0,0,47,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,6,0,0,6,5,0,0,0,5,0,0,0,6,0,0,6,47,4,0,0,52,0,0,0,50,0,0,50,9,0,0,0
POA3004,115,9,0,123,8,0,0,0,8,4,0,4,9,0,0,9,0,0,0,0,4,0,0,0,4,0,0,4,10,0,0,0,9,4,0,4,11,0,0,11,103,10,0,3,118,8,0,10,124,9,0,135,39,0,0,0,46,0,0,0,49,9,0,51,0,0,0,0,0,0,0,0,0,0,0,0,144,14,0,4,156,12,0,11,170,17,0,189,29,0,0,0,33,0,0,0,32,4,0,37,14,3,0,0,12,0,0,0,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,43,0,0,0,48,4,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,41,3,0,0,52,0,0,0,56,4,0,53,19,9,0,0
POA3006,171,8,0,180,7,0,0,0,7,0,0,0,10,0,0,10,6,0,0,0,6,0,0,0,6,0,0,6,10,0,0,0,15,0,0,0,15,0,0,16,150,20,6,5,181,3,0,9,187,13,0,197,52,14,0,0,63,4,0,9,70,19,0,90,0,0,0,0,0,0,0,0,0,0,0,0,199,38,6,7,246,11,3,12,261,28,0,291,23,4,0,0,25,0,0,0,25,0,0,28,19,13,0,0,26,0,0,0,26,0,0,26,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,13,0,0,56,0,0,0,56,0,0,57,0,0,0,0,0,3,0,3,5,0,0,5,4,0,0,0,4,0,0,0,7,0,0,7,5,0,0,0,5,4,0,4,11,0,0,11,44,13,0,0,63,4,0,4,62,0,0,66,16,5,0,0
POA3008,144,8,0,156,8,0,0,0,7,0,0,0,9,0,0,9,6,0,0,0,6,0,0,0,9,0,0,10,13,0,0,0,14,0,0,3,20,0,0,22,127,30,5,0,157,4,0,3,161,13,0,175,81,20,4,0,105,0,5,5,105,10,0,114,5,0,0,4,9,0,0,0,9,0,0,9,207,43,5,4,268,4,3,8,273,24,0,294,25,0,3,0,28,3,0,0,32,0,0,35,10,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,3,0,39,3,0,0,42,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,38,0,3,0,41,3,0,0,46,4,0,46,8,8,0,0
POA3011,532,33,0,565,0,0,0,0,5,0,0,0,5,0,0,5,4,0,0,0,8,0,0,0,13,0,0,12,9,0,0,0,13,0,0,0,10,0,0,18,424,83,19,0,528,7,3,16,542,35,0,576,58,16,0,0,72,0,0,0,76,22,0,98,4,0,0,0,4,0,0,0,4,0,0,0,483,101,19,0,602,7,4,13,617,62,0,680,118,20,0,0,136,0,0,0,142,10,0,151,91,13,0,0,103,0,0,4,107,4,0,109,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,4,212,36,0,0,248,0,3,6,251,14,0,264,0,0,0,0,3,0,0,0,3,0,0,3,3,4,0,0,5,0,0,0,4,0,0,4,3,3,0,0,3,0,0,0,9,0,0,9,217,34,0,0,256,0,7,6,263,14,0,274,25,4,0,0
POA3012,934,47,5,990,0,0,0,0,3,0,0,0,4,0,0,4,7,6,0,0,14,0,0,0,10,3,0,15,7,3,0,0,19,5,0,5,18,3,0,23,779,136,18,4,938,9,4,11,953,49,5,1009,145,31,3,3,183,3,0,7,189,29,0,211,8,5,0,5,9,0,0,0,10,0,4,16,930,170,29,6,1131,13,7,19,1148,77,9,1239,207,42,0,0,253,0,0,3,250,8,0,260,182,28,0,0,210,3,0,3,213,11,0,226,3,3,3,0,10,0,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,388,72,7,6,473,9,0,4,479,23,0,500,4,3,0,0,5,4,0,4,8,0,0,8,0,3,0,0,9,0,0,0,12,0,0,11,7,3,0,0,12,4,0,6,17,0,0,18,395,76,7,6,484,9,4,10,496,21,0,520,54,12,4,5
POA3013,707,22,0,733,8,0,0,0,7,0,0,0,7,0,0,7,4,0,0,0,4,0,0,0,8,0,0,8,9,0,0,0,14,0,0,0,14,0,0,14,625,77,8,0,709,5,0,10,722,22,0,747,92,9,0,0,102,0,0,0,102,9,0,112,0,0,0,0,0,0,0,0,0,0,0,0,718,84,13,0,808,13,0,15,821,34,4,860,188,6,0,0,201,7,5,9,207,18,0,223,142,16,0,0,153,3,0,3,161,0,0,156,5,0,0,0,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,336,22,3,0,359,10,5,12,373,19,0,388,5,0,0,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,3,0,0,3,340,22,3,0,365,10,5,12,374,19,0,393,29,3,0,0
POA3015,931,21,0,953,8,0,0,0,8,0,0,0,8,0,0,8,11,0,0,0,10,0,0,0,10,0,0,10,15,0,0,0,16,0,0,0,16,0,0,16,834,90,16,0,938,12,0,12,946,21,0,974,129,21,0,0,153,5,0,6,158,7,0,167,4,0,0,0,4,0,0,0,4,0,7,11,962,106,20,0,1092,16,0,21,1111,24,11,1148,219,26,0,0,251,8,0,8,258,6,0,264,196,23,9,0,227,0,0,5,231,5,0,234,9,0,0,0,15,0,0,0,15,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,429,53,13,0,492,11,0,10,503,13,0,514,4,0,0,0,4,0,0,0,4,0,0,4,3,0,0,0,3,3,0,3,8,0,0,8,12,0,0,0,12,3,0,3,16,0,0,16,446,53,13,0,504,10,0,14,514,13,0,533,55,13,0,0
