POA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
POA3000,1269,384,246,125,44,5,7266,97,354,192,90,63,39,13,0,847,3596,6539,1949,650,411,215,78,12,13454,1136,1524,652,247,162,108,36,5,3865,538,695,296,163,113,52,17,3,1866,72,80,24,12,14,7,7,0,219,65,117,56,40,40,10,0,0,327,672,889,374,216,171,71,20,3,2420,102,136,50,21,18,14,12,3,350,1203,1839,705,327,229,110,50,14,4472,7467,15823,5190,1937,1300,678,244,34,32672
POA3002,197,130,133,98,66,17,907,0,48,44,34,47,45,16,0,241,113,568,291,193,206,184,84,21,1652,23,54,75,52,65,83,30,16,395,10,48,43,13,47,20,8,7,200,0,3,5,5,0,3,0,0,16,0,4,9,3,10,15,7,0,56,17,51,61,22,56,34,19,9,263,0,10,6,4,9,6,7,4,44,28,55,63,50,32,61,29,15,333,179,1043,728,485,541,511,246,85,3832
POA3003,342,122,73,33,12,0,1407,3,99,61,38,21,7,4,0,244,368,1339,469,199,92,53,19,5,2539,101,222,130,77,54,24,10,0,613,72,177,74,46,43,19,5,0,437,10,9,5,7,7,0,0,0,37,16,17,16,8,12,3,7,0,71,94,198,94,60,59,21,6,0,539,10,26,11,5,11,4,0,0,60,91,227,100,46,35,26,3,0,525,706,2880,1205,552,347,170,57,6,5923
POA3004,539,212,172,143,72,12,1928,9,124,94,58,46,45,24,0,405,225,1357,743,340,278,271,131,25,3366,69,252,214,142,136,118,72,20,1027,61,174,116,85,76,46,41,12,612,12,9,10,9,3,5,0,4,48,8,24,24,17,33,27,14,4,155,79,213,155,112,109,79,53,21,823,3,21,12,12,4,13,8,3,83,80,354,200,134,114,99,111,97,1199,503,3054,1957,1014,866,776,484,182,8827
POA3006,1034,349,191,122,53,4,4372,40,298,153,95,65,40,13,3,701,964,3815,1586,479,351,209,77,13,7503,313,701,440,211,165,127,47,14,2009,173,461,219,119,122,48,16,0,1165,22,41,8,6,4,4,0,0,82,18,56,39,30,18,19,7,0,192,217,563,260,151,150,67,28,0,1437,17,105,42,16,19,17,9,0,232,175,626,308,126,96,71,40,7,1449,1927,8533,3822,1433,1028,651,255,40,17699
POA3008,668,231,156,81,19,4,2709,19,152,96,56,53,23,7,0,402,482,2515,1104,358,268,156,37,3,4924,148,410,267,171,134,83,23,0,1237,92,225,142,132,118,56,18,4,783,8,14,11,8,10,4,3,0,67,18,22,26,22,31,11,6,0,141,119,272,184,160,152,68,26,3,990,23,52,30,19,8,7,0,0,134,155,641,291,127,125,76,33,3,1447,1017,5507,2633,1131,895,487,147,16,11842
POA3011,743,322,179,78,12,5,2549,10,261,245,169,122,40,11,0,859,387,2295,1448,686,315,145,45,12,5317,156,526,435,245,173,92,24,4,1663,198,500,344,233,223,96,32,5,1629,30,42,24,22,13,9,8,0,141,9,38,45,46,34,30,5,0,208,243,576,411,300,271,135,37,5,1981,10,39,25,12,9,10,0,0,106,170,506,273,179,171,145,138,142,1726,1026,5365,3590,1920,1235,635,267,168,14212
POA3012,759,366,156,42,6,0,2440,16,207,271,211,108,42,5,0,852,308,2076,1749,847,307,150,44,9,5496,143,581,533,397,233,104,35,8,2036,160,645,485,413,295,168,59,23,2254,28,43,41,23,18,15,0,0,169,14,37,57,67,57,24,5,0,268,202,726,585,500,374,203,71,24,2692,4,47,26,18,21,10,5,3,139,173,480,304,204,185,126,123,125,1727,915,5150,4228,2548,1388,686,288,178,15377
POA3013,515,318,153,54,15,0,1457,3,105,175,154,112,29,5,0,586,157,1103,1137,777,333,107,26,15,3660,56,238,295,291,158,69,22,4,1140,97,265,282,230,229,110,44,26,1282,19,15,11,18,10,7,3,0,83,8,26,23,44,36,14,11,0,175,122,303,315,290,274,132,58,31,1536,0,8,13,3,8,7,4,0,42,61,133,110,111,90,52,22,27,610,429,2277,2565,1955,1128,459,152,74,9029
POA3015,478,385,207,76,16,7,1471,9,98,201,174,124,65,6,5,679,178,978,1426,839,388,164,38,5,4018,53,267,365,383,238,92,28,11,1441,106,319,351,343,329,149,52,33,1679,20,12,11,21,24,4,5,0,101,8,29,37,56,40,20,11,0,207,139,358,399,420,389,178,66,30,1988,0,15,21,7,9,9,4,0,62,79,128,152,137,84,85,70,95,833,474,2131,3039,2341,1445,673,229,155,10490
