POA_CODE_2021,M_NatPhySci_Occ_Mng,M_NatPhySci_Occ_Pro,M_NatPhySci_Occ_TTW,M_NatPhySci_Occ_CPS,M_NatPhySci_Occ_CA,M_NatPhySci_Occ_Sal,M_NatPhySci_Occ_MOD,M_NatPhySci_Occ_Lab,M_NatPhySci_Occ_IDNS,M_NatPhySci_Total,M_InfoTechn_Occ_Mng,M_InfoTechn_Occ_Pro,M_InfoTechn_Occ_TTW,M_InfoTechn_Occ_CPS,M_InfoTechn_Occ_CA,M_InfoTechn_Occ_Sal,M_InfoTechn_Occ_MOD,M_InfoTechn_Occ_Lab,M_InfoTechn_Occ_IDNS,M_InfoTechn_Total,M_EngRelTech_Occ_Mng,M_EngRelTech_Occ_Pro,M_EngRelTech_Occ_TTW,M_EngRelTech_Occ_CPS,M_EngRelTech_Occ_CA,M_EngRelTech_Occ_Sal,M_EngRelTech_Occ_MOD,M_EngRelTech_Occ_Lab,M_EngRelTech_Occ_IDNS,M_EngRelTech_Total,M_ArchitBuild_Occ_Mng,M_ArchitBuild_Occ_Pro,M_ArchitBuild_Occ_TTW,M_ArchitBuild_Occ_CPS,M_ArchitBuild_Occ_CA,M_ArchitBuild_Occ_Sal,M_ArchitBuild_Occ_MOD,M_ArchitBuild_Occ_Lab,M_ArchitBuild_Occ_IDNS,M_ArchitBuild_Total,M_AgriEnviRelStu_Occ_Mng,M_AgriEnviRelStu_Occ_Pro,M_AgriEnviRelStu_Occ_TTW,M_AgriEnviRelStu_Occ_CPS,M_AgriEnviRelStu_Occ_CA,M_AgriEnviRelStu_Occ_Sal,M_AgriEnviRelStu_Occ_MOD,M_AgriEnviRelStu_Occ_Lab,M_AgriEnviRelStu_Occ_IDNS,M_AgriEnviRelStu_Total,M_Health_Occ_Mng,M_Health_Occ_Pro,M_Health_Occ_TTW,M_Health_Occ_CPS,M_Health_Occ_CA,M_Health_Occ_Sal,M_Health_Occ_MOD,M_Health_Occ_Lab,M_Health_Occ_IDNS,M_Health_Total,M_Educat_Occ_Mng,M_Educat_Occ_Pro,M_Educat_Occ_TTW,M_Educat_Occ_CPS,M_Educat_Occ_CA,M_Educat_Occ_Sal,M_Educat_Occ_MOD,M_Educat_Occ_Lab,M_Educat_Occ_IDNS,M_Educat_Total,M_ManagCom_Occ_Mng,M_ManagCom_Occ_Pro,M_ManagCom_Occ_TTW,M_ManagCom_Occ_CPS,M_ManagCom_Occ_CA,M_ManagCom_Occ_Sal,M_ManagCom_Occ_MOD,M_ManagCom_Occ_Lab,M_ManagCom_Occ_IDNS,M_ManagCom_Total,M_SocietCultu_Occ_Mng,M_SocietCultu_Occ_Pro,M_SocietCultu_Occ_TTW,M_SocietCultu_Occ_CPS,M_SocietCultu_Occ_CA,M_SocietCultu_Occ_Sal,M_SocietCultu_Occ_MOD,M_SocietCultu_Occ_Lab,M_SocietCultu_Occ_IDNS,M_SocietCultu_Total,M_CreatArt_Occ_Mng,M_CreatArt_Occ_Pro,M_CreatArt_Occ_TTW,M_CreatArt_Occ_CPS,M_CreatArt_Occ_CA,M_CreatArt_Occ_Sal,M_CreatArt_Occ_MOD,M_CreatArt_Occ_Lab,M_CreatArt_Occ_IDNS,M_CreatArt_Total,M_FoodHospPersServ_Occ_Mng,M_FoodHospPersServ_Occ_Pro,M_FoodHospPersServ_Occ_TTW,M_FoodHospPersServ_Occ_CPS,M_FoodHospPersServ_Occ_CA,M_FoodHospPersServ_Occ_Sal,M_FoodHospPersServ_Occ_MOD,M_FoodHospPersServ_Occ_Lab,M_FoodHospPersServ_Occ_IDNS,M_FoodHospPersServ_Total,M_MixFieldProg_Occ_Mng,M_MixFieldProg_Occ_Pro,M_MixFieldProg_Occ_TTW,M_MixFieldProg_Occ_CPS,M_MixFieldProg_Occ_CA,M_MixFieldProg_Occ_Sal,M_MixFieldProg_Occ_MOD,M_MixFieldProg_Occ_Lab,M_MixFieldProg_Occ_IDNS,M_MixFieldProg_Total,M_FS_ID_Occ_Mng,M_FS_ID_Occ_Pro,M_FS_ID_Occ_TTW,M_FS_ID_Occ_CPS,M_FS_ID_Occ_CA,M_FS_ID_Occ_Sal,M_FS_ID_Occ_MOD,M_FS_ID_Occ_Lab,M_FS_ID_Occ_IDNS,M_FS_ID_Total,M_FS_NS_Occ_Mng,M_FS_NS_Occ_Pro,M_FS_NS_Occ_TTW,M_FS_NS_Occ_CPS,M_FS_NS_Occ_CA,M_FS_NS_Occ_Sal,M_FS_NS_Occ_MOD,M_FS_NS_Occ_Lab,M_FS_NS_Occ_IDNS,M_FS_NS_Total,M_Tot_Occ_Mng,M_Tot_Occ_Pro,M_Tot_Occ_TTW,M_Tot_Occ_CPS,M_Tot_Occ_CA,M_Tot_Occ_Sal,M_Tot_Occ_MOD,M_Tot_Occ_Lab,M_Tot_Occ_IDNS,M_Total_Total,F_NatPhySci_Occ_Mng,F_NatPhySci_Occ_Pro,F_NatPhySci_Occ_TTW,F_NatPhySci_Occ_CPS,F_NatPhySci_Occ_CA,F_NatPhySci_Occ_Sal,F_NatPhySci_Occ_MOD,F_NatPhySci_Occ_Lab,F_NatPhySci_Occ_IDNS,F_NatPhySci_Total,F_InfoTechn_Occ_Mng,F_InfoTechn_Occ_Pro,F_InfoTechn_Occ_TTW,F_InfoTechn_Occ_CPS,F_InfoTechn_Occ_CA,F_InfoTechn_Occ_Sal,F_InfoTechn_Occ_MOD,F_InfoTechn_Occ_Lab,F_InfoTechn_Occ_IDNS,F_InfoTechn_Total,F_EngRelTech_Occ_Mng,F_EngRelTech_Occ_Pro,F_EngRelTech_Occ_TTW,F_EngRelTech_Occ_CPS,F_EngRelTech_Occ_CA,F_EngRelTech_Occ_Sal,F_EngRelTech_Occ_MOD,F_EngRelTech_Occ_Lab,F_EngRelTech_Occ_IDNS,F_EngRelTech_Total,F_ArchitBuild_Occ_Mng,F_ArchitBuild_Occ_Pro,F_ArchitBuild_Occ_TTW,F_ArchitBuild_Occ_CPS,F_ArchitBuild_Occ_CA,F_ArchitBuild_Occ_Sal,F_ArchitBuild_Occ_MOD,F_ArchitBuild_Occ_Lab,F_ArchitBuild_Occ_IDNS,F_ArchitBuild_Total,F_AgriEnviRelStu_Occ_Mng,F_AgriEnviRelStu_Occ_Pro,F_AgriEnviRelStu_Occ_TTW,F_AgriEnviRelStu_Occ_CPS,F_AgriEnviRelStu_Occ_CA,F_AgriEnviRelStu_Occ_Sal,F_AgriEnviRelStu_Occ_MOD,F_AgriEnviRelStu_Occ_Lab,F_AgriEnviRelStu_Occ_IDNS,F_AgriEnviRelStu_Total
POA3000,63,268,36,32,41,41,19,32,11,532,151,1087,126,63,64,72,43,94,31,1730,210,806,205,79,64,77,80,190,24,1733,55,171,78,15,27,21,12,36,6,427,3,7,3,7,6,0,9,6,0,49,26,322,15,51,15,10,4,16,0,470,27,87,5,25,17,3,3,6,0,188,434,815,259,212,391,236,107,226,60,2741,126,446,57,116,115,46,20,56,16,999,77,277,76,64,71,70,27,66,11,740,64,8,405,66,29,12,16,65,13,667,0,6,9,0,0,0,0,3,0,20,22,52,17,15,14,11,16,20,8,166,18,25,30,23,12,10,15,27,59,215,1267,4370,1314,767,861,619,369,846,237,10667,47,237,52,78,47,50,0,27,8,547,36,380,36,67,57,44,5,32,9,677,54,265,38,47,44,31,10,70,11,568,29,208,27,29,33,30,0,13,3,378,11,15,6,6,9,3,0,8,0,57
POA3002,13,40,3,3,6,0,0,3,5,66,15,44,3,0,0,0,0,4,3,74,27,64,21,0,5,0,0,4,0,129,11,41,16,0,0,6,0,5,0,86,5,0,0,0,0,0,0,0,0,8,8,133,0,3,6,5,0,0,0,155,12,29,0,5,0,0,0,0,0,42,130,155,8,7,29,25,0,6,5,356,39,168,4,11,19,5,0,4,0,251,18,59,6,5,7,4,5,3,0,116,5,0,11,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,4,0,0,0,23,10,4,0,0,0,0,0,0,0,17,295,750,70,46,80,57,11,36,13,1350,10,31,0,3,3,3,0,0,0,57,0,8,0,0,0,0,0,0,0,15,6,10,0,5,0,0,0,0,0,24,10,34,5,3,3,0,0,0,0,47,5,3,0,0,4,0,0,0,0,9
POA3003,13,74,10,8,7,9,5,12,0,123,42,183,19,5,13,8,4,15,5,289,47,209,55,13,17,13,17,27,6,406,13,39,25,0,5,5,4,7,0,108,4,7,0,0,0,4,3,3,0,19,7,87,6,11,0,4,3,5,0,127,4,34,0,9,0,0,0,0,0,52,104,174,28,32,75,27,24,38,10,516,34,138,14,30,28,10,3,8,4,269,17,94,14,13,26,14,4,9,0,190,13,0,54,8,3,3,7,3,0,98,0,0,0,0,0,0,0,0,0,0,13,10,3,4,4,0,5,0,0,43,5,5,9,5,0,0,0,4,11,39,327,1049,240,126,196,95,81,126,40,2283,16,53,14,16,15,0,0,4,0,120,9,71,4,3,6,0,0,0,4,105,8,65,9,0,8,6,3,10,3,119,15,48,8,6,9,7,0,4,0,91,5,5,0,0,3,0,0,0,0,13
POA3004,33,82,4,0,3,4,0,3,0,136,44,189,18,7,11,8,5,3,9,294,89,180,77,11,38,14,16,24,14,453,29,60,64,0,10,6,4,13,3,193,8,8,5,0,0,0,3,0,0,34,13,192,8,10,8,4,0,3,0,240,5,43,5,8,0,0,0,3,0,71,240,321,32,42,105,75,18,36,15,880,69,143,7,33,29,9,11,10,13,315,19,104,19,7,15,25,3,9,0,209,20,0,51,13,3,5,4,5,0,104,0,0,0,0,0,0,0,0,0,0,25,13,3,8,0,0,0,4,3,50,12,14,3,4,5,0,0,4,15,56,609,1360,291,143,232,162,67,117,63,3040,13,70,3,0,13,8,0,7,0,120,13,64,0,3,14,0,0,4,4,95,12,58,14,7,11,5,5,7,0,115,16,63,12,0,4,4,0,4,0,103,4,15,0,0,0,0,0,4,0,24
POA3006,49,158,15,18,25,14,6,8,3,296,126,703,67,20,55,38,16,32,21,1082,173,534,151,46,57,30,48,105,8,1143,54,106,74,9,22,13,8,19,3,312,7,9,5,4,0,0,0,0,0,34,16,223,11,31,12,7,5,9,0,318,17,80,5,8,5,0,0,0,0,118,491,722,95,113,297,140,72,118,39,2088,115,250,19,69,87,37,24,30,5,628,56,188,34,44,30,32,19,20,11,428,40,8,159,45,9,13,11,20,7,316,0,0,0,0,0,0,0,0,0,5,19,27,9,7,13,6,4,5,6,95,10,18,13,15,9,8,4,13,30,123,1177,3027,670,428,616,335,211,385,136,6988,32,133,31,28,37,12,4,11,4,295,41,237,18,15,40,22,3,12,9,394,40,203,12,24,36,14,3,54,3,384,26,80,18,7,18,8,0,10,0,170,5,12,0,3,7,0,0,0,3,42
POA3008,25,95,5,9,9,16,5,9,0,170,101,628,40,9,24,24,10,12,14,862,176,572,92,15,36,39,26,40,16,1008,41,66,50,8,17,3,4,3,5,199,9,10,5,0,7,0,0,4,0,26,6,121,6,14,4,4,3,5,0,164,19,27,7,3,5,0,0,0,0,61,306,396,48,61,147,86,37,52,17,1150,70,149,11,60,33,10,13,16,4,364,19,69,18,21,12,10,4,17,4,169,17,5,83,12,9,11,9,15,4,164,0,0,0,4,0,0,0,0,0,5,18,28,8,8,6,6,3,4,0,73,4,14,10,3,5,7,0,7,13,61,820,2168,370,227,311,212,119,178,80,4482,29,85,8,18,16,8,0,11,3,173,38,258,14,6,12,7,0,4,7,349,28,180,16,8,20,11,0,19,4,282,15,51,10,5,7,6,0,3,3,102,0,4,0,0,4,0,0,0,0,14
POA3011,39,107,15,8,21,13,0,21,3,241,68,237,50,16,36,27,37,48,10,530,94,257,214,28,26,21,51,60,14,768,57,91,108,5,23,11,13,26,5,340,18,18,21,4,3,3,8,8,4,87,20,191,4,45,13,4,4,0,0,291,24,165,5,18,12,5,4,0,3,234,274,334,64,54,164,77,64,62,18,1101,96,313,20,88,83,27,15,18,5,672,62,249,57,46,44,48,17,22,9,557,22,4,110,24,10,11,14,20,0,214,0,0,0,0,0,0,0,0,0,7,30,36,21,10,15,8,3,4,3,126,4,19,9,10,8,0,11,16,26,112,805,2024,693,367,454,263,245,318,98,5268,38,96,18,16,35,8,3,5,3,232,10,61,13,9,14,4,5,5,0,125,18,66,8,6,24,10,10,10,0,147,12,82,12,6,11,3,0,0,0,133,13,19,0,3,7,0,0,0,0,48
POA3012,44,100,16,11,19,9,6,11,0,226,100,218,49,14,32,33,44,54,11,564,137,308,272,33,50,32,96,72,15,1012,84,66,218,6,13,4,18,30,0,454,6,14,29,0,11,3,3,10,0,78,32,189,9,56,6,10,16,6,7,325,26,194,11,30,7,3,5,5,0,275,290,365,82,65,186,88,85,75,13,1251,83,230,27,116,62,22,21,20,7,603,67,236,53,29,32,25,20,29,6,494,35,10,100,16,13,3,17,32,8,230,0,0,5,0,0,0,0,0,0,8,22,33,15,12,15,8,5,3,0,115,11,16,25,12,7,9,16,16,20,132,943,1977,903,404,459,249,359,362,93,5749,34,112,22,12,32,14,0,8,0,236,23,51,9,6,17,13,7,4,6,139,22,53,18,9,18,8,9,11,6,151,15,47,16,7,10,5,0,0,0,104,13,17,7,3,11,5,0,4,4,62
POA3013,35,75,14,3,12,8,0,0,0,149,53,123,27,5,5,6,7,9,4,239,117,203,170,9,22,18,24,39,3,599,62,52,124,3,10,8,6,13,0,279,12,16,15,0,0,0,7,6,0,60,30,130,3,26,3,4,0,5,3,210,21,109,7,16,4,5,0,4,4,166,279,245,32,19,90,46,20,18,6,752,97,190,7,54,35,6,5,8,7,409,58,151,29,22,25,20,9,16,4,339,23,5,52,10,10,6,5,13,0,118,0,0,0,0,0,0,0,0,0,0,21,25,13,6,7,8,9,3,6,93,22,8,6,0,6,0,0,4,11,52,821,1320,489,173,230,137,100,128,57,3463,24,82,10,4,16,6,0,6,3,149,10,30,0,4,13,3,0,0,0,60,23,33,8,4,17,4,3,6,0,95,21,50,7,0,5,4,0,0,3,85,9,8,9,4,8,4,0,0,0,46
POA3015,43,65,13,3,6,6,0,4,0,136,74,148,17,11,18,11,5,5,0,277,180,244,241,23,52,22,53,47,10,870,95,51,182,9,12,3,10,37,4,402,16,9,7,3,3,5,0,10,0,59,30,114,13,28,5,4,3,8,0,205,29,112,8,8,7,0,0,4,0,169,351,293,27,43,101,62,27,23,11,933,81,192,9,65,33,15,3,11,4,410,40,112,23,20,10,13,12,17,3,244,20,4,39,8,4,3,4,4,0,94,0,0,4,0,0,0,0,0,0,4,29,18,15,11,5,3,3,0,0,102,11,6,9,5,5,6,5,10,15,74,983,1369,606,230,265,155,134,178,59,3984,32,79,3,11,15,9,0,4,0,154,20,51,3,0,7,0,0,0,0,81,26,49,6,0,11,3,3,0,0,102,16,44,9,3,9,3,0,0,0,86,3,13,9,6,8,3,0,0,0,46
