POA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA3000,105,122,219,131,70,65,22,62,12,797,149,161,426,461,163,163,57,206,34,1832,119,95,351,288,149,118,55,150,32,1360,13,10,22,26,18,6,4,30,0,132,21,25,34,49,31,20,11,33,7,231,25,57,32,32,14,16,15,12,4,207,26,42,49,47,20,21,20,56,79,362,2256,8173,2058,2638,2183,1470,464,1530,435,21224
POA3002,35,44,4,6,17,5,0,4,0,111,27,27,12,25,36,14,0,3,3,142,19,19,42,11,23,7,3,10,0,134,0,3,3,0,3,0,0,0,0,8,6,4,3,4,0,5,0,0,3,26,6,9,0,5,6,0,0,0,0,17,7,16,0,5,0,0,0,0,4,32,538,1452,101,131,248,98,15,42,41,2668
POA3003,29,38,27,17,18,9,10,11,6,151,50,46,54,62,32,29,8,24,0,306,36,27,93,44,62,16,19,14,6,315,0,4,0,9,4,0,0,4,0,28,7,9,10,11,4,0,3,0,0,46,6,11,6,3,0,3,0,5,0,47,4,7,6,14,3,6,4,12,7,72,625,1985,359,392,475,205,100,241,73,4449
POA3004,61,86,19,28,36,20,4,12,3,271,87,88,50,52,78,47,10,19,0,438,81,44,141,57,49,41,12,24,13,467,3,4,0,0,12,0,0,0,0,30,16,18,7,13,25,9,4,3,0,103,10,20,4,5,9,3,0,7,5,55,15,31,11,11,11,3,3,10,21,112,1076,2746,384,378,660,326,82,201,106,5969
POA3006,93,131,88,70,55,34,4,40,6,529,157,148,147,177,138,71,34,79,15,966,141,112,215,154,139,76,34,69,17,947,15,3,3,8,11,4,3,6,0,57,23,26,12,18,25,12,3,9,0,128,17,60,21,13,14,6,3,29,3,171,15,28,15,30,18,6,6,32,44,197,2045,5709,965,1178,1529,708,251,770,248,13398
POA3008,66,71,42,26,51,30,4,10,4,308,111,90,100,74,83,49,18,31,3,565,99,57,146,95,80,45,29,35,8,586,5,4,4,3,11,4,0,0,0,44,15,22,14,11,10,13,3,0,4,104,15,38,8,10,10,4,0,6,9,93,11,28,5,8,8,3,0,14,20,99,1302,3809,543,565,857,462,150,323,140,8151
POA3011,62,101,75,72,73,28,23,32,4,465,119,151,110,163,125,71,33,56,8,831,120,109,352,185,149,85,66,93,22,1185,11,7,17,9,15,10,6,13,0,94,22,18,5,16,33,16,6,10,0,123,11,19,9,0,8,5,3,12,0,70,13,23,15,24,12,10,13,17,42,170,1542,4318,904,953,1232,519,304,507,166,10439
POA3012,86,134,74,81,71,34,22,26,5,543,143,192,122,196,153,79,57,72,15,1036,177,113,545,229,206,88,105,147,25,1634,20,4,9,16,28,8,10,19,0,109,27,26,24,35,26,11,22,13,3,190,17,24,14,8,10,4,8,3,6,94,18,33,18,16,26,14,16,22,27,188,1786,4385,1147,1078,1325,561,431,544,168,11430
POA3013,72,91,56,28,55,28,9,6,5,361,112,125,58,87,86,42,18,21,7,552,137,78,322,97,109,64,39,73,18,945,13,8,4,11,9,7,8,5,0,57,16,19,13,19,20,13,5,5,0,113,5,13,0,4,5,0,7,3,4,31,25,24,8,8,16,6,5,3,14,109,1527,3044,624,501,760,329,121,199,104,7213
POA3015,108,98,46,56,52,29,11,13,3,413,178,155,66,97,125,49,15,25,13,726,166,93,463,138,161,75,67,102,20,1279,6,5,11,11,17,7,5,5,0,64,20,23,9,16,40,14,9,11,0,140,15,17,0,0,4,3,5,0,0,47,17,25,0,7,14,9,0,7,17,105,1781,3230,744,614,906,321,160,230,104,8091
POA3016,93,116,35,40,68,19,3,9,4,392,118,116,37,75,107,45,11,21,8,536,156,57,322,77,82,59,34,61,11,860,9,4,0,5,13,7,6,3,5,49,21,6,7,18,30,26,4,10,0,120,7,17,5,0,6,0,0,0,0,42,14,20,4,13,5,5,5,3,9,88,1518,2591,518,440,688,274,88,156,100,6377
POA3018,61,68,40,40,50,8,7,7,0,287,93,106,56,83,92,32,22,13,7,511,133,67,388,103,142,54,78,89,22,1070,0,4,3,6,11,5,3,3,0,39,17,13,13,15,32,7,3,11,5,119,3,5,0,3,5,3,0,0,0,17,12,16,9,8,15,7,4,13,23,99,912,1795,622,463,656,215,140,187,104,5095
POA3019,23,29,29,27,21,4,16,12,5,174,21,36,47,71,31,22,19,24,7,264,26,21,101,86,48,30,54,64,8,434,3,4,0,4,3,4,7,6,0,38,11,3,8,15,10,8,8,8,0,82,0,10,6,4,3,3,4,6,3,38,6,4,7,17,7,12,5,15,29,103,294,831,305,365,391,213,243,239,86,2973
POA3020,63,92,109,95,92,43,53,59,14,619,136,133,225,311,203,90,112,170,30,1411,186,107,759,421,269,134,303,283,44,2504,12,16,24,35,33,24,22,36,0,197,23,13,34,49,48,30,50,45,3,302,13,18,17,19,24,7,13,11,3,122,31,30,39,48,38,21,45,43,66,366,1175,3268,1597,1536,1534,727,976,1025,275,12122
POA3021,67,71,111,120,100,44,88,68,11,681,116,110,275,367,201,130,138,165,33,1530,163,79,923,512,257,146,371,388,77,2902,14,6,29,43,32,20,30,51,5,248,16,20,41,73,44,18,52,55,7,327,13,23,13,10,3,9,16,25,4,114,14,40,38,57,31,30,53,67,98,440,824,2346,1873,1793,1439,725,1176,1237,329,11742
POA3022,0,9,5,7,11,8,4,5,0,45,17,7,18,22,22,5,8,6,0,107,10,8,66,37,25,8,25,31,3,219,5,5,6,3,0,0,0,3,0,17,0,4,0,8,3,0,3,0,0,19,3,0,0,0,0,0,0,0,0,3,3,9,3,4,3,0,3,0,10,30,90,276,124,117,115,51,71,68,12,931
POA3023,159,173,151,164,250,82,92,77,20,1175,300,260,297,530,398,171,169,138,42,2303,335,161,1486,669,486,228,489,422,104,4373,21,12,40,49,60,42,40,48,6,316,35,29,65,99,124,49,55,56,13,537,16,50,20,17,20,10,16,15,0,170,41,57,56,69,66,36,56,49,115,535,2274,5253,2644,2464,2816,1088,1329,1150,452,19474
