POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3000,109,567,77,49,20,1635,532,114,915,192,140,30,1919,79,16,207,65,41,9,408,83,8,191,133,114,19,544,233,16,350,116,72,124,905,5711,675,9881,2658,1720,572,21224
POA3002,29,85,11,10,4,267,147,25,203,25,13,7,430,15,7,41,5,3,3,78,19,3,38,8,17,0,78,16,5,30,8,0,5,67,719,175,1303,252,169,50,2668
POA3003,32,133,20,10,6,387,164,37,190,45,35,7,478,17,4,49,11,15,0,92,15,0,39,26,26,6,110,37,5,80,20,12,21,182,1183,213,2093,466,391,119,4449
POA3004,50,157,37,25,6,502,245,66,394,76,45,22,844,33,10,62,28,16,5,148,27,9,42,22,40,4,140,63,12,108,22,29,33,262,1555,308,2626,714,605,163,5969
POA3006,67,325,66,34,14,937,341,63,558,108,63,29,1166,73,22,190,88,61,4,438,49,9,98,59,58,15,291,154,13,222,51,53,52,554,3674,587,6128,1504,1137,370,13398
POA3008,41,169,22,14,5,459,200,49,290,62,46,15,649,21,3,64,25,24,5,138,26,5,59,46,47,0,191,76,11,133,35,18,33,303,2168,324,3844,884,736,195,8151
POA3011,185,435,85,50,6,1223,367,141,597,182,144,24,1456,48,24,143,41,36,7,299,47,14,98,55,78,8,303,74,11,147,50,57,63,404,2232,752,4500,1312,1403,234,10439
POA3012,185,507,98,74,21,1301,401,164,677,207,198,23,1671,32,9,117,53,64,0,277,45,14,121,61,118,6,361,59,8,167,66,87,50,438,2142,747,4739,1594,1924,282,11430
POA3013,120,366,56,38,10,843,247,100,431,103,73,21,981,36,15,86,35,38,0,212,23,11,68,41,61,5,201,30,8,108,26,41,23,233,1301,507,3232,923,1109,145,7213
POA3015,132,407,75,56,7,954,234,131,449,113,116,20,1055,21,9,94,37,51,6,214,18,11,71,47,90,6,249,30,6,101,39,46,23,252,1300,572,3436,1143,1493,150,8091
POA3016,119,357,65,43,13,825,194,75,357,99,77,17,819,23,7,60,24,22,5,146,30,8,48,34,77,7,202,29,9,81,21,32,19,189,1142,477,2674,929,1030,130,6377
POA3018,88,278,57,54,3,643,104,73,270,100,83,10,636,6,6,32,13,15,0,74,17,7,31,31,71,0,160,26,4,37,27,58,27,179,731,324,1893,801,1227,114,5095
POA3019,24,69,22,17,3,197,71,27,199,63,67,12,447,7,0,15,16,14,0,50,13,3,24,22,45,9,117,30,5,45,29,33,39,179,531,114,1204,441,546,136,2973
POA3020,137,436,110,118,13,1071,257,108,739,311,381,58,1857,19,6,88,38,44,6,191,33,14,102,108,200,17,471,83,8,198,88,176,110,661,1647,517,4438,2048,3003,481,12122
POA3021,92,334,137,117,18,846,200,104,705,352,493,55,1909,7,3,65,25,41,7,145,24,12,112,134,262,27,576,58,5,166,124,220,166,732,1253,354,3868,2242,3480,554,11742
POA3022,10,33,6,13,0,91,17,11,59,34,33,3,159,0,0,5,4,0,0,16,0,0,5,16,21,0,37,3,0,17,4,22,8,56,121,44,317,154,263,34,931
POA3023,213,762,246,201,33,1807,397,207,1353,573,624,95,3255,18,4,114,63,69,6,271,42,8,151,166,373,31,773,71,10,270,142,268,158,921,2150,746,7145,3497,5227,706,19474
