POA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
POA3000,0,5,6,6,0,3,0,0,0,21,0,3,8,5,4,3,0,0,0,28,0,57,204,64,29,21,3,0,0,393,0,11,67,32,16,7,0,0,0,128,3,76,323,99,47,34,7,5,0,590,0,42,100,35,16,16,0,0,0,207,46,318,462,143,50,26,10,5,0,1048,140,775,1186,357,90,39,12,0,0,2594,9,116,280,106,52,28,7,0,0,587,0,40,172,90,39,18,4,0,0,371,0,118,464,229,79,29,4,0,0,939,3,26,94,44,28,11,11,0,0,215,11,238,1342,523,155,85,40,7,0,2391,0,110,305,86,33,18,6,0,0,562,0,51,209,125,62,40,8,0,0,506,16,151,321,156,66,40,14,5,0,765,6,94,329,139,59,46,13,5,0,700,10,53,138,51,23,14,3,0,0,294,3,40,102,45,12,18,7,0,0,231,12,161,275,94,48,25,8,4,0,613
POA3002,0,0,0,0,0,5,0,0,0,9,0,0,0,4,0,0,6,0,0,4,0,0,20,11,3,10,8,3,0,58,0,0,0,3,6,0,0,0,0,16,0,7,28,10,11,15,4,0,0,86,0,0,6,8,8,3,0,0,0,30,0,11,37,16,12,8,4,3,0,93,5,13,22,23,10,0,4,0,0,78,0,3,5,14,3,5,3,0,0,42,0,5,8,18,8,8,6,0,0,45,0,17,41,20,25,35,5,3,0,151,0,5,13,9,3,3,8,0,0,42,0,14,146,72,46,52,29,9,0,369,0,4,11,3,5,4,5,0,0,35,0,0,24,20,13,11,9,0,0,81,0,9,28,19,11,18,7,5,0,101,0,9,61,43,17,22,21,7,0,178,3,0,18,12,4,3,7,0,0,57,0,0,12,17,6,8,4,0,0,42,0,3,10,7,3,6,5,3,0,45
POA3003,0,4,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,4,50,23,15,11,0,0,0,103,0,0,16,8,7,0,0,0,0,32,0,16,95,39,15,7,0,0,0,176,0,3,23,10,5,0,0,0,0,50,4,40,96,30,11,10,0,0,0,191,15,80,155,31,8,4,5,0,0,299,0,20,55,29,20,8,3,0,0,137,0,14,36,22,18,6,0,0,0,97,0,19,83,76,25,12,0,0,0,213,0,8,16,10,11,3,0,0,0,40,0,41,290,121,46,30,8,0,0,537,0,11,66,27,8,4,0,0,0,126,0,12,59,36,26,17,3,0,0,153,5,12,67,32,24,14,4,0,0,169,0,19,65,35,20,17,6,0,0,163,0,6,30,17,8,0,0,0,0,67,0,9,21,9,4,3,5,0,0,49,4,15,73,28,7,3,0,0,0,130
POA3004,0,0,5,3,0,0,0,0,0,8,0,0,0,3,3,0,0,0,0,10,0,6,59,40,29,15,19,0,0,171,0,0,16,14,8,8,0,0,0,47,0,19,129,72,25,19,14,3,0,281,0,3,32,39,21,9,8,0,0,115,4,31,68,50,31,14,11,3,0,219,14,43,94,52,27,10,9,0,0,247,0,12,49,42,33,18,3,5,0,158,0,0,27,34,17,8,4,0,0,99,0,11,95,91,35,26,15,8,0,281,0,10,20,36,8,11,12,5,0,100,0,29,244,192,70,68,45,16,0,672,0,10,53,46,20,6,4,0,0,144,0,17,57,54,29,22,12,5,0,193,0,19,73,40,22,30,13,0,0,210,0,9,105,79,31,40,20,0,0,296,0,9,33,17,14,12,3,6,0,101,0,5,27,15,12,3,0,0,0,71,0,13,78,48,19,16,7,0,0,175
POA3006,0,0,4,3,0,0,0,0,0,10,0,0,10,5,7,5,0,0,0,24,0,23,141,76,54,34,5,0,0,341,0,5,52,37,15,4,3,0,0,115,4,52,231,133,54,32,10,0,0,512,0,17,71,43,27,31,3,0,0,200,6,122,291,120,34,19,4,0,0,600,33,195,438,128,25,17,0,0,0,831,3,50,160,83,41,27,9,0,0,365,0,21,114,75,29,4,0,0,0,252,0,53,393,235,62,25,13,8,0,793,0,16,90,43,11,9,13,0,0,184,7,118,856,404,144,71,33,0,0,1636,0,47,227,78,19,19,3,0,0,390,0,19,153,105,72,25,5,0,0,377,0,43,174,93,55,34,14,0,0,417,3,20,188,95,42,33,14,0,0,394,0,46,138,72,22,11,4,0,0,294,0,22,57,40,11,8,3,0,0,149,0,34,194,67,18,23,3,0,0,344
POA3008,0,0,7,4,4,5,0,0,0,17,0,0,6,0,3,4,0,0,0,11,0,12,79,47,40,35,8,0,0,219,0,0,44,25,3,5,0,0,0,81,5,23,128,60,37,30,11,0,0,289,0,3,42,30,35,14,6,0,0,138,3,54,150,63,27,23,5,5,0,330,14,92,191,68,33,21,9,0,0,425,0,12,96,59,38,31,11,0,0,252,0,7,81,57,8,7,0,0,0,167,0,31,269,167,65,25,4,0,0,571,0,6,47,21,18,20,9,0,0,120,0,52,710,397,92,69,18,5,0,1347,0,16,91,31,16,7,4,0,0,164,0,12,95,62,55,45,3,0,0,270,4,19,65,48,22,16,3,0,0,182,0,10,89,53,24,32,12,0,0,227,0,18,35,23,15,9,4,0,0,99,0,3,46,24,11,11,6,0,0,101,0,22,102,47,30,11,9,3,0,216
POA3011,0,0,13,9,5,4,0,0,0,30,0,0,4,3,4,0,0,0,0,15,3,23,135,98,72,52,7,0,0,392,0,5,35,43,18,6,0,0,0,104,5,36,231,133,85,58,4,0,0,553,0,13,51,46,22,29,3,0,0,172,32,90,200,99,58,24,12,0,0,513,44,137,198,112,49,20,0,0,0,560,3,24,145,102,69,60,13,0,0,419,4,11,71,64,36,19,8,0,0,217,0,18,167,144,44,14,3,0,0,400,0,3,26,25,14,10,3,0,0,92,0,32,345,271,119,50,13,0,0,833,0,39,104,59,45,12,0,0,0,262,0,17,167,162,76,58,11,0,0,488,3,29,174,132,72,58,14,0,0,476,0,26,184,118,70,57,12,0,0,471,3,24,64,49,31,13,5,0,0,194,0,14,56,52,27,12,8,0,0,166,3,35,125,87,46,36,9,0,0,336
POA3012,0,0,18,5,6,3,5,0,0,31,0,0,3,4,6,0,0,0,0,11,6,26,136,146,96,87,16,0,0,512,0,3,28,44,26,14,0,0,0,128,9,60,322,216,183,69,15,0,0,881,0,4,57,57,34,32,6,0,0,192,34,98,209,99,64,34,16,0,0,552,61,84,170,97,49,19,0,0,0,489,4,59,223,130,125,94,27,0,0,662,0,10,67,68,36,16,0,0,0,193,0,25,136,175,79,16,0,0,0,425,0,5,27,36,13,11,6,0,0,93,0,32,264,311,150,53,0,0,0,816,4,23,109,61,38,24,10,0,0,265,0,18,141,161,108,68,14,0,0,506,10,27,156,141,88,53,8,0,0,487,0,27,173,132,82,51,7,0,0,472,9,20,60,48,43,21,6,0,0,192,8,13,72,47,38,21,5,0,0,208,10,29,137,99,61,43,9,3,0,386
POA3013,0,0,4,7,4,0,0,0,0,17,0,0,3,0,3,0,0,0,0,12,7,14,45,68,72,41,13,0,0,264,0,0,17,29,20,7,0,0,0,73,14,30,149,151,87,63,13,0,0,511,4,5,26,41,47,22,3,0,0,148,36,48,67,58,64,40,11,0,0,325,47,55,65,40,26,14,0,0,0,251,3,14,47,61,62,51,20,0,0,262,6,7,38,45,43,15,6,5,0,154,0,9,69,122,72,16,3,0,0,288,0,0,16,16,16,9,0,0,0,61,3,15,157,226,154,60,13,3,0,629,5,8,40,22,36,13,5,0,0,135,0,10,89,110,66,53,9,0,0,339,4,4,74,80,62,56,17,0,0,301,3,4,80,73,54,34,10,0,0,258,8,13,26,31,29,9,3,0,0,122,3,9,25,22,29,12,4,0,0,103,3,11,53,55,37,31,12,0,0,196
POA3015,0,0,5,7,9,0,0,0,0,20,0,0,3,4,10,8,0,0,0,19,4,7,59,84,103,76,11,0,0,349,0,5,20,36,30,15,0,0,0,105,24,67,200,224,177,94,19,0,0,796,0,9,25,55,44,39,4,0,0,174,53,38,63,56,51,34,6,0,0,311,57,48,56,37,29,15,8,0,0,245,4,14,52,100,76,85,14,0,0,343,5,5,23,59,45,16,0,0,0,151,0,10,51,143,71,35,8,0,0,311,0,3,19,18,31,10,0,0,0,79,0,15,135,249,164,66,14,0,0,640,6,8,41,39,17,29,5,0,0,136,0,7,73,112,114,54,8,0,0,379,3,16,54,75,73,56,19,6,0,306,5,9,51,69,47,46,8,0,0,241,9,13,41,43,25,13,3,0,0,157,3,6,22,30,27,25,8,0,0,129,3,12,46,60,50,31,11,6,0,218
