POA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
POA3000,9,129,268,76,33,24,4,0,0,549,415,3118,6164,1814,693,405,104,11,0,12713,0,7,18,8,0,3,0,0,0,39,0,8,14,6,7,5,0,0,0,38,12,118,384,105,42,26,6,3,0,704,0,14,94,49,23,10,0,0,0,190,11,95,406,134,61,37,10,5,0,762,5,71,173,70,35,22,3,0,0,381,131,793,979,252,95,51,11,0,0,2321,347,1715,2375,613,157,81,15,0,0,5299,11,146,402,148,71,28,5,0,0,828,5,79,292,129,51,17,6,0,0,587,3,242,813,371,138,60,11,0,0,1641,3,60,225,90,39,21,15,0,0,452,15,555,2399,797,232,137,53,8,0,4198,4,230,651,166,66,35,9,0,0,1166,4,97,396,215,129,74,12,4,0,928,38,409,796,339,139,87,35,5,0,1847,25,413,1031,363,155,122,30,4,0,2146,17,118,243,92,34,28,9,0,0,542
POA3002,0,4,10,11,10,8,0,4,0,45,25,117,501,319,232,220,103,14,0,1522,0,0,0,0,0,4,6,7,0,23,0,0,0,3,0,0,6,0,0,8,0,5,25,18,11,12,13,3,0,95,0,0,7,10,8,0,0,0,0,22,0,12,35,14,18,25,6,0,0,115,0,6,11,14,13,10,0,0,0,52,6,33,79,41,25,16,16,3,0,219,18,24,56,32,11,9,8,5,0,161,0,7,11,16,5,10,7,0,0,53,0,4,24,22,15,14,0,0,0,88,0,21,64,45,48,53,15,7,0,249,0,5,19,17,7,5,8,0,0,60,0,30,260,126,92,75,41,9,0,640,0,4,18,12,9,12,3,0,0,60,7,8,72,56,35,31,12,0,0,209,3,15,74,64,45,52,21,3,0,285,0,21,161,101,49,73,50,8,0,468,3,9,39,20,9,11,10,0,0,101
POA3003,0,15,40,9,7,6,0,0,0,84,38,374,1245,488,239,130,31,3,0,2534,0,4,5,8,0,0,0,0,0,11,0,0,0,3,5,0,0,0,0,3,0,14,87,37,20,7,0,0,0,168,0,0,20,16,7,0,0,0,0,46,0,25,117,45,23,10,0,0,0,225,0,5,54,20,20,3,4,0,0,110,16,108,189,46,29,13,3,0,0,410,29,158,304,60,19,8,3,0,0,593,0,27,88,32,25,14,3,0,0,185,0,28,59,33,22,10,0,0,0,149,0,29,159,120,41,26,3,0,0,385,0,13,30,12,13,3,5,0,0,74,0,79,528,200,88,50,13,0,0,948,0,34,143,53,13,12,0,0,0,260,0,16,119,66,53,32,8,0,0,291,10,37,184,84,61,33,9,0,0,412,4,62,218,116,54,51,9,0,0,515,0,21,46,31,10,0,0,0,0,118
POA3004,0,5,53,26,17,16,16,3,0,141,35,239,1403,750,411,311,163,29,0,3341,0,0,5,6,0,0,0,0,0,20,0,0,3,6,7,0,0,0,0,21,0,11,108,58,35,27,15,3,0,268,0,0,23,25,12,8,0,0,0,70,4,16,175,88,34,30,18,3,0,356,0,9,70,60,34,13,16,0,0,198,15,68,160,102,62,38,25,8,0,474,25,89,181,102,44,24,6,0,0,469,0,14,77,50,38,24,4,5,0,212,3,3,59,46,31,21,12,0,0,171,0,19,188,161,75,43,23,8,0,518,0,10,52,51,20,19,20,9,0,181,0,65,515,325,125,108,73,21,0,1236,0,19,121,72,41,15,5,3,0,284,0,20,109,100,56,40,21,5,0,355,6,37,192,106,75,75,32,4,0,536,5,54,372,199,96,112,53,9,0,898,0,12,66,36,37,17,4,3,0,183
POA3006,0,38,173,68,21,23,0,0,0,324,95,1039,3736,1456,572,362,103,7,0,7371,0,0,12,8,0,0,0,0,0,19,0,0,12,10,11,5,3,0,0,38,0,47,232,115,81,46,14,0,0,535,0,7,76,63,24,15,3,0,0,180,4,71,328,159,71,51,7,0,0,694,0,32,130,72,49,39,7,0,0,327,19,304,572,202,63,48,13,0,0,1222,78,413,844,223,44,28,5,0,0,1645,3,56,221,122,53,36,7,0,0,496,0,50,193,113,48,11,6,0,0,432,0,98,696,409,114,50,22,8,0,1403,0,23,158,75,25,12,17,0,0,314,9,242,1584,651,220,112,50,0,0,2874,6,97,531,151,39,32,3,0,0,864,0,34,306,202,129,62,4,0,0,737,8,108,422,211,103,92,39,4,0,985,7,134,626,251,128,86,41,6,0,1274,8,90,252,131,41,20,7,3,0,550
POA3008,0,20,89,30,15,7,3,0,0,156,44,430,2027,899,432,295,81,4,0,4215,0,0,7,6,5,5,0,0,0,27,0,0,8,7,5,4,0,0,0,16,0,20,129,79,59,50,7,0,0,350,0,5,53,44,12,6,0,0,0,129,5,27,180,89,48,38,8,0,0,400,0,13,74,42,55,28,10,0,0,219,20,120,305,122,58,47,10,5,0,684,23,174,404,122,56,36,16,0,0,837,0,24,132,76,52,40,9,0,0,336,0,22,121,71,21,9,0,0,0,246,3,59,475,306,114,48,12,0,0,1020,0,13,98,55,31,22,15,0,0,233,0,102,1176,553,152,104,25,5,0,2124,0,38,204,58,38,23,8,3,0,372,0,24,162,118,105,63,5,0,0,482,4,51,187,124,59,55,19,0,0,497,0,52,316,144,75,77,27,0,0,692,4,23,71,36,18,18,3,3,0,173
POA3011,6,20,85,46,32,17,6,0,0,208,130,590,2434,1591,889,503,92,0,0,6237,0,8,13,9,6,4,4,0,0,38,0,0,6,9,3,0,0,0,0,19,5,37,204,158,109,72,8,5,0,598,0,7,50,61,28,16,0,0,0,161,4,47,268,159,102,64,7,0,0,650,0,17,91,71,36,37,3,0,0,257,69,199,401,178,109,61,20,0,0,1039,93,274,384,177,82,38,4,0,0,1049,3,40,199,129,95,84,13,0,0,562,6,19,132,115,65,20,9,0,0,365,0,28,308,252,99,32,3,0,0,720,0,5,62,39,30,15,0,0,0,165,3,68,677,508,201,90,21,0,0,1558,5,68,214,118,78,20,5,0,0,507,4,35,352,348,173,126,6,0,0,1047,9,70,450,369,200,164,29,0,0,1290,12,125,655,385,244,150,42,0,0,1610,9,48,134,84,53,32,5,0,0,352
POA3012,4,28,97,56,47,19,3,4,0,249,206,535,2310,1963,1306,651,118,10,0,7103,0,0,17,10,12,3,5,0,0,49,0,0,3,8,5,0,0,0,0,14,15,38,209,207,165,130,21,0,0,785,0,6,49,73,44,18,0,0,0,186,15,73,372,272,208,83,18,0,0,1039,0,12,95,102,61,40,10,0,0,331,99,202,432,226,130,87,25,0,0,1196,158,169,305,167,104,49,4,0,0,946,4,64,290,185,173,118,28,0,0,860,3,13,113,121,60,18,0,0,0,334,4,46,269,317,141,44,0,0,0,810,0,12,61,71,29,23,4,0,0,200,4,56,523,530,261,90,17,0,0,1479,7,43,195,129,85,49,17,0,0,517,0,34,303,369,248,143,22,0,0,1125,16,72,421,405,295,166,18,0,0,1402,12,118,653,490,337,202,46,5,0,1857,17,39,107,95,76,28,8,0,0,361
POA3013,0,12,32,36,31,14,0,0,0,124,175,288,1184,1231,1026,569,80,3,0,4567,0,0,7,17,7,0,0,0,0,28,0,0,11,6,3,0,0,0,0,23,14,21,88,115,109,58,12,0,0,414,0,0,27,43,24,7,0,0,0,106,13,40,176,192,107,77,15,0,0,619,8,12,47,65,62,43,3,0,0,237,84,107,181,133,139,81,12,0,0,743,133,109,124,67,47,26,3,0,0,509,12,18,68,98,98,66,19,0,0,371,8,19,63,100,80,22,4,5,0,297,0,13,143,205,144,32,8,0,0,542,0,3,41,41,35,13,0,0,0,146,8,28,322,400,284,103,15,3,0,1162,3,15,72,66,77,33,7,0,0,269,0,24,172,227,182,118,17,0,0,735,11,33,227,230,212,151,34,0,0,904,10,41,300,286,230,167,30,3,0,1063,9,29,67,75,52,26,3,0,0,268
POA3015,3,9,37,39,24,23,0,0,0,129,191,293,1077,1508,1200,692,105,10,0,5075,0,0,10,14,6,7,0,0,0,31,0,0,3,6,8,3,0,0,0,30,17,18,81,132,146,85,22,0,0,498,0,5,34,64,52,17,0,0,0,169,25,69,229,270,212,115,21,0,0,937,4,22,42,82,74,53,6,0,0,286,115,104,158,163,121,68,15,0,0,736,134,85,88,73,54,33,9,4,0,478,5,14,80,154,112,100,15,4,0,485,5,12,44,85,66,41,4,0,0,252,0,18,119,281,159,66,9,0,0,653,3,4,32,40,45,18,3,4,0,162,0,31,282,458,304,116,18,3,0,1216,4,10,65,79,51,45,10,0,0,273,6,19,153,262,247,135,21,0,0,835,18,43,198,274,274,192,42,4,0,1055,9,56,275,319,246,220,29,0,0,1161,23,24,76,72,50,29,4,5,0,281
