POA_CODE_2021,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_19,F_AgriForestFish_20_29,F_AgriForestFish_30_34,F_AgriForestFish_35_39,F_AgriForestFish_40_44,F_AgriForestFish_45_49,F_AgriForestFish_50_over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_19,F_Min_20_29,F_Min_30_34,F_Min_35_39,F_Min_40_44,F_Min_45_49,F_Min_50_over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_19,F_Mnfg_20_29,F_Mnfg_30_34,F_Mnfg_35_39,F_Mnfg_40_44,F_Mnfg_45_49,F_Mnfg_50_over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_19,F_EGW_WS_20_29,F_EGW_WS_30_34,F_EGW_WS_35_39,F_EGW_WS_40_44,F_EGW_WS_45_49,F_EGW_WS_50_over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_19,F_Cnstn_20_29,F_Cnstn_30_34,F_Cnstn_35_39,F_Cnstn_40_44,F_Cnstn_45_49,F_Cnstn_50_over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_19,F_WTrade_20_29,F_WTrade_30_34,F_WTrade_35_39,F_WTrade_40_44,F_WTrade_45_49,F_WTrade_50_over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_19,F_RTrade_20_29,F_RTrade_30_34,F_RTrade_35_39,F_RTrade_40_44,F_RTrade_45_49,F_RTrade_50_over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_19,F_AccomFoodS_20_29,F_AccomFoodS_30_34,F_AccomFoodS_35_39,F_AccomFoodS_40_44,F_AccomFoodS_45_49,F_AccomFoodS_50_over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_19,F_TransPostWhse_20_29,F_TransPostWhse_30_34,F_TransPostWhse_35_39,F_TransPostWhse_40_44,F_TransPostWhse_45_49,F_TransPostWhse_50_over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_19,F_InfoMedTelecom_20_29,F_InfoMedTelecom_30_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40_44,F_InfoMedTelecom_45_49,F_InfoMedTelecom_50_over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_19,F_FinInsurS_20_29,F_FinInsurS_30_34,F_FinInsurS_35_39,F_FinInsurS_40_44,F_FinInsurS_45_49,F_FinInsurS_50_over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_19,F_RentHirREserv_20_29,F_RentHirREserv_30_34,F_RentHirREserv_35_39,F_RentHirREserv_40_44,F_RentHirREserv_45_49,F_RentHirREserv_50_over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_19,F_ProScieTechServ_20_29,F_ProScieTechServ_30_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40_44,F_ProScieTechServ_45_49,F_ProScieTechServ_50_over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_19,F_AdminSupServ_20_29,F_AdminSupServ_30_34,F_AdminSupServ_35_39,F_AdminSupServ_40_44,F_AdminSupServ_45_49,F_AdminSupServ_50_over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_19,F_PubAdmiSafety_20_29,F_PubAdmiSafety_30_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40_44,F_PubAdmiSafety_45_49,F_PubAdmiSafety_50_over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_19,F_EducTrain_20_29,F_EducTrain_30_34,F_EducTrain_35_39,F_EducTrain_40_44,F_EducTrain_45_49,F_EducTrain_50_over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_19,F_HealthCareSocA_20_29,F_HealthCareSocA_30_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40_44,F_HealthCareSocA_45_49,F_HealthCareSocA_50_over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_19,F_ArtRecServ_20_29,F_ArtRecServ_30_34,F_ArtRecServ_35_39,F_ArtRecServ_40_44,F_ArtRecServ_45_49,F_ArtRecServ_50_over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_19,F_OthServ_20_29,F_OthServ_30_34,F_OthServ_35_39,F_OthServ_40_44,F_OthServ_45_49,F_OthServ_50_over,F_OthServ_hours_NS,F_OthServ_Tot
POA3000,677,1921,2061,729,2736,3189,546,1050,277,13185,0,0,6,4,6,4,0,0,0,22,0,0,0,0,0,4,0,0,0,6,8,41,55,21,83,73,9,15,0,312,0,0,3,0,18,16,0,8,0,62,0,20,27,8,44,50,8,15,0,169,8,16,32,12,46,35,5,9,0,172,110,381,289,85,245,103,30,18,7,1274,286,1038,726,190,231,114,36,31,43,2706,9,35,52,14,41,67,5,9,5,240,17,32,18,13,64,47,15,13,0,212,23,21,30,28,230,271,40,61,0,700,3,21,34,12,75,72,4,17,0,240,42,139,168,77,519,590,115,134,19,1804,26,141,231,27,93,55,4,22,10,599,23,27,17,22,172,94,32,27,9,428,50,312,139,73,228,168,32,68,10,1080,83,266,304,156,275,237,51,70,6,1448,46,52,35,10,33,37,4,18,0,245,33,103,145,30,65,44,7,9,10,444
POA3002,56,135,118,95,253,432,110,349,10,1555,0,3,3,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,6,4,4,5,6,10,5,8,0,37,0,0,0,0,3,0,0,6,0,4,0,6,0,0,5,7,5,4,0,32,0,0,3,5,3,7,0,4,0,17,11,26,17,8,22,21,5,10,0,120,7,28,9,8,19,8,4,0,0,84,0,0,4,0,0,3,3,4,0,15,0,7,3,0,4,15,4,10,0,42,0,7,5,8,20,29,14,17,0,97,0,5,0,0,0,4,0,6,0,15,7,32,8,19,54,76,24,66,0,279,7,6,6,3,4,5,3,0,0,23,4,7,4,10,36,39,13,18,0,129,8,45,19,11,25,37,13,26,0,188,14,37,35,33,49,62,22,27,0,290,5,3,8,0,6,9,4,11,4,43,9,10,6,8,11,0,0,7,0,46
POA3003,108,270,343,140,556,787,182,302,44,2725,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,8,11,0,24,9,3,3,0,66,0,0,6,0,10,5,0,0,0,23,0,0,15,3,10,7,0,5,0,44,8,4,0,0,25,16,6,8,0,62,18,53,40,8,42,31,11,9,4,216,33,103,73,12,39,14,5,17,3,294,0,15,0,0,14,13,0,7,0,49,0,7,5,5,9,19,8,8,0,57,6,9,6,3,55,63,4,19,0,174,4,4,0,0,10,12,3,6,0,36,9,21,21,19,114,152,31,39,0,411,3,19,55,9,18,14,3,3,0,129,10,4,14,8,47,35,12,11,0,142,3,59,29,24,46,42,13,28,0,244,19,57,54,52,66,57,20,19,0,353,11,8,8,4,7,12,3,3,0,56,14,17,13,10,13,10,0,4,0,85
POA3004,115,297,302,158,752,1084,256,586,48,3597,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,4,0,8,5,12,16,0,27,23,10,11,0,101,0,0,0,3,10,6,0,0,0,21,5,5,7,3,13,24,10,13,0,75,3,6,9,10,25,26,5,7,0,86,11,55,41,26,59,42,17,15,0,255,28,52,51,31,32,11,8,3,0,220,4,5,5,4,16,8,0,12,0,53,0,3,9,9,20,14,6,19,0,72,7,15,7,11,53,89,23,33,0,237,3,10,9,7,21,26,4,11,0,85,24,49,41,24,128,173,47,61,4,562,3,22,29,11,25,34,0,16,0,140,8,4,5,11,61,35,17,29,0,161,10,48,32,20,97,59,20,40,0,331,17,65,88,84,132,132,29,45,0,603,9,11,18,7,9,17,0,10,0,85,9,22,16,7,11,19,3,10,0,93
POA3006,338,797,916,378,1891,2406,439,955,120,8241,0,6,3,3,0,0,0,0,0,16,0,0,0,0,5,5,0,0,0,10,3,23,22,13,56,61,7,15,0,199,8,3,5,0,23,23,8,3,0,71,0,14,27,7,35,60,19,20,0,182,4,11,9,6,44,41,5,8,0,131,51,151,103,46,137,88,19,27,0,619,95,237,217,58,103,47,14,20,20,810,4,8,10,0,28,48,7,17,0,132,4,7,14,20,49,53,7,15,0,172,18,20,31,21,173,240,37,69,3,610,10,6,15,4,41,40,0,13,0,131,36,68,84,57,351,442,76,118,4,1229,8,79,192,19,74,65,8,12,4,472,19,18,12,15,150,96,17,27,0,356,26,120,71,26,159,99,26,38,0,570,44,126,137,102,209,169,47,37,3,876,42,50,27,16,47,48,10,18,0,253,26,40,42,16,40,32,6,3,0,205
POA3008,223,418,401,224,1108,1856,278,653,64,5228,0,0,0,0,5,4,0,0,0,8,0,0,0,0,4,7,0,0,0,10,5,6,16,5,34,38,6,13,0,126,0,0,0,0,16,26,6,4,0,49,0,9,10,5,25,40,8,21,0,105,6,7,6,0,20,26,5,11,0,84,27,77,63,28,80,49,11,11,0,355,58,105,103,35,60,26,9,19,0,405,7,10,12,4,31,21,0,0,0,84,0,11,5,3,27,30,3,9,0,84,20,16,13,18,100,209,23,41,0,445,6,14,9,8,31,42,5,10,0,117,34,30,50,29,203,309,40,64,5,778,7,34,72,5,39,36,5,7,0,206,10,13,9,13,65,70,14,17,0,213,14,65,43,23,76,59,16,22,0,319,24,54,78,63,97,99,22,26,0,462,11,18,13,6,11,15,3,9,0,78,9,28,24,14,17,15,3,10,0,126
POA3011,278,679,668,418,1511,1707,467,844,103,6679,0,3,0,0,3,0,0,0,0,6,0,0,0,0,0,4,6,0,0,3,10,20,33,10,58,49,7,18,0,208,4,0,3,9,18,20,0,8,0,58,9,10,14,3,18,23,7,9,0,97,6,3,9,12,20,22,8,12,0,87,48,141,85,49,106,60,15,16,6,527,49,187,88,34,66,38,4,17,7,495,9,12,16,5,39,34,8,14,0,138,11,11,5,8,46,41,11,20,0,147,16,11,14,13,100,108,26,38,0,323,6,0,3,5,22,18,6,8,0,69,42,57,79,64,185,185,49,69,0,728,15,46,71,18,48,24,7,8,0,244,33,22,56,50,174,122,49,48,3,557,39,122,109,78,172,129,52,123,3,813,71,149,195,194,223,205,39,54,6,1137,22,25,26,18,23,20,6,20,0,164,17,45,39,25,29,39,4,15,0,212
POA3012,254,708,658,437,1753,2013,544,980,148,7500,0,0,0,0,4,3,0,0,0,15,0,0,0,4,0,0,0,0,0,4,8,21,36,29,76,63,17,27,0,275,0,3,0,8,26,19,5,3,0,57,3,18,13,9,32,41,15,27,0,155,4,8,12,10,37,45,10,15,0,134,53,176,89,54,130,91,19,35,4,648,50,172,81,48,54,26,10,12,5,461,14,13,24,18,48,54,10,17,3,200,7,6,12,13,28,35,12,20,4,138,18,9,33,30,100,132,23,36,0,389,9,8,10,8,23,29,3,12,0,111,28,60,58,70,166,168,51,59,5,668,11,40,49,27,70,27,6,14,3,257,36,25,58,49,200,140,40,60,0,612,45,138,132,83,165,168,59,110,0,915,101,192,226,203,292,243,47,71,7,1385,23,36,25,15,29,25,7,14,0,169,32,41,46,25,62,25,12,11,0,257
POA3013,161,369,274,215,846,1292,375,854,49,4433,0,0,0,0,0,0,0,4,0,14,0,0,0,0,0,0,3,5,0,9,0,20,13,13,38,26,9,30,0,153,0,0,4,9,9,4,5,0,0,36,5,9,17,3,10,34,6,27,0,111,4,9,8,5,15,18,15,14,0,84,37,117,56,29,67,51,18,32,3,419,35,106,47,16,23,16,3,10,0,261,9,12,14,11,24,29,4,10,0,109,8,13,21,14,31,35,10,15,0,147,14,5,26,12,52,92,16,35,0,252,4,8,5,7,29,20,0,9,0,88,27,47,61,55,94,122,42,79,0,532,4,16,25,8,35,26,12,15,0,136,19,22,30,43,106,101,32,59,3,399,39,85,83,42,114,86,50,94,3,598,57,95,149,147,145,139,31,49,0,813,19,38,12,11,23,16,7,20,0,144,20,23,20,18,28,15,11,9,0,147
POA3015,180,432,288,261,943,1457,454,1039,57,5110,0,3,0,5,0,5,0,0,0,12,0,0,0,0,0,0,4,4,0,12,7,16,21,11,33,34,13,15,0,153,0,0,6,4,18,19,4,7,0,67,8,13,16,8,34,34,8,21,5,145,9,10,10,17,19,30,8,11,0,110,43,123,59,29,66,46,16,39,0,428,19,112,41,11,14,15,5,7,0,229,16,9,18,9,29,34,15,15,7,142,7,9,3,10,16,30,6,9,0,102,21,6,26,35,64,102,28,54,0,336,4,10,10,6,16,18,7,11,0,77,33,47,65,53,116,142,37,83,0,571,14,24,19,13,23,29,5,7,0,136,32,24,42,35,106,107,42,61,3,455,43,120,113,70,128,126,54,94,0,745,68,145,171,141,134,171,34,58,3,925,19,32,20,4,16,24,4,6,0,128,12,24,27,20,33,13,7,21,3,168
