POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA3000,51,137,213,38,111,80,13,19,9,677,71,177,193,63,163,174,23,57,248,1163,1479,4674,4482,1533,5294,5351,953,1609,515,25902
POA3002,3,13,6,8,26,17,3,17,0,91,4,11,8,5,8,19,3,15,11,85,127,368,261,203,530,777,215,570,29,3078
POA3003,16,26,25,15,20,24,6,10,0,138,6,24,27,8,44,43,8,11,38,214,254,669,699,305,1139,1317,308,502,68,5262
POA3004,11,27,21,14,38,42,6,11,3,168,12,30,24,17,53,84,18,35,45,317,266,704,699,426,1522,1860,451,926,78,6939
POA3006,32,66,66,26,78,54,12,15,4,353,19,61,66,31,150,145,23,46,123,671,732,1826,1977,826,3703,4115,777,1442,223,15613
POA3008,14,50,41,19,33,40,11,21,3,226,14,37,34,13,76,91,11,29,63,372,479,940,953,477,2072,2980,462,952,122,9443
POA3011,25,61,61,42,68,68,14,34,3,381,19,51,65,24,93,124,15,41,107,544,680,1584,1542,1030,2892,2888,782,1345,172,12913
POA3012,40,64,66,37,112,63,30,41,0,462,28,58,74,30,125,122,23,48,124,635,731,1705,1612,1161,3336,3392,900,1531,239,14603
POA3013,30,31,30,26,58,38,17,24,0,249,15,21,19,21,53,81,15,57,35,320,470,1021,889,662,1690,2164,649,1375,78,8999
POA3015,21,42,42,35,56,46,13,48,3,307,10,31,29,16,73,73,25,44,38,347,531,1176,985,761,1846,2458,753,1572,96,10185
