POA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
POA3000,10,9,5,0,4,6,0,8,0,39,9,17,3,0,0,0,0,0,0,38,114,183,110,37,55,28,43,123,4,704,26,78,10,0,47,22,3,3,5,190,119,170,196,3,72,22,24,133,21,762,72,98,15,9,64,72,24,21,3,381,321,260,104,50,127,1227,62,155,17,2321,488,64,1379,2058,152,267,47,799,47,5299,63,101,9,25,112,33,435,28,16,828,84,342,49,9,62,36,3,10,6,587,193,779,12,10,576,40,0,0,31,1641,76,104,4,6,78,170,0,7,12,452,385,3179,198,14,311,42,8,14,53,4198,79,164,23,63,147,17,18,644,16,1166,131,367,28,125,257,4,4,7,16,928,137,1217,38,241,167,5,0,30,11,1847,97,996,83,596,267,18,7,52,27,2146,70,181,41,143,42,25,8,25,8,542,56,88,189,219,68,20,3,38,9,677,120,286,89,89,88,95,35,89,262,1163
POA3002,10,3,0,0,3,0,0,0,0,23,5,4,0,0,0,0,0,0,0,8,41,26,8,0,9,6,0,5,3,95,8,7,0,0,4,0,0,0,0,22,37,23,28,0,15,5,0,8,0,115,18,10,0,0,11,7,3,3,0,52,49,39,6,0,21,82,4,6,0,219,47,7,16,60,6,10,0,13,5,161,21,14,0,0,7,0,16,0,0,53,14,50,4,0,16,6,0,0,0,88,75,113,0,0,51,6,0,0,4,249,12,22,0,0,4,24,0,0,0,60,98,473,18,3,42,10,0,0,3,640,8,18,3,6,8,3,0,11,0,60,51,92,0,10,48,0,0,4,6,209,35,196,0,26,24,0,0,0,7,285,27,318,10,46,63,0,0,0,0,468,28,41,4,14,9,0,0,6,0,101,19,21,14,18,9,0,0,0,0,91,22,29,0,0,6,0,0,3,11,85
POA3003,7,0,3,0,0,0,0,4,0,11,0,3,0,0,0,0,0,0,0,3,31,56,30,0,13,5,7,24,0,168,11,18,0,0,7,0,0,4,0,46,39,42,73,0,20,3,0,41,3,225,19,28,3,0,24,18,6,3,0,110,80,56,20,3,25,173,25,21,6,410,77,11,167,207,21,30,4,70,5,593,27,41,4,11,30,3,62,8,0,185,33,76,11,0,20,12,0,0,4,149,52,198,0,0,119,11,0,0,5,385,17,12,7,0,9,32,3,6,0,74,113,702,37,0,78,6,0,0,8,948,25,38,3,10,34,6,5,136,3,260,57,104,8,57,70,0,0,0,7,291,42,285,7,31,41,0,0,7,5,412,34,276,17,120,59,0,0,7,3,515,17,47,6,20,10,15,0,0,4,118,15,27,30,40,14,0,0,6,0,138,30,61,9,12,18,14,15,12,40,214
POA3004,4,0,0,0,3,0,0,5,0,20,12,10,0,0,0,0,0,0,0,21,84,81,34,0,22,13,5,12,0,268,16,31,5,0,7,4,0,0,0,70,67,69,115,0,37,3,9,55,4,356,66,56,9,0,26,30,9,0,4,198,108,73,9,5,48,201,15,20,10,474,115,21,75,173,25,18,3,37,3,469,46,45,7,12,27,9,55,8,0,212,32,100,7,3,14,18,3,0,0,171,76,239,0,4,156,13,0,0,24,518,33,31,3,0,27,80,0,0,6,181,203,826,57,0,115,22,0,0,10,1236,46,84,4,20,32,9,4,84,4,284,77,138,17,40,66,0,0,3,11,355,64,344,0,60,53,5,0,4,3,536,65,568,22,114,102,9,0,10,4,898,35,71,11,31,20,4,0,3,0,183,43,23,35,43,15,0,0,0,0,168,71,91,23,4,41,24,6,13,48,317
POA3006,10,5,0,0,0,0,0,9,0,19,11,15,3,0,0,5,4,0,3,38,138,143,69,11,59,20,36,50,0,535,32,93,7,0,23,19,0,5,0,180,125,163,168,5,88,11,19,108,9,694,94,102,15,0,57,47,12,5,3,327,237,204,43,10,87,530,49,49,8,1222,246,33,390,628,62,69,7,195,15,1645,74,107,11,14,90,20,156,12,5,496,70,236,37,8,51,20,4,0,7,432,208,648,9,43,431,42,0,0,23,1403,63,71,8,6,53,97,3,3,5,314,371,2034,132,5,249,31,3,10,34,2874,77,157,7,40,82,10,14,460,10,864,148,258,21,110,171,7,3,7,16,737,113,640,10,99,94,6,0,11,5,985,94,672,46,270,149,7,7,18,11,1274,87,152,40,195,41,17,0,7,7,550,53,57,89,96,40,11,0,7,0,353,117,202,39,24,63,38,22,30,126,671
POA3008,11,4,7,0,3,0,0,0,0,27,9,10,0,0,0,0,0,0,0,16,96,90,38,5,31,23,20,39,8,350,25,61,6,0,23,8,0,7,0,129,95,86,92,0,57,12,14,39,0,400,80,66,8,7,27,8,20,11,0,219,154,89,22,6,46,310,24,22,6,684,161,19,205,257,28,43,7,100,9,837,64,66,3,10,46,18,107,12,7,336,40,145,20,4,27,12,0,0,0,246,131,556,3,9,267,30,0,0,15,1020,34,43,4,6,32,103,0,4,4,233,246,1609,83,7,127,20,3,3,25,2124,42,79,11,9,44,7,7,165,6,372,89,174,6,90,107,3,0,7,7,482,69,303,13,60,40,4,0,3,5,497,58,372,21,139,74,10,3,4,4,692,29,50,10,45,18,12,0,7,0,173,29,34,64,58,27,0,0,0,3,226,60,122,28,12,42,16,14,17,65,372
POA3011,14,4,9,0,0,0,0,7,0,38,0,13,0,0,3,0,0,0,0,19,101,117,127,15,58,32,65,86,0,598,41,46,17,0,33,11,10,3,5,161,92,77,271,3,59,3,32,105,11,650,58,45,16,0,34,51,36,14,0,257,180,101,49,11,72,478,66,82,3,1039,150,19,253,359,28,80,13,149,6,1049,51,56,25,12,120,20,227,39,7,562,44,215,37,3,43,22,3,4,4,365,111,310,12,9,250,25,0,0,8,720,30,40,5,5,23,53,6,4,0,165,223,1024,99,5,160,21,0,8,15,1558,49,82,21,31,55,12,24,243,0,507,224,376,33,148,219,0,4,19,17,1047,116,887,27,139,109,0,0,6,8,1290,98,825,48,376,192,17,5,41,12,1610,82,126,14,72,36,9,0,17,7,352,47,86,87,87,44,3,4,21,6,381,86,95,51,26,55,23,40,56,113,544
POA3012,12,4,3,0,10,0,3,8,0,49,0,9,4,0,3,0,3,0,0,14,135,132,158,6,67,30,115,132,8,785,39,62,16,0,33,6,16,4,8,186,168,106,454,0,95,13,46,152,12,1039,74,74,15,4,41,49,52,15,6,331,212,112,55,20,79,567,63,91,11,1196,171,21,188,260,22,99,15,164,7,946,78,73,25,25,152,27,412,55,18,860,66,170,32,0,32,14,0,8,4,334,151,316,8,15,285,25,0,0,11,810,44,39,14,0,29,72,6,9,0,200,219,903,111,5,189,20,5,10,9,1479,67,78,26,22,82,13,18,207,5,517,190,374,39,215,251,4,3,25,15,1125,128,934,31,165,114,6,4,7,11,1402,146,906,59,461,217,16,8,37,9,1857,70,109,36,86,27,7,0,20,3,361,58,66,112,122,27,5,13,41,6,462,73,116,65,31,60,34,68,67,127,635
POA3013,10,3,0,0,5,0,0,4,0,28,5,9,0,0,0,0,5,0,0,23,121,78,67,5,35,40,36,28,5,414,26,36,13,0,16,5,6,3,0,106,134,69,257,0,58,7,22,59,9,619,69,53,17,0,29,30,24,12,3,237,160,80,46,3,62,293,33,57,13,743,93,11,66,174,12,67,0,84,3,509,88,44,11,15,65,14,96,23,5,371,57,146,26,0,39,25,0,3,3,297,128,239,6,0,141,16,0,0,12,542,21,22,4,3,27,57,0,0,4,146,193,749,58,4,120,19,0,0,12,1162,64,68,21,10,34,5,8,50,0,269,171,245,24,106,147,0,3,17,14,735,114,602,18,84,65,0,0,7,8,904,107,588,23,179,138,13,0,17,0,1063,58,101,23,52,21,14,0,4,5,268,52,45,54,61,14,7,0,5,6,249,89,77,25,14,29,14,15,13,43,320
POA3015,8,6,4,0,7,0,0,5,0,31,9,7,0,0,5,0,0,0,0,30,143,107,91,4,48,39,32,37,5,498,34,68,15,0,29,6,11,8,6,169,200,84,401,0,89,9,34,99,14,937,76,54,16,0,60,37,20,9,3,286,136,86,36,0,44,337,38,47,4,736,93,11,55,147,16,66,0,86,4,478,92,76,17,15,88,27,135,26,10,485,60,117,22,0,35,12,5,5,0,252,176,275,10,7,165,15,0,0,8,653,39,23,0,0,22,61,6,0,4,162,250,721,60,12,142,20,0,7,7,1216,62,65,20,14,27,9,10,56,3,273,199,251,21,159,171,0,3,24,13,835,145,671,13,120,77,0,0,4,13,1055,114,613,20,203,170,5,5,15,3,1161,69,80,19,69,31,11,0,6,4,281,51,42,93,61,28,9,4,14,7,307,84,72,26,6,37,26,20,24,45,347
