POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3000,2646,8675,2578,3693,2693,2136,733,2204,550,25902
POA3002,617,1514,115,193,341,154,28,69,52,3078
POA3003,719,2087,435,519,604,323,141,344,92,5262
POA3004,1269,2908,433,506,839,459,118,259,137,6939
POA3006,2357,6010,1132,1573,1895,1001,348,998,291,15613
POA3008,1529,3988,644,724,1080,634,224,437,176,9443
POA3011,1791,4543,1183,1289,1597,846,543,897,225,12913
POA3012,2100,4605,1459,1439,1829,1002,843,1052,271,14603
POA3013,1759,3266,767,706,1064,628,262,400,143,8999
POA3015,2051,3439,946,832,1292,684,325,478,140,10185
POA3016,1778,2764,666,700,1046,602,180,385,134,8257
POA3018,1099,1915,767,649,962,467,292,417,154,6710
POA3019,385,884,460,507,522,390,474,585,135,4341
POA3020,1589,3496,2451,2064,2290,1495,2303,2679,542,18907
POA3021,1227,2540,3012,2493,2186,1617,2905,3607,666,20252
POA3022,111,298,180,157,164,86,164,159,41,1355
POA3023,2967,5656,3724,3336,4143,2593,3209,3233,813,29670
POA3024,1417,3500,1872,1989,2139,1263,1703,1517,370,15772
POA3025,825,1345,703,453,795,433,381,414,132,5482
POA3026,376,783,460,401,603,274,582,440,116,4046
POA3027,653,1516,437,421,649,388,455,344,115,4976
POA3028,1306,2642,1911,1500,1910,1056,1324,1317,323,13291
POA3029,5157,11394,6989,7046,7622,4671,8516,5789,1543,58728
POA3030,7271,13461,6704,5963,7862,4687,4798,4643,1289,56670
POA3031,1644,4263,664,863,1201,589,261,536,155,10189
POA3032,2788,5741,1320,1632,2172,1257,659,975,293,16835
POA3033,998,1757,845,683,1116,645,362,432,150,6984
POA3034,752,1336,630,481,845,490,291,432,115,5368
POA3036,521,713,377,216,510,277,116,157,62,2947
POA3037,2693,4350,3541,2557,3939,2712,2429,2571,588,25376
POA3038,1615,2548,1798,1253,2179,1346,1002,1109,294,13144
POA3039,1666,3438,760,800,1288,708,195,431,145,9434
POA3040,2625,4811,1344,1298,2211,1245,394,790,266,14985
POA3041,1222,1983,708,602,1148,619,206,381,135,7002
POA3042,1258,2047,1125,840,1362,750,416,584,160,8531
POA3043,945,1459,1197,856,1302,680,671,727,190,8026
POA3044,2319,4755,1757,1422,2209,1196,556,883,292,15393
POA3045,0,0,0,0,0,0,0,0,0,3
POA3046,1918,4422,2428,2009,2322,1254,1064,1767,346,17533
POA3047,381,894,1096,906,600,474,911,1035,232,6531
POA3048,337,764,816,743,586,448,701,733,183,5313
POA3049,553,806,729,501,807,434,355,431,97,4710
POA3051,1048,3692,558,852,896,503,209,441,136,8321
POA3052,399,1574,242,587,431,319,70,290,62,3980
POA3053,833,3506,610,1109,853,663,244,529,147,8499
POA3054,786,2492,310,479,500,307,58,118,92,5130
POA3055,1224,3406,808,934,1110,549,262,462,116,8863
POA3056,2310,7018,1242,1498,1743,900,299,636,232,15877
POA3057,1415,4062,645,759,1003,480,151,304,116,8945
POA3058,2621,6712,1947,1880,2233,1460,579,1052,316,18787
POA3059,1474,2168,1442,960,1595,1025,719,778,254,10419
POA3060,517,1325,759,668,610,476,503,612,171,5645
POA3061,113,148,278,175,179,147,178,197,44,1451
POA3062,0,0,0,0,0,0,0,0,0,6
POA3063,58,41,34,27,25,38,30,27,7,284
POA3064,4216,7923,7017,6412,6081,4152,5797,5415,1166,48172
POA3065,1089,2949,352,518,562,330,97,196,93,6186
POA3066,1020,2806,375,477,522,314,108,172,98,5889
POA3067,1105,2737,450,491,666,382,92,200,101,6224
POA3068,2104,5679,667,858,1124,598,134,294,159,11618
POA3070,2566,6680,1106,1265,1512,820,256,505,197,14919
POA3071,1750,4350,970,1052,1230,671,293,529,151,10997
POA3072,2526,6170,1938,1910,2182,1384,628,1225,328,18295
POA3073,2755,6366,3131,2742,3207,1933,1472,2222,557,24395
POA3074,609,1112,1215,963,925,703,916,1201,199,7836
POA3075,758,1466,1332,1053,1177,772,969,1299,223,9046
POA3076,1283,2469,2204,1889,2061,1450,1588,1735,350,15040
POA3078,1209,2989,524,575,783,426,136,275,89,7013
POA3079,1725,3729,654,682,1157,701,182,342,130,9308
POA3081,804,2126,797,785,761,445,367,508,130,6732
POA3082,1442,2817,2029,1630,2191,1457,1077,1311,310,14266
POA3083,1786,3588,2033,1803,2098,1473,929,1271,331,15305
POA3084,2235,5205,1166,1188,1773,968,299,686,182,13701
POA3085,1139,2314,873,771,1001,513,176,350,105,7253
POA3087,581,1323,676,501,676,340,188,295,65,4637
POA3088,2076,3971,1868,1388,2009,1108,412,747,208,13779
POA3089,1080,1692,1112,820,975,580,253,452,98,7063
POA3090,293,297,208,107,216,144,51,70,22,1406
POA3091,157,174,161,82,135,73,33,48,13,877
POA3093,381,559,242,183,260,158,45,90,37,1952
POA3094,739,1469,609,496,663,359,108,223,57,4736
POA3095,2707,4538,1829,1442,2059,1141,370,701,187,14975
POA3096,153,229,181,118,137,98,41,74,15,1039
POA3097,173,214,110,81,89,47,27,40,15,796
POA3099,396,659,495,287,333,172,106,172,36,2649
POA3101,2465,5281,693,975,1455,984,166,415,256,12700
POA3102,653,1325,223,270,442,291,53,135,57,3449
POA3103,1400,2751,399,520,838,669,132,292,144,7154
POA3104,1970,3591,664,752,1332,1023,173,435,201,10130
POA3105,884,1565,534,465,693,566,166,309,89,5276
POA3106,1497,2323,734,605,1118,810,165,347,174,7764
POA3107,1097,2024,658,572,872,626,168,324,120,6457
POA3108,1763,3649,1167,1099,1505,1097,340,682,266,11568
POA3109,2169,4314,1369,1368,1962,1412,436,783,293,14104
POA3111,1058,1826,577,497,824,586,159,327,97,5957
POA3113,935,1378,521,445,531,364,73,256,52,4563
POA3114,431,550,206,183,278,202,34,108,32,2016
POA3115,409,479,327,198,326,203,56,134,30,2168
POA3116,873,1205,1032,695,871,580,268,497,109,6136
POA3121,3946,8969,1426,1566,2228,1308,303,718,317,20792
POA3122,2257,5627,786,1125,1509,961,194,514,202,13181
POA3123,1569,3644,508,637,986,620,142,246,114,8462
POA3124,2283,4399,570,865,1338,911,141,356,163,11014
POA3125,1005,2345,601,800,934,786,271,520,149,7410
POA3126,871,1495,159,272,422,299,34,92,60,3699
POA3127,1875,4037,534,798,1161,780,142,348,148,9830
POA3128,1415,3546,1205,1293,1299,1008,379,888,232,11258
POA3129,1334,3129,854,849,1048,770,251,524,166,8928
POA3130,2557,5677,1513,1432,2234,1358,504,919,294,16494
POA3131,1489,3581,1126,1107,1493,970,396,767,173,11103
POA3132,1286,3070,905,844,1216,668,250,526,140,8910
POA3133,1578,3333,1114,1012,1437,945,366,676,199,10661
POA3134,2738,5011,2248,1918,2441,1527,576,1210,328,17999
POA3135,1491,3273,1319,1118,1311,854,333,699,151,10542
POA3136,3087,5904,3376,2592,3220,1974,1013,1803,417,23386
POA3137,860,1433,1409,891,1041,647,418,712,149,7556
POA3138,1380,2435,2132,1467,1575,1020,622,1089,231,11955
POA3139,997,957,1792,924,897,532,504,770,124,7507
POA3140,1136,1619,1567,1140,1298,773,459,824,148,8968
POA3141,3079,7430,850,1153,1752,1108,181,431,297,16281
POA3142,1579,2650,260,403,749,533,51,150,178,6550
POA3143,1097,2302,280,378,588,459,70,145,96,5419
POA3144,1218,2283,276,400,627,438,61,174,107,5582
POA3145,2381,4713,869,1142,1522,1046,242,564,195,12683
POA3146,2959,5715,798,1085,1701,1118,194,461,208,14227
POA3147,1450,2772,544,606,855,602,153,340,138,7454
