POA_CODE_2021,NegNil_Inc_BE_WFT,NegNil_Inc_BE_WPT,NegNil_Inc_BE_BAW,NegNil_Inc_1EFT_OthPT,NegNil_Inc_1EFT_OthAW,NegNil_Inc_1EFT_OthNW,NegNil_Inc_1EPT_OthAW,NegNil_Inc_1EPT_OthNW,NegNil_Inc_1AW_OthNW,NegNil_Inc_BNW,NegNil_Inc_LFsta_NS,NegNil_Inc_Tot,I_1_149_BE_WFT,I_1_149_BE_WPT,I_1_149_BE_BAW,I_1_149_1EFT_OthPT,I_1_149_1EFT_OthAW,I_1_149_1EFT_OthNW,I_1_149_1EPT_OthAW,I_1_149_1EPT_OthNW,I_1_149_1AW_OthNW,I_1_149_BNW,I_1_149_LFsta_NS,I_1_149_Tot,I_150_299_BE_WFT,I_150_299_BE_WPT,I_150_299_BE_BAW,I_150_299_1EFT_OthPT,I_150_299_1EFT_OthAW,I_150_299_1EFT_OthNW,I_150_299_1EPT_OthAW,I_150_299_1EPT_OthNW,I_150_299_1AW_OthNW,I_150_299_BNW,I_150_299_LFsta_NS,I_150_299_Tot,I_300_399_BE_WFT,I_300_399_BE_WPT,I_300_399_BE_BAW,I_300_399_1EFT_OthPT,I_300_399_1EFT_OthAW,I_300_399_1EFT_OthNW,I_300_399_1EPT_OthAW,I_300_399_1EPT_OthNW,I_300_399_1AW_OthNW,I_300_399_BNW,I_300_399_LFsta_NS,I_300_399_Tot,I_400_499_BE_WFT,I_400_499_BE_WPT,I_400_499_BE_BAW,I_400_499_1EFT_OthPT,I_400_499_1EFT_OthAW,I_400_499_1EFT_OthNW,I_400_499_1EPT_OthAW,I_400_499_1EPT_OthNW,I_400_499_1AW_OthNW,I_400_499_BNW,I_400_499_LFsta_NS,I_400_499_Tot,I_500_649_BE_WFT,I_500_649_BE_WPT,I_500_649_BE_BAW,I_500_649_1EFT_OthPT,I_500_649_1EFT_OthAW,I_500_649_1EFT_OthNW,I_500_649_1EPT_OthAW,I_500_649_1EPT_OthNW,I_500_649_1AW_OthNW,I_500_649_BNW,I_500_649_LFsta_NS,I_500_649_Tot,I_650_799_BE_WFT,I_650_799_BE_WPT,I_650_799_BE_BAW,I_650_799_1EFT_OthPT,I_650_799_1EFT_OthAW,I_650_799_1EFT_OthNW,I_650_799_1EPT_OthAW,I_650_799_1EPT_OthNW,I_650_799_1AW_OthNW,I_650_799_BNW,I_650_799_LFsta_NS,I_650_799_Tot,I_800_999_BE_WFT,I_800_999_BE_WPT,I_800_999_BE_BAW,I_800_999_1EFT_OthPT,I_800_999_1EFT_OthAW,I_800_999_1EFT_OthNW,I_800_999_1EPT_OthAW,I_800_999_1EPT_OthNW,I_800_999_1AW_OthNW,I_800_999_BNW,I_800_999_LFsta_NS,I_800_999_Tot,I_1000_1249_BE_WFT,I_1000_1249_BE_WPT,I_1000_1249_BE_BAW,I_1000_1249_1EFT_OthPT,I_1000_1249_1EFT_OthAW,I_1000_1249_1EFT_OthNW,I_1000_1249_1EPT_OthAW,I_1000_1249_1EPT_OthNW,I_1000_1249_1AW_OthNW,I_1000_1249_BNW,I_1000_1249_LFsta_NS,I_1000_1249_Tot,I_1250_1499_BE_WFT,I_1250_1499_BE_WPT,I_1250_1499_BE_BAW,I_1250_1499_1EFT_OthPT,I_1250_1499_1EFT_OthAW,I_1250_1499_1EFT_OthNW,I_1250_1499_1EPT_OthAW,I_1250_1499_1EPT_OthNW,I_1250_1499_1AW_OthNW,I_1250_1499_BNW,I_1250_1499_LFsta_NS,I_1250_1499_Tot,I_1500_1749_BE_WFT,I_1500_1749_BE_WPT,I_1500_1749_BE_BAW,I_1500_1749_1EFT_OthPT,I_1500_1749_1EFT_OthAW,I_1500_1749_1EFT_OthNW,I_1500_1749_1EPT_OthAW,I_1500_1749_1EPT_OthNW,I_1500_1749_1AW_OthNW,I_1500_1749_BNW,I_1500_1749_LFsta_NS,I_1500_1749_Tot,I_1750_1999_BE_WFT,I_1750_1999_BE_WPT,I_1750_1999_BE_BAW,I_1750_1999_1EFT_OthPT,I_1750_1999_1EFT_OthAW,I_1750_1999_1EFT_OthNW,I_1750_1999_1EPT_OthAW,I_1750_1999_1EPT_OthNW,I_1750_1999_1AW_OthNW,I_1750_1999_BNW,I_1750_1999_LFsta_NS,I_1750_1999_Tot,I_2000_2499_BE_WFT,I_2000_2499_BE_WPT,I_2000_2499_BE_BAW,I_2000_2499_1EFT_OthPT,I_2000_2499_1EFT_OthAW,I_2000_2499_1EFT_OthNW,I_2000_2499_1EPT_OthAW,I_2000_2499_1EPT_OthNW,I_2000_2499_1AW_OthNW,I_2000_2499_BNW,I_2000_2499_LFsta_NS,I_2000_2499_Tot,I_2500_2999_BE_WFT,I_2500_2999_BE_WPT,I_2500_2999_BE_BAW,I_2500_2999_1EFT_OthPT,I_2500_2999_1EFT_OthAW,I_2500_2999_1EFT_OthNW,I_2500_2999_1EPT_OthAW,I_2500_2999_1EPT_OthNW,I_2500_2999_1AW_OthNW,I_2500_2999_BNW,I_2500_2999_LFsta_NS,I_2500_2999_Tot,I_3000_3499_BE_WFT,I_3000_3499_BE_WPT,I_3000_3499_BE_BAW,I_3000_3499_1EFT_OthPT,I_3000_3499_1EFT_OthAW,I_3000_3499_1EFT_OthNW,I_3000_3499_1EPT_OthAW,I_3000_3499_1EPT_OthNW,I_3000_3499_1AW_OthNW,I_3000_3499_BNW,I_3000_3499_LFsta_NS,I_3000_3499_Tot,I_3500_3999_BE_WFT,I_3500_3999_BE_WPT,I_3500_3999_BE_BAW,I_3500_3999_1EFT_OthPT,I_3500_3999_1EFT_OthAW,I_3500_3999_1EFT_OthNW,I_3500_3999_1EPT_OthAW,I_3500_3999_1EPT_OthNW,I_3500_3999_1AW_OthNW,I_3500_3999_BNW,I_3500_3999_LFsta_NS,I_3500_3999_Tot,I_4000more_BE_WFT,I_4000more_BE_WPT,I_4000more_BE_BAW,I_4000more_1EFT_OthPT,I_4000more_1EFT_OthAW,I_4000more_1EFT_OthNW,I_4000more_1EPT_OthAW,I_4000more_1EPT_OthNW
POA3000,0,0,0,0,0,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,8,5,5,0,19,0,3,0,0,0,8,0,9,0,12,0,35,4,0,0,8,0,4,0,6,0,6,0,27,0,9,0,0,0,10,0,10,0,10,0,42,4,9,0,8,0,23,0,7,0,9,0,71,0,9,0,10,4,27,0,0,3,4,0,53,0,4,0,10,0,36,0,4,0,0,0,64,23,9,3,33,3,59,4,7,0,4,0,156,28,3,0,32,6,3,0,0,0,4,0,87,29,4,0,18,5,23,0,0,4,7,0,84,24,0,0,9,8,6,0,0,0,0,0,52,98,6,5,50,12,37,3,0
POA3002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,5,8,0,0,0,0,0,0,16,3,0,0,5,4,3,0,0,0,0,0,20,3,3,0,6,0,0,0,0,0,0,0,13,48,0,0,45,11,16,0,10
POA3003,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,6,0,0,0,3,0,10,0,0,0,0,0,8,0,5,5,4,0,19,0,0,0,3,0,5,0,0,0,3,0,9,0,0,0,3,0,6,0,0,0,0,0,15,0,0,0,5,0,6,0,0,0,0,0,15,6,0,0,11,3,24,0,6,0,0,0,55,14,0,0,10,4,7,4,0,0,0,0,39,11,0,0,10,0,10,0,0,0,3,0,42,12,0,0,16,3,5,0,0,0,0,0,35,87,5,0,25,3,23,3,4
POA3004,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,7,0,5,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,4,0,4,0,6,0,10,0,4,0,9,0,11,0,3,0,4,0,26,0,3,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,9,5,0,0,0,0,19,3,7,0,10,3,31,0,3,4,0,0,60,10,0,0,15,0,3,3,0,0,5,0,45,12,0,0,15,0,17,0,0,0,6,0,56,29,0,0,9,3,5,0,0,0,4,0,48,91,4,0,40,20,60,0,5
POA3006,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,4,6,0,11,0,0,0,0,0,6,0,3,4,6,0,21,0,4,0,0,0,6,6,3,0,9,0,27,0,3,0,7,5,13,0,12,0,11,0,45,0,3,0,3,0,12,0,4,7,5,0,37,0,0,0,0,0,24,3,0,0,6,0,40,22,6,4,13,6,70,3,3,5,13,0,142,16,5,4,22,4,15,4,0,0,0,0,70,16,5,5,24,9,15,0,0,0,0,0,85,25,0,3,17,3,7,0,0,0,0,0,58,128,6,0,72,19,63,4,4
POA3008,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,5,0,4,0,3,3,10,0,0,5,9,0,35,0,4,0,5,0,17,0,11,0,4,0,46,0,6,0,3,0,26,0,10,3,6,0,49,5,0,0,6,0,39,0,4,0,4,0,56,15,9,0,10,3,82,3,12,0,8,0,145,22,8,3,20,6,14,0,0,0,12,0,81,28,3,0,11,5,24,0,0,0,8,0,86,42,0,0,10,12,7,0,3,6,0,0,82,109,8,6,57,22,49,0,4
POA3011,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,0,9,0,5,0,0,0,0,0,0,0,0,0,13,0,17,0,0,0,0,0,3,0,7,0,6,0,17,0,0,0,0,0,4,0,6,0,13,0,27,0,0,0,0,0,11,0,15,0,13,0,47,0,7,0,5,0,21,0,13,0,18,0,69,0,13,6,13,3,25,0,21,0,14,0,104,4,5,0,10,5,21,0,10,0,7,0,57,5,7,0,15,3,28,4,7,0,15,0,81,34,19,0,51,9,52,3,5,0,17,5,181,41,18,0,70,15,16,6,4,4,10,0,179,39,20,3,84,13,25,8,4,0,5,0,200,50,15,0,65,12,6,0,4,0,0,0,152,239,7,6,177,61,53,11,5
POA3012,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,13,0,0,0,0,0,0,0,16,0,13,0,28,0,5,0,0,0,5,0,18,5,19,0,48,0,3,0,3,0,14,0,14,0,25,0,62,6,3,0,8,0,19,0,17,3,20,0,84,4,23,0,25,4,33,5,18,7,39,0,158,8,20,0,26,5,45,0,16,4,19,0,137,16,12,0,36,6,36,0,11,0,14,0,142,55,16,3,103,15,65,3,19,8,30,5,325,67,28,9,137,22,41,3,15,3,18,0,336,90,22,0,161,31,49,9,13,4,13,0,395,97,6,4,103,24,14,3,9,0,3,0,259,375,17,7,259,70,88,10,7
POA3013,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,0,5,0,5,0,7,0,0,0,5,0,5,0,4,0,0,0,18,0,0,0,5,0,13,0,3,0,9,0,38,4,0,0,11,0,8,0,11,3,8,0,46,4,5,0,10,0,13,0,3,0,14,0,52,0,8,3,8,4,19,0,4,0,7,0,56,11,10,0,47,7,46,0,5,0,10,0,138,39,14,0,70,6,17,6,13,0,10,0,173,47,10,0,86,13,27,3,3,0,4,0,200,61,10,0,71,19,8,4,9,0,0,0,184,436,24,10,336,70,94,4,11
POA3015,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,3,0,7,0,0,0,0,0,4,0,5,0,11,0,22,0,0,0,0,0,7,0,4,0,8,0,19,6,3,0,3,0,16,0,8,4,14,0,49,0,5,0,10,0,17,0,18,5,10,0,69,3,6,0,12,0,17,0,10,0,7,0,52,4,10,0,20,7,27,4,3,0,5,0,79,28,18,3,57,7,68,4,18,4,13,0,227,40,17,6,106,14,17,3,7,0,14,0,226,64,13,6,123,14,46,4,14,3,9,0,292,94,9,3,116,20,13,0,3,0,4,0,260,524,23,7,393,84,117,14,15
