POA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
POA3000,0,5,0,215,4,3,5,0,0,5,0,0,0,0,41,61,0,0,0,0,0,0,0,0,0,0,0,0,218,52,16,172,46,242,13,62,20,106,45,993
POA3002,0,9,0,131,5,0,0,0,0,0,0,0,0,3,13,27,0,0,0,0,0,0,0,0,0,0,0,0,65,8,0,68,13,36,0,11,3,11,14,232
POA3003,0,0,0,151,5,0,0,4,0,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,5,141,16,3,88,20,95,6,19,8,30,11,433
POA3004,4,3,0,223,0,0,0,0,0,0,0,0,0,6,20,32,0,0,0,0,0,0,0,0,0,0,0,3,153,32,5,107,29,148,8,19,10,41,23,572
POA3006,0,4,0,309,9,0,0,3,5,0,0,3,0,0,48,67,0,0,0,0,0,0,0,0,0,0,0,6,216,44,21,165,52,232,15,50,21,98,50,962
POA3008,0,11,0,266,0,3,0,6,0,0,0,0,4,0,35,50,0,0,0,0,0,0,0,0,0,0,0,0,229,43,13,143,54,268,9,56,14,77,38,939
POA3011,0,7,0,568,8,0,0,12,3,4,4,0,0,14,27,75,0,0,0,0,0,0,0,0,0,0,8,4,414,117,20,492,123,265,33,103,12,171,41,1800
POA3012,3,10,6,848,16,4,6,7,5,6,3,9,4,7,60,130,0,0,0,0,0,0,0,0,0,0,12,13,740,162,22,870,182,412,46,186,42,255,87,3002
POA3013,4,3,0,987,17,11,0,15,5,5,0,3,0,7,40,93,3,0,0,0,0,0,0,0,0,0,5,8,605,89,15,666,123,271,20,63,15,100,46,2016
POA3015,7,6,4,1187,20,6,5,22,4,13,0,5,3,0,56,139,0,0,0,0,0,0,0,0,0,0,6,10,780,114,23,859,157,360,35,113,35,111,61,2649
POA3016,3,18,0,1232,20,4,0,22,0,10,0,14,0,4,45,117,0,0,0,0,0,4,0,0,0,0,3,14,682,90,14,716,86,314,25,72,21,113,53,2188
POA3018,0,8,0,570,22,0,5,11,0,7,0,0,3,3,36,87,0,0,0,0,0,0,0,0,0,0,6,5,453,74,13,491,93,244,13,69,16,99,38,1613
POA3019,0,5,0,94,4,3,0,3,0,11,0,0,3,10,34,65,0,0,0,0,0,0,0,0,0,6,5,14,165,63,19,156,30,194,14,89,21,166,37,960
POA3020,0,28,0,504,19,9,5,26,5,27,8,19,12,52,106,284,4,0,0,5,0,0,0,0,3,4,31,43,789,232,44,893,187,957,52,496,105,911,161,4822
POA3021,6,43,0,339,18,10,4,12,9,46,5,27,15,70,160,373,0,0,0,0,0,0,0,0,0,10,46,62,732,275,45,895,151,1259,77,677,155,1422,251,5942
POA3022,0,0,0,31,0,0,0,0,0,6,0,0,0,0,9,22,0,0,0,0,0,0,0,0,0,0,0,6,53,13,5,59,15,63,5,28,4,51,10,307
POA3023,5,27,4,1497,72,18,17,52,16,35,7,17,20,51,252,564,20,0,6,6,3,0,3,0,6,7,57,114,2252,427,104,2250,389,1859,119,740,179,1076,337,9738
POA3024,0,10,5,627,28,6,4,18,3,24,0,12,16,13,151,277,4,0,6,0,0,0,0,0,0,5,32,52,1371,175,41,1114,208,1245,52,310,92,327,205,5153
POA3025,3,8,0,353,5,0,3,3,3,5,0,3,5,11,46,91,0,0,0,0,0,0,0,0,0,0,5,8,290,62,19,385,86,258,20,112,27,221,56,1527
POA3026,0,3,0,190,4,0,0,6,0,11,0,6,0,3,43,77,0,0,0,0,0,0,0,0,0,0,6,12,383,74,13,318,64,280,13,94,22,103,56,1422
POA3027,0,5,0,389,8,0,0,10,0,5,0,0,3,3,46,72,0,0,0,0,0,0,0,0,0,0,8,8,438,58,19,374,63,311,19,59,21,83,56,1484
POA3028,6,5,0,498,19,5,3,28,3,15,0,5,4,23,85,190,3,0,0,9,0,0,0,0,0,5,14,41,717,150,41,887,151,638,50,225,70,437,108,3458
