POA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
POA3000,3,0,0,3,0,0,4,13,49,0,64,0,3,0,4,0,0,0,4,9,0,9,0,3,0,3,3,0,3,6,18,0,26,0,3,0,3,0,0,0,5,13,0,18,0,10,0,4,0,0,0,6,18,0,31,4,11,0,13,0,0,0,22,16,0,34,0,13,0,13,0,0,0,14,10,0,26,5,7,3,14,3,0,3,17,17,0,31,13,7,3,26,3,0,3,30,22,0,54,21,15,4,38,0,0,0,38,12,0,52,14,3,0,26,0,0,0,25,12,0,37,12,0,3,14,0,0,0,14,17,0,35,32,5,0,42,0,0,0,42,15,0,54,13,0,0,12,0,0,0,12,3,0,18,20,4,0,21,0,0,0,21,0,0,24,0,0,0,0,0,0,0,0,3,0,7,15,5,0,26,0,0,0,26,5,0,29,5,3,0,11,0,0,0,11,12,0,27,0,0
POA3002,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,6,0,0,6,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,5,0,3,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,3,0,5,17,0,0,15,0,0,0,15,0,0,18,4,0,0,4,0,0,0,4,5,0,3,0,0
POA3003,0,0,0,0,0,0,0,4,11,0,14,0,0,0,4,0,0,0,4,6,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,5,0,0,0,7,3,0,7,0,4,0,6,0,0,0,6,5,0,9,0,3,0,4,0,0,0,4,10,0,10,10,4,0,12,0,0,0,12,3,0,16,4,7,0,10,0,0,0,10,0,0,12,0,5,0,7,0,0,0,7,6,0,13,4,3,0,7,0,0,0,7,0,0,8,9,0,0,11,0,0,0,11,0,0,13,3,0,0,4,0,0,0,4,3,0,6,4,0,0,4,0,0,0,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,9,0,0,12,0,0,0,9,0,0,0,6,0,0,10,0,0
POA3004,0,0,0,0,0,3,3,4,17,0,21,0,0,0,0,0,0,0,0,6,0,6,0,0,0,4,3,0,3,3,0,0,7,0,3,0,3,0,0,0,3,5,0,0,0,3,0,3,0,0,0,3,3,0,5,0,6,0,3,0,0,0,3,8,0,17,4,7,0,9,0,0,0,6,7,0,10,3,3,0,9,0,0,0,9,5,0,15,6,3,0,10,0,0,0,8,7,0,18,4,7,0,12,0,0,0,12,8,0,21,6,0,3,13,0,0,0,13,3,0,17,5,0,0,8,0,0,0,8,7,0,10,28,6,0,35,0,0,0,35,9,0,44,10,4,0,11,0,0,0,11,4,0,11,8,0,0,10,0,0,0,10,4,0,15,3,0,0,3,0,0,0,3,0,0,3,18,3,0,21,0,0,0,21,3,0,21,6,7,0,12,0,0,0,10,9,0,17,0,0
POA3006,0,0,0,0,0,0,0,0,30,0,31,0,3,0,5,0,0,0,3,9,0,13,0,0,0,0,0,0,0,0,4,0,11,0,3,0,3,0,0,5,5,3,0,10,0,4,0,11,0,3,3,10,8,0,20,0,3,3,4,0,0,4,12,20,0,26,0,6,3,9,0,0,0,12,13,0,26,3,10,0,17,0,0,0,17,8,0,25,10,11,0,21,0,0,0,24,16,0,43,13,13,0,23,0,0,0,25,8,0,38,15,7,3,22,0,0,0,23,14,0,39,15,4,4,23,0,0,0,23,10,0,30,38,8,0,40,0,0,0,43,10,0,56,14,4,0,17,0,0,0,15,8,0,19,22,5,0,25,0,0,0,30,0,0,28,4,0,0,7,0,0,0,7,3,0,7,33,0,0,34,0,0,0,34,4,0,36,4,4,0,11,0,0,0,10,9,0,24,0,0
POA3008,0,0,5,5,0,0,6,5,19,0,27,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,3,10,0,5,0,3,0,0,0,0,0,0,7,0,8,0,0,0,4,0,0,0,4,14,0,11,5,4,0,9,0,0,0,8,8,0,15,0,9,4,8,0,0,0,8,11,0,19,5,5,0,10,0,0,0,14,6,0,21,5,6,0,8,0,0,4,17,7,0,26,8,5,0,15,0,0,4,17,9,0,30,11,0,0,8,0,0,0,11,4,0,14,12,0,3,12,0,0,0,12,0,0,16,19,0,0,23,0,0,0,23,3,0,23,3,0,0,3,0,0,0,3,4,0,12,8,0,0,9,0,0,0,9,3,0,9,3,0,0,3,0,0,0,3,0,0,3,15,3,0,17,0,0,0,17,4,0,23,7,0,0,4,0,0,0,8,0,0,6,0,0
POA3011,0,0,0,0,0,0,0,0,9,0,15,0,0,0,0,0,0,3,3,3,0,9,0,0,0,0,0,0,0,0,4,0,5,0,4,0,4,0,0,0,9,15,0,21,0,7,0,9,0,3,3,10,23,0,40,0,5,0,10,0,0,7,16,24,0,37,0,14,3,19,4,4,4,22,32,0,54,10,16,0,30,0,0,0,25,55,0,85,18,19,4,39,0,0,3,37,29,0,71,25,18,0,43,0,0,0,45,30,0,68,14,13,0,31,0,0,0,31,18,0,53,32,11,0,37,0,0,0,40,13,0,53,57,21,0,81,0,0,0,85,21,0,104,11,0,0,13,0,0,0,13,10,0,28,19,3,0,23,0,0,0,24,7,0,26,4,6,0,6,0,0,0,6,5,0,15,27,0,0,29,0,0,0,31,0,0,39,14,5,0,21,0,0,3,24,17,0,43,0,0
POA3012,0,0,0,0,0,0,3,5,24,0,23,0,4,0,4,0,0,0,0,4,0,6,0,4,0,4,0,0,0,4,14,0,17,0,3,0,4,3,3,4,8,16,0,28,0,3,0,4,0,3,8,11,31,0,42,3,8,0,16,3,3,3,22,23,0,47,5,21,7,28,4,0,5,36,31,0,64,13,31,8,47,4,0,3,53,48,0,98,31,32,5,66,0,0,0,66,49,0,118,40,30,0,71,3,3,7,76,34,0,107,39,17,5,58,0,0,3,61,26,0,82,39,13,0,55,0,0,0,54,18,0,80,78,14,0,99,0,0,3,105,35,0,141,20,5,0,29,0,0,0,29,14,0,54,27,5,0,35,0,0,0,35,9,0,46,8,0,0,6,0,0,0,6,8,0,16,28,0,0,27,0,0,0,27,8,0,39,26,8,0,30,0,0,0,33,27,4,69,0,0
POA3013,0,0,0,0,0,0,4,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,0,0,4,5,0,11,0,4,0,4,5,3,4,13,18,0,26,0,13,0,14,0,0,0,16,11,0,29,0,8,4,16,0,0,0,16,29,0,46,8,19,0,27,0,0,0,26,22,0,45,14,11,0,20,0,0,0,22,24,0,47,13,3,0,23,0,0,0,22,20,0,46,17,12,0,26,0,0,0,27,15,0,44,41,21,4,59,0,0,0,58,15,0,72,13,4,0,26,0,0,0,22,5,0,31,10,0,0,13,0,0,0,16,0,0,17,3,0,0,3,0,0,0,3,3,0,5,31,3,3,36,0,0,0,36,7,0,45,21,8,0,25,0,0,3,24,19,0,47,0,0
POA3015,0,0,0,5,0,0,0,4,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,5,0,0,0,0,0,0,0,7,5,0,5,0,0,0,5,0,0,3,3,13,0,22,0,6,0,9,0,0,0,9,13,0,24,0,13,0,14,3,0,5,22,23,0,38,6,13,0,14,3,3,5,19,18,0,41,18,23,6,41,0,0,0,44,30,0,71,17,16,4,38,0,0,4,39,20,0,65,25,11,0,40,0,0,0,40,9,0,53,29,9,4,41,0,0,0,41,7,0,51,57,12,3,75,0,0,0,75,17,0,87,27,8,0,35,0,0,0,35,6,0,44,29,7,0,43,0,0,0,43,3,0,48,11,0,0,15,0,0,0,15,0,0,14,26,0,0,25,0,0,0,28,8,0,38,28,5,0,38,0,0,0,35,12,0,53,0,0
