POA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
POA3000,0,0,0,0,0,0,0,4,9,163,107,22,288,11,8,21,309,259,5,580
POA3002,0,0,0,0,0,0,5,5,5,33,13,0,46,0,0,5,48,26,5,84
POA3003,0,0,0,0,0,0,0,0,0,49,35,11,92,0,3,0,97,58,0,155
POA3004,0,0,0,0,0,0,0,0,0,95,54,10,163,4,6,12,173,99,3,276
POA3006,0,0,0,0,0,0,0,3,3,175,73,19,268,13,12,26,296,179,8,479
POA3008,0,0,0,0,0,3,0,0,0,95,42,13,148,11,4,13,160,121,0,286
POA3011,0,0,0,0,0,4,0,3,9,243,143,13,399,12,16,30,434,328,9,763
POA3012,0,0,0,0,0,0,3,7,14,355,211,35,602,26,22,48,646,423,15,1083
POA3013,0,0,0,0,0,0,0,0,4,169,112,9,294,11,6,18,313,207,6,522
POA3015,0,0,0,0,0,0,3,0,8,280,141,22,444,13,11,21,465,210,6,680
POA3016,0,0,0,0,0,0,4,3,10,233,114,32,380,15,5,18,398,165,3,566
POA3018,5,6,0,0,0,6,4,3,7,211,102,21,338,11,9,22,355,203,8,567
POA3019,0,0,0,0,0,0,5,8,13,113,95,23,229,23,15,34,263,314,14,589
POA3020,3,8,0,0,0,8,12,33,53,517,412,75,1005,72,81,153,1154,1277,51,2482
POA3021,8,9,0,0,0,8,30,42,87,600,583,125,1311,107,123,225,1538,1812,80,3430
POA3022,0,0,0,0,0,0,0,7,4,43,33,7,86,8,10,15,107,59,7,168
POA3023,5,13,0,0,0,18,14,21,53,854,589,144,1588,84,88,175,1759,1127,36,2926
POA3024,0,8,4,0,4,8,7,10,28,459,335,62,847,44,39,83,931,637,20,1591
POA3025,0,0,0,0,0,0,0,3,5,157,111,21,288,14,12,28,315,295,10,617
POA3026,0,0,0,0,0,0,0,5,3,107,71,15,195,12,11,19,217,115,3,336
POA3027,0,0,0,0,0,0,0,0,6,99,54,16,161,4,0,7,166,80,8,258
POA3028,0,4,0,0,0,6,6,12,25,396,289,57,743,47,23,70,813,618,20,1449
POA3029,7,22,0,0,0,22,18,48,84,1317,851,190,2360,130,121,246,2602,1570,66,4242
POA3030,14,22,0,0,0,30,24,40,88,1552,972,198,2725,126,117,246,2974,1780,65,4815
POA3031,0,0,0,0,0,0,0,7,13,180,124,22,325,19,23,38,363,322,10,701
POA3032,4,3,0,0,0,8,5,10,17,336,208,30,570,36,21,51,622,419,12,1060
POA3033,0,4,0,0,0,4,0,3,5,232,137,18,389,12,7,20,410,252,12,680
POA3034,0,0,0,0,0,0,5,4,7,153,109,21,285,9,8,14,298,249,4,553
POA3036,0,0,0,0,0,0,0,0,4,74,47,13,134,4,6,8,142,82,0,225
POA3037,3,10,0,0,0,12,13,11,35,742,459,105,1303,56,57,112,1414,778,25,2212
POA3038,0,0,4,0,4,6,4,8,14,369,243,40,652,31,12,45,697,435,16,1150
POA3039,0,0,0,0,0,0,0,3,6,155,101,12,264,11,3,15,283,180,3,462
POA3040,0,3,0,0,0,3,6,0,9,354,176,27,556,13,9,23,579,285,0,864
