POA_CODE_2021,M_Mng_0,M_Mng_1_19,M_Mng_20_29,M_Mng_30_34,M_Mng_35_39,M_Mng_40_44,M_Mng_45_49,M_Mng_50_over,M_Mng_hours_NS,M_Mng_Tot,M_Pro_0,M_Pro_1_19,M_Pro_20_29,M_Pro_30_34,M_Pro_35_39,M_Pro_40_44,M_Pro_45_49,M_Pro_50_over,M_Pro_hours_NS,M_Pro_Tot,M_TTW_0,M_TTW_1_19,M_TTW_20_29,M_TTW_30_34,M_TTW_35_39,M_TTW_40_44,M_TTW_45_49,M_TTW_50_over,M_TTW_hours_NS,M_TTW_Tot,M_CPS_0,M_CPS_1_19,M_CPS_20_29,M_CPS_30_34,M_CPS_35_39,M_CPS_40_44,M_CPS_45_49,M_CPS_50_over,M_CPS_hours_NS,M_CPS_Tot,M_CA_0,M_CA_1_19,M_CA_20_29,M_CA_30_34,M_CA_35_39,M_CA_40_44,M_CA_45_49,M_CA_50_over,M_CA_hours_NS,M_CA_Tot,M_Sal_0,M_Sal_1_19,M_Sal_20_29,M_Sal_30_34,M_Sal_35_39,M_Sal_40_44,M_Sal_45_49,M_Sal_50_over,M_Sal_hours_NS,M_Sal_Tot,M_MOD_0,M_MOD_1_19,M_MOD_20_29,M_MOD_30_34,M_MOD_35_39,M_MOD_40_44,M_MOD_45_49,M_MOD_50_over,M_MOD_hours_NS,M_MOD_Tot,M_Lab_0,M_Lab_1_19,M_Lab_20_29,M_Lab_30_34,M_Lab_35_39,M_Lab_40_44,M_Lab_45_49,M_Lab_50_over,M_Lab_hours_NS,M_Lab_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot,M_Tot_0,M_Tot_1_19,M_Tot_20_29,M_Tot_30_34,M_Tot_35_39,M_Tot_40_44,M_Tot_45_49,M_Tot_50_over,M_Tot_hours_NS,M_Tot_Tot,F_Mng_0,F_Mng_1_19,F_Mng_20_29,F_Mng_30_34,F_Mng_35_39,F_Mng_40_44,F_Mng_45_49,F_Mng_50_over,F_Mng_hours_NS,F_Mng_Tot,F_Pro_0,F_Pro_1_19,F_Pro_20_29,F_Pro_30_34,F_Pro_35_39,F_Pro_40_44,F_Pro_45_49,F_Pro_50_over,F_Pro_hours_NS,F_Pro_Tot,F_TTW_0,F_TTW_1_19,F_TTW_20_29,F_TTW_30_34,F_TTW_35_39,F_TTW_40_44,F_TTW_45_49,F_TTW_50_over,F_TTW_hours_NS,F_TTW_Tot,F_CPS_0,F_CPS_1_19,F_CPS_20_29,F_CPS_30_34,F_CPS_35_39,F_CPS_40_44,F_CPS_45_49,F_CPS_50_over,F_CPS_hours_NS,F_CPS_Tot,F_CA_0,F_CA_1_19,F_CA_20_29,F_CA_30_34,F_CA_35_39,F_CA_40_44,F_CA_45_49,F_CA_50_over,F_CA_hours_NS,F_CA_Tot,F_Sal_0,F_Sal_1_19,F_Sal_20_29,F_Sal_30_34,F_Sal_35_39,F_Sal_40_44,F_Sal_45_49,F_Sal_50_over,F_Sal_hours_NS,F_Sal_Tot,F_MOD_0,F_MOD_1_19,F_MOD_20_29,F_MOD_30_34,F_MOD_35_39,F_MOD_40_44,F_MOD_45_49,F_MOD_50_over,F_MOD_hours_NS,F_MOD_Tot,F_Lab_0,F_Lab_1_19,F_Lab_20_29,F_Lab_30_34,F_Lab_35_39,F_Lab_40_44,F_Lab_45_49,F_Lab_50_over,F_Lab_hours_NS,F_Lab_Tot,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot
POA3000,49,105,123,70,321,439,120,280,11,1516,87,360,265,164,1211,1790,242,480,59,4659,107,302,400,128,336,261,56,75,33,1714,191,321,276,92,128,93,23,33,22,1171,25,97,111,67,374,285,50,69,8,1083,76,230,186,69,158,111,16,28,24,893,28,137,184,44,61,82,18,21,7,586,83,342,470,77,102,89,20,41,27,1256,18,32,40,12,44,40,7,25,92,308,677,1921,2061,729,2736,3189,546,1050,277,13185,37,116,137,69,267,297,71,119,11,1129,135,500,361,237,1113,1122,204,311,40,4019,66,201,224,64,165,102,19,18,18,870,292,923,702,175,210,128,28,21,44,2524,76,214,222,103,539,334,58,52,14,1605,121,434,293,79,169,96,16,20,16,1240,10,28,52,8,13,21,5,3,0,143,63,318,402,52,58,23,9,6,16,946,11,34,36,11,29,30,0,10,79,239,805,2757,2420,802,2558,2154,410,561,239,12713
POA3002,7,24,19,15,39,96,21,110,0,334,18,42,41,55,139,234,60,188,4,782,3,11,6,0,11,25,4,13,0,81,12,18,5,5,11,11,3,5,0,73,3,13,21,4,13,36,4,16,0,105,3,15,12,7,12,12,4,12,0,88,3,0,0,3,3,5,0,3,0,17,3,10,12,5,15,10,0,0,0,51,0,4,0,0,7,11,0,3,4,27,56,135,118,95,253,432,110,349,10,1555,8,23,21,21,47,57,26,71,0,277,24,83,60,50,121,209,59,122,6,731,3,11,3,0,12,9,0,7,0,34,13,48,13,10,23,10,6,6,0,119,6,45,21,20,63,54,13,12,0,238,7,24,10,8,4,8,3,6,0,68,0,3,0,0,3,0,0,0,0,9,0,6,6,0,0,0,0,0,0,22,0,3,0,0,5,4,3,0,4,27,67,230,144,109,277,344,108,225,19,1522
POA3003,19,13,34,17,58,119,49,77,3,386,23,68,48,39,278,430,76,135,13,1116,13,31,53,21,51,85,14,22,3,291,28,38,36,14,19,25,10,7,0,175,3,14,27,13,75,64,16,24,3,245,12,32,25,14,27,22,7,11,0,147,6,17,40,11,12,17,5,13,9,115,12,44,76,10,19,21,8,11,0,201,0,7,7,6,3,3,0,9,12,48,108,270,343,140,556,787,182,302,44,2725,7,27,25,24,73,93,35,59,0,331,37,89,70,72,249,274,71,104,0,971,12,26,22,3,35,26,0,11,0,139,48,111,87,25,34,17,10,4,0,341,21,43,43,27,126,78,13,7,5,357,13,61,36,5,33,18,8,6,3,178,0,7,10,3,0,4,0,0,0,25,11,37,62,8,17,8,0,0,0,144,0,3,0,0,11,8,0,0,13,39,143,402,353,168,581,533,128,197,25,2534
POA3004,9,25,42,32,137,236,63,188,4,740,27,73,73,63,331,518,118,239,9,1459,21,25,26,9,70,84,24,57,5,330,25,57,30,11,20,28,8,9,8,203,6,23,14,12,100,80,17,35,4,292,4,26,27,22,40,69,16,19,4,227,0,18,24,7,21,12,7,10,0,104,8,30,54,8,11,37,3,16,4,165,0,6,9,9,17,24,0,9,19,87,115,297,302,158,752,1084,256,586,48,3597,24,41,39,25,127,130,44,95,3,534,49,125,128,116,345,407,107,179,8,1451,8,10,21,11,25,16,11,11,0,107,31,79,73,37,44,33,5,10,0,305,19,68,67,40,161,136,24,32,6,550,20,56,39,23,49,33,6,10,0,229,4,3,4,0,0,5,0,0,0,19,7,24,31,7,7,8,0,4,0,93,0,5,4,4,10,11,0,3,5,51,155,409,402,264,767,782,199,342,26,3341
POA3006,30,68,94,36,301,434,101,315,20,1394,63,182,141,106,845,1250,202,401,22,3223,43,76,135,38,191,203,41,57,10,801,103,173,93,49,74,81,15,18,9,613,22,39,51,31,269,229,40,47,11,736,27,93,84,35,85,70,21,45,5,471,24,55,81,23,31,41,16,25,4,293,20,105,217,40,56,54,10,24,9,538,6,15,17,7,35,38,5,20,36,170,338,797,916,378,1891,2406,439,955,120,8241,43,53,77,56,222,276,81,148,6,960,86,228,211,153,810,874,167,233,24,2794,36,41,74,32,76,51,10,11,5,330,124,297,220,73,127,86,12,9,13,959,28,116,121,71,394,308,47,60,4,1153,53,153,86,29,111,60,13,19,8,532,0,9,12,3,11,9,0,4,0,55,20,111,243,24,26,24,3,0,4,462,4,10,16,3,33,21,0,4,31,124,398,1026,1059,451,1813,1709,330,488,103,7371
POA3008,19,49,32,28,196,317,79,239,12,971,48,106,79,74,511,1115,108,224,15,2279,33,49,57,23,96,107,19,55,8,448,49,58,48,29,41,44,14,24,3,310,13,27,30,15,128,128,16,39,0,382,24,51,55,21,47,71,16,22,0,300,17,24,40,16,27,31,8,21,7,187,13,61,55,16,41,30,17,14,4,249,0,8,9,5,19,26,0,11,18,101,223,418,401,224,1108,1856,278,653,64,5228,23,29,39,29,140,142,35,115,3,557,66,128,124,93,417,653,81,120,22,1705,14,32,43,12,43,35,9,6,0,197,57,120,92,28,56,36,14,7,4,418,25,71,76,54,207,192,32,32,0,698,32,86,56,22,74,34,13,9,3,332,4,3,14,0,9,5,0,4,0,38,11,45,99,14,7,10,0,5,6,190,8,4,4,0,9,17,0,7,14,74,250,522,552,253,964,1125,185,307,56,4215
POA3011,30,36,41,36,191,299,104,224,8,968,51,130,110,128,536,708,177,323,12,2169,31,86,116,58,210,228,58,98,23,902,79,111,67,45,70,66,22,28,3,502,16,39,38,32,209,150,43,56,3,593,15,92,59,30,91,59,20,36,4,410,25,51,87,39,96,82,26,42,11,459,22,122,135,42,97,82,19,29,3,549,3,10,9,10,13,19,9,12,43,134,278,679,668,418,1511,1707,467,844,103,6679,39,34,66,80,200,208,66,126,3,825,142,210,247,266,531,542,162,267,9,2368,22,52,39,31,68,36,8,22,0,280,85,213,164,95,115,77,14,21,11,791,43,114,129,68,332,226,46,38,8,1002,44,155,86,32,55,40,5,14,4,440,5,22,16,7,23,15,4,4,0,91,22,99,110,31,41,19,3,9,3,349,6,9,9,7,16,12,0,8,25,90,403,901,874,614,1374,1178,312,500,66,6237
POA3012,33,40,39,38,248,347,132,239,14,1120,34,110,96,133,533,673,188,321,17,2103,41,84,102,65,265,353,76,148,18,1156,59,96,73,38,85,105,28,35,15,537,15,35,37,29,216,165,45,60,10,615,14,98,59,39,78,80,13,33,0,415,21,94,106,40,180,139,36,77,17,714,24,142,139,40,124,118,24,52,20,685,10,7,10,5,33,28,0,15,35,156,254,708,658,437,1753,2013,544,980,148,7500,53,47,74,80,245,237,77,159,5,976,151,223,284,285,537,602,162,239,11,2504,23,41,60,32,60,53,10,13,0,304,98,231,167,105,138,89,23,40,13,908,52,105,170,117,371,271,46,69,9,1215,54,210,89,50,96,57,7,14,4,586,3,20,21,13,42,24,0,4,3,130,22,112,85,32,55,36,7,7,8,365,6,9,7,5,39,24,4,5,26,119,472,1006,950,724,1584,1384,351,548,94,7103
POA3013,16,23,25,37,154,312,103,279,9,962,24,68,66,70,291,489,139,297,6,1451,27,37,39,31,118,202,43,109,11,605,40,62,18,21,28,41,22,26,0,262,13,25,14,15,95,98,21,38,3,323,18,54,32,7,54,50,13,25,4,262,6,27,20,13,59,55,14,35,3,220,20,77,48,19,29,37,10,28,3,273,4,4,3,0,10,11,10,16,16,75,161,369,274,215,846,1292,375,854,49,4433,38,51,66,66,148,169,89,174,0,800,110,160,222,198,344,400,127,254,0,1813,21,28,30,15,18,24,7,12,0,154,67,120,87,43,59,49,8,18,9,446,23,93,115,87,195,161,28,43,0,746,42,135,49,26,45,37,7,23,5,367,0,5,6,0,9,10,0,0,0,36,9,44,32,5,15,14,0,3,3,127,5,4,5,4,11,16,4,7,7,69,313,649,614,449,848,873,269,522,29,4567
POA3015,23,21,29,33,175,357,154,373,12,1159,36,67,62,73,309,472,139,323,10,1486,30,62,43,43,162,255,44,126,8,782,34,65,35,25,39,65,24,39,6,320,9,21,10,20,106,112,26,60,5,364,16,67,29,21,51,56,15,36,0,295,16,36,33,17,46,66,31,44,3,276,18,89,40,33,49,62,12,32,3,347,3,4,4,4,6,24,4,10,20,84,180,432,288,261,943,1457,454,1039,57,5110,57,30,76,69,162,206,103,199,0,888,121,214,255,234,325,450,125,222,0,1950,14,31,28,18,30,25,4,16,0,162,54,145,108,43,62,57,17,19,4,507,42,110,141,99,234,201,45,53,10,930,36,154,66,17,60,39,9,19,0,393,0,10,12,5,11,14,0,0,0,51,16,52,29,10,8,11,0,6,0,129,5,3,3,3,8,8,0,5,14,53,351,743,698,497,905,999,301,542,34,5075
